"","index","videos_watched_content"
"330","1381","عن التحرش"
"331","1389","التحرش كان اكتر من فيديو"
"332","1391","التحرش والاغتصاب وتاثير كرونا على العمل وعلى العنف الاسرى"
"333","1392","حقوق المرأة وحمايتها ضد التحرش"
"334","1393","كانت   بتشرح   عده  قضايا   منها  قضيايا   التحرش  الجنسى    للاطفال  وعده  قضيايا  اخرى   لا  اذكرها  بالظبط   بس  قضايا  مهمه  وارجو   ايضا ا لتناقش   ف  قضايا العنف  الاسرى   والتفرقه العنصرية"
"335","1395","التحرش في العمل ، كيفية التصرف اذا حدث معي ، كلام مع الرجال عن التحرش وعجبني ، ولو انا مش طرف بس حصل قدامس"
"336","1397","ازاى توفقى بين الشغل والبيت وتعملى ايه لو حصل تحرش"
"337","1398","الفرق بين الخلع والطلاق"
"338","1399","فيديو بنقاش التنمر - فيديو بيتكلم عن الخلع - واخر بيتكلم عن ضرب المرأة والعنف ضدها"
"339","1400","العنف ضد المرأة و اهمية العمل والتوفيق بينه وبين شغل البيت وقضايا التحرش"
"340","1401","فيديوهات مراة المحكمة، سيدة القطار، غيرها"
"341","1402","التصرف جيدا عندما أتعرض لمضايقات او تحرش"
"342","1404","قضية التحرش و دور المرأة في المجتمع"
"343","1405","كان عن التحرش"
"344","1413","محاولة تمكين المرأة من حقوقها"
"345","1414","دعم المرأة ومساعدتها فى أخذ حقوقها"
"346","1416","احترام المرأة و مكانتها ف المجتمع و ازاي احترم ذاتي و اتعامل مع الطرف الاخر و يكون ليا كيان ف المجتمع"
"347","1423","فيديو عن كيفية معالجة التحرش للفتيات وخاصة المواصلات العامه وكيفية معالجة وتجنب التحرش وكيفية التصرف في مثل هذه الظروف وخاصة اننا بنتعامل مع المواصلات العامه يوميا"
"348","1427","التحرش"
"349","1428","الختان واتحرش الجنسي والمشاكل الزوجية وعمل المرأة"
"350","1430","التحرش ،  جرائم الاغتصاب، التحرش فى مجال العمل، العنف مع الاطفال"
"351","1431","التحرش وأسبابه وكيفية التصدي للتحرش في أماكن العمل"
"352","1435","كيفية تعامل المرأة مع التحرش"
"353","1437","دعم المرأة ضد التحرش الجنسي لاني واجهت ده من صغري وعندي عقده نفسيه من الصغر <U+0001F625>"
"354","1440","التحرش"
"355","1442","الاهتمام بمشكلات تواجه المراه بصفه دوريه وكيفيه التصرف وقتها"
"356","1443","التحرش"
"357","1444","كانت بتتكلم عن التحرش وحقوق المرأة في حالة التحرش بها ومن المسؤل عن التحرش"
"358","1445","التحرش والعنف ضد المرأة"
"359","1446","دعم للمرأة والحفاظ علي حقوقها ومواجهة التحرش"
"360","1453","جيد جدا"
"361","1456","بعضها ممارسه العنف ضد المرأه والبعض الاخر عن كيفيه معالجه هذا العنف وكيف كرم الاسلام المرأة"
"362","1458","المراه والتحرش"
"363","1460","التحرش"
"364","1462","العنف الاسري ضد المرأة"
"365","1464","ختان الإناث.. التحرش في العمل"
"366","1465","عن التحرش بلاطفال والموظفين الجدد وازاى الرجاله تقف ضد العنف واثار كرونا ع العنف المنزلى والشغل والفرق بين الطلاق والخلع وجرائم الاغتصاب واثارها ونتصرف ازاى وختان الاناث وازاى نمنعه وايه عقوبته ونتصرف ازاى لو لقينا حد بيتحرش بحد ولبس البنات سبب ف التحرش او لا"
"367","1466","1. امتي انفصل 2، ازاي نخلي الشباب يدعنوا قضايا المرأه"
"368","1469","الختان والاغتصاب"
"369","1471","هادف و ذو فكرة"
"370","1478","كيفية التصرف فى حالة التعرض للتحرش ..التحرش الجنسى بالأطفال..العنف ضد المرأة"
"371","1487","مش عارفه  اوصف بس كنت بكو ن مستفيده جدا"
"372","1488","أهمية العمل للمرأة ومواجهة التحرش"
"373","1492","محاربه ختان الاناث"
"374","1494","بعض الجولات التعريفية السريعة عن هدف الحملة"
"375","1495","تحرش الزميل بزميلته ف العمل، ختان الاناث، جرائم الاغتصاب"
"376","1496","مش عارفه اعبر بالظبط بس حرفيا كلام مظبوط جدا وبيحفظ حق المرأة في كل حاجه واتعلمت حاجه وعرفت حاجه مش كنت اعرفها"
"377","1501","التحرش"
"378","1505","Sexual harassment"
"379","1506","التحرش الجنسي في العمل"
"380","1510","عن التحرش وكيف تواجهه المرأة"
"381","1511","الخلع والتحرش"
"382","1513","كان عن الاثار السلبية للخيتان الاناث على البنت فى مرحلة الطفوله وما يسببة من فزع وخوف بل وممكن لن يصل الامر الى الموت احيانا وفيما بعد فى ومرحلة الزواج عندما يتهمها زوجها بعدم الاحساس وللبرود فالختان فيه قهر للمراة وليس له اى اهميه للمهم التربيه"
"383","1514","العنف ضد المرأة"
"384","1516","التحرش وكيفيه التعامل مع المتحرش"
"385","1521","عن التحرش بالمراه اغلبيتها وفي فيديو عن تاثر المراة العامله بازمة كرونا"
"386","1523","بتتكلم عن دعم المرأة وانها مش لوحدها وانها لازم تبقي قوية وتدافع عن نفسها وحقوقها"
"387","1529","مفيده واسلوبها مميز"
"388","1530","كيفية التعامل مع المتحرش"
"389","1531","التحرش والعنف"
"390","1537","فيها دعم للمرأة وتمكينها من الثقة في النفس اكثر"
"391","1540","كيفيه تجريم الختان وكيفية التعامل القانونية مع المشتركين في هذه الجريمة"
"392","1544","تمكين المرأة ودورها في المجتمع"
"393","1546","كنت معجبه جدا بيه لحد ماشوفت تعامل المجلس القومى للمرأه مع نازلى بطلت اتفرج لان مبقاش فى ليكوا مصداقيه احموا نازلى الاول وبعدين احموا واتكلموا مع باقى البنات"
"394","1547","جيد"
"395","1549","دعم المرأة ضد العنف"
"396","1551","اغلبه عنكيف تحمى المراءة نفسها من التحرش الجنسي ويعنى ايه تحرش جنسي واذاى تضع حدود للتعامل مع الاخر وكيف تختار الاماكن اللى ينفع تمشي فيها او تجلس فيها"
"397","1553","التحرش وكيفية التعامل معه ... الاغتصاب ولابد من اتخاذ الاجراءات القانونية ضد المغتصب  .... الختان والتوعيه بالمضار والعقوبات ... كيفية التوفيق بين العمل و البيت"
"398","1554","عن قضايا العنف ضد المرأة"
"399","1559","التحرش الجنسي بالاطفال وازاي نحميهم"
"400","1563","التحرش/ لبس البنات /الآثار السلبيه علي السيدات ف العمل بعد الحرونا"
"401","1568","موضوعات العنف ضد المرأة واتحرش وعلاقة ملابس النساء بالتحرش"
"402","1569","بيساعد المرأه و بيعطيها نصايح ازاي تواجهه الحياه مع التحرشات ف العمل و الشارع و جميع الأماكن و بيدلها ع التصرف الصحيح.. و ماينفعش انهت تبقى ضعيفه"
"403","1575","شفت فيديوهات كلها عنف ضد المراه بكثرهو شفت كمان فيديوهات لدعم المراة سواء في مجال اليةتيوب او مشاركه المراه في العمل السياسي"
"404","1579","التحرش الجنسي بالأطفال وازاي نمنعه ، ختان الإناث ازاي نمنعه ولو حصل نتصرف ازاي ،أثر فيروس كورونا علي زيادة العنف المنزلي ، جرائم الاغتصاب وكيفية مواجهتها ،  الفرق بين الخلع والطلاق ، ازاي اتصرف لو حد اتحرش بيا ف الشغل ، الاثار السللية لفيروس كورونا علي شغل السيدات ، اهمية الشغل وازاي اوفق بين الشغل والبيت ، فيديو عن التحرش الجنسي ، وهل لبس البنات هو السبب ف التحرش ولا لأ .. مش فاكرة الباقي"
"405","1580","دعم المراءة في مواجهة التحرش"
"406","1582","تمكين المرأة من الدفاع عن نفسها ضد التحرش الجنسي"
"407","1584","الطلاق والتحرش"
"408","1585","الوقاية من التحرش ف العمل"
"409","1586","فيديوهات مهمه تتحدث عن كل ما يتعلق بالمرأة وخاصة موضوع الاغتصاب"
"410","1594","عن التحرش والحماية من الاغتصاب والعنف الاسرى ضد المرأة"
"411","1595","التحرش الجنسى، الاغتصاب، الكورونا و تأثيره على عمل المرأة، التصدى للتحرش، الخلع والطلاق، حماية الأطفال من التحرش و الاغتصاب"
"412","1596","التحرش / المتحرش بالأطفال / التحرش فى العمل /لبس البنات و التحرش / الفرق بين الطلاق و الخلع /الاغتصاب/ ختنان الاناث/ ازاى اوفق بين الشغل و البيت / الكرونا و الستات العنف/ التحرش فى الشغل/التحرش بالموظفين الجداد/ التصرف السليم لو شفت حد يتحرش بحد فى الشغل ."
"413","1599","اثار فيروس كورونا،جرائم الاغتصاب,أهمية الشغل"
"414","1603","معنى التحرش الجنسي"
"415","1604","مواجهة جرائم الاغتصاب والحفاظ علي الادلة وكده.. تأثير فيروس كورونا علي شغل الستات... التحرش بالأطفال... التحرش في بيئة العمل"
"416","1607","التحرش الجنسي وعقوباته ازاي احمي طفلي  ختان الاناث"
"417","1614","مقاطع من اليونسيف حول تعليم المراه ونبذ الختان ونبذ العنف ضدالمراه"
"418","1616","فيديوهات كثيرة مفيدة واكتر حاجة الاهتمام بحقوق المراة"
"419","1618","قضايا الاغتصاب والتحرش وزواج البنات والقاصرات"
"420","1624","توعية حول الختان والاغتصاب"
"421","1630","معلومات قانونية وتوعية بحقوق المرأة والجهات الداعمة للمرأة"
"422","1631","إجتماعي"
"423","1634","حقوق المرأه.. العنف ضد المرأه"
"424","1639","هادف"
"425","1641","جريمة الختان"
"426","1647","واقعي جدا"
"427","1650","الفرق بين الخلع والطلاق"
"428","1657","شوفت فيديو عن تاثير الكورونا علي عمل المرأة واد ايه مهم ان الست تشتغل وشوفت فيديو عن جرائم الاغتصاب ب َفيديو عن التحرش بالاطفال والفرق بيم الخلع والطلاق"
"429","1665","ازاي احمي نفسي من التحرش في العمل والشارع"
"430","1669","حقوق المرأة العاملة"
"431","1670","فيديوهات عن حقوق المرأه وبعض الفيديوهات عن حكايا تتعلق بمعاناة المرأة وازاي تدافع عن حقوقها"
"432","1671","مفيد وقوي"
"433","1674","الطلاق وأسبابه وتبعاته الزوجه وواجبات كل من الزوج والزوجه"
"434","1677","تقوية المرأة و كيفية التصدى للتحرش"
"435","1680","مفيد"
"436","1681","توعية ودعم المرأة"
"437","1682","تتضمن كيفية دفاع المرأة عن حقوقها المادية والجسدية"
"438","1683","كانت اغلبها عن التحرش وازاي تاخد حقها"
"439","1686","العنف ضد المرأة"
"440","1691","زياده وعي المراه بحقوقها"
"441","1696","دعم نفسي للمراه التي تتعرض للعنف المنزلي"
"442","1697","عن عمل المراءه وحقها في المشاركه الاجتماعيه والتعبير عن نفسها وعن كيانها المجتمعي"
"443","1699","التحرش بالنساء"
"444","1700","تعلم المرأة تواجه سلبيات المجتمع سواء تحرش بيها أو بأطفالها أو حتي لو كان ختان اناث"
"445","1701","عن التحرش بالمرأة فى عملها"
"446","1702","ازاي تخلي المره قويه وان المره مثلها مثل الراجل مفيش حاجه اسمها راجل بس"
"447","1703","عن عنف اومشاهد لنجاح سيدات فى عملها وحياتها بدون رجل او قصص لبطوله امهات"
"448","1706","ازاى تمارسى هواياتك وتنظمى وقتك بحيث اليوم يكون مثمر واعمل حاجة تفيدنى"
"449","1712","كان محتواه عن ازمة كورونا وما خلفته من اثار اجتماعية على البيوت المصرية"
"450","1714","لبس البنات وختان الاناث فيروس كروونا وازاى زاد العنف الاسرى  والخلع والتحرش"
"451","1715","عن قضايا التحرش واثار الكرونا علي عمل الإناث وطريقة التوفيق بين البت والعمل"
"452","1716","التحرش"
"453","1721","عن التحرش بالمراه في العمل وتعرض الزوجه للضرب"
"454","1722","عن التحرش ولبس البنات  ازاي الشباب يقفو ضد العنف"
"455","1724","توعيه ثقافه المرأه و معرفه حقوقها ومحاربة التحرش الجنسي بجميع انواعه"
"456","1726","عن الختان"
"457","1728","عن كيفية التصدى للتحرش و عن دعم المراة"
"458","1729","التحرش الجنسى"
"459","1731","التحرش بالاطفال والتحرش فى الشغل وقضايا الاغتصاب والعنفضد المرأه"
"460","1732","التحرش  ده كان محتوى ومضمون حلو"
"461","1733","جلسه مانيكير و باديكير و البنات و الانترنت ضرب الخطيب"
"462","1735","كميه الالم اللي بيسببها ختان الاناث وعقدة الزواج"
"463","1753","تعبت صراحة من الوصف هو والموضوعات السابقة"
"464","1754","تولي المرأة مناصب مهمة و تفعيل دورها على صعيد النمو الاقتصادي"
"465","1758","مساندة المرأة ودعمها"
"466","1761","فيديوهات بتشجع المرأة تبلغ وإنها مش لوحدها"
"467","1764","رائعه"
"468","1768","شفت فيديو عن موضوع ختان البنات"
"469","1769","ازاي المرأة تبقي قويه ومتخافش من حد وانها عمرها مكانه اداه ضعيفه"
"470","1781","دور المأذون فى زواج الطفلات إللى لم تبلغ السن القانونى للزواج"
"471","1786","التحذير من الإنترنت للبنات ...عدم الانسياق للجهل وراء موضوع الختان الواجب علينا تربيتهم جيد"
"472","1787","فيديوهات الخاصى ببروفايل المحامية نهاد أبو القمصان"
"473","1798","ختان الاناث العنف ضد المرأة"
"474","1822","قصص عن واقع الحياه ومايحدث بالمحاكم والحقيقه اكثر واكثر من مايقدم"
"475","1827","بتتكلم عن حقوق المرأة بعد الطلاق و الخلع وقانون المرأة العاملة"
"476","1828","الوقاية من التحرش ف العمل"
"477","1843","عن التحرش والتحرش فى العمل"
"478","1844","التحرش و المرأة العاملة"
"479","1846","اهميه الشغل والتحرش فى الشغل و الفرق بين الخلع والطلاق و ختان البنات"
"480","1848","احلى حلقة التحرش فى العمل"
"481","1850","التحرش فى العمل"
"482","1851","التحرش سواء في بيئة العمل أو الشارع، تمكين المرأه اقتصاديا وسياسيا"
"483","1853","التحرش الجنسي سواء في الشغل أو مع الاطفال وعقوبته في القانون هو والاغتصاب ،فيروس كرونا وتأثيره علينا في المجتمع والشغل وكلمتها للشباب والرجال عن العنف مع المراه"
"484","1856","التحرش ، العنف ،"
"485","1857","تنمية مهارات _ تغيير اتجاهات"
"486","1858","توعيه"
"487","1864","بتتكلم على التحرش في العمل وكيفيه التعامل معه وتكلمت على انواع التحرش"
"488","1867","لم اجد ما يملأ شغفي في دعم المرأة و تمكينها علي ارض الواقع"
"489","1868","العنف ضد المرأه"
"490","1872","اهمية عمل المرأة وختان الاناث"
"491","1873","إزاي الشباب والرجالة يقفوا ضد عنف المرأة"
"492","1874","العنف ضد المراه وظلم المطلقات وقوانين الاسره الظالمه ونفقات اولاد المطلقات وكيفيه مطالبتها ومشاكل اسريه  من الحياه"
"493","1879","التحرش الجنسي سواء للاطفال والسيدات في العمل والمواصلات"
"494","1881","في حلقه الجوازه التانيه هي أم اليتامه حلوه لازم تكسر قلب مراتك علشان الثواب وبكده هتيتم ولادك علشان حصل ده فعلا لحد من عيلتي وبعتلهم الفيديو لأن الزوجه الأولى مصممه على الذلاق"
"495","1889","تتحدث عن التحرش والختان والعنف الأسري"
"496","1890","التحرش التخسيس الخلع"
"497","1892","الفرق  بين الخلع والطلاق.. اهمية الشغل... التحرش"
"498","1897","شغل المرأة"
"499","1898","جرائم في حق المراه اهميه العمل وكيفيه توفيقه بينه وبين بقيه المسؤوليات"
"500","1900","ازاي مراه تقاوم العنف والتحرش اللي بتعرض ليه"
"501","1901","التحرش ضد المرآه"
"502","1903","كانت الأستاذة نهاد بتتكلم عن المرأة العاملة والمضايقات اللي ممكن تتعرضلها وطريقة طلب المعونة لوقفها وكمان عن المرأة المعيلة"
"503","1908","التحرش"
"504","1910","مريح"
"505","1912","معلوماتها مفيده"
"506","1914","مفىدة"
"507","1918","التحرش للموظفين الجدد"
"508","1919","حوادث تعدى"
"509","1923","تحتوى على معلومات قيمة للبرنامج وتعريف حقوق المرأة وسائل المساعدة المناسبة علميا  لما تتعرض له من عنف من المجتمع عامة والأسرة خاصة"
"510","1926","عن التحرش"
"511","1927","توعيه عن التحرش وكيفية مواجهته"
"512","1930","التحرش العنف الختان آثار كورونا علي البيت والمرأة والعمل"
"513","1932","عن التحرش ضد المرأة وعن حقوق المرأة"
"514","1935","مواجهة التحرش فى العمل /الاثار السلبية لفيروس كرونا/"
"515","1937","التحرش الجنسي للمرأة والطفل"
"516","1940","عمل المرأه واالتحرش"
"517","1941","عن العنف ضد المراه والتحرش وكيفيه حمايه نفسنا منه"
"518","1943","عن التحرش والتحرش الجنسي وأثر فيروس كورونا ع الشغل"
"519","1946","اغلبهم عن التحرش و تعنيف المرأة"
"520","1947","التحرش و تجنبه و كيفية التصرف معه"
"521","1951","التحرش في العمل  هل زي المرأة سبب التحرش   الاغتصاب. الفرق بين الطلاق و الخلع.  الثأر السلبيه للكورونا.  الشغل و أهميته"
"522","1956","التحرش"
"523","1957","التحرش"
"524","1959","كانت بتتكلم معظمها عن حقوق المرأة ااقانونيه"
"525","1961","العنف ضد المرأة  ....الفرق بين الخلع والطلاق ....انواع الطلاق"
"526","1962","حقوق المرأة المتزوجة"
"527","1966","التحرش،الخلع و الطلاق،التوفيق الشغل والبيت"
"528","1975","فيديو عن التحرش وخلصنا للفتيات فى العمل وكيفية معرفة الفتاة ان ما يحدث تحرش أو خلافه من خلال ذكاءها ووعيها مع التركيز على أن للفتيات الحق فى العمل وانه من الأساسيات المهمه للبنت ليكون لها كيان  .. وفيديو عن الفرق بين الخلع والطلاق انتى يتم اختيار الخلع أو الوقت الذى يستخدم الخلع دون الطلاق... فيديو عن موقف الرجال من العنف ضد المرأه"
"529","1976","التحرش، العنف الاسرى، تأثير الحجر الصحى، العنف ضد المرأة"
"530","1979","التحرش الجنسي"
"531","1980","اهمية الشغل، الاثار السلبية لفيرس كورونا، الخلع والطلاق"
"532","1984","التحرش في العمل وفي الشارع وكيفيه التصدي الظاهره"
"533","1986","كان فيديو عن انه ""اذا نحن ك اناث نوصَف بالجنون ف دعنا نريك الجنون حقا"" فيديو عن السيديات الناجحات في اكثر من مجال و لانه مش قادرين نطلع فيهم غلطة بنقول عليهم مش طبيعيين او مجانين .."
"534","1998","ختان الإناث ازاي نمنعه والتحرش"
"535","2000","مواضيع كانت عن التحرش وأسبابه ولو تعرضت واحدة لتحرش داخل مكان العمل ممكن تعمل ايه وازاي نحمي أطفالنا من التحرش"
"536","2005","مفيدة"
"537","2008","بتساعد المراءه ووالرد على استفسرتها"
"538","2010","التحرش بالمرأه"
"539","2014","بيتكلم عن المرأه والعمل والتحرش بالمرأه"
"540","2017","التحرش الجنسي وكيفية تجنبه والابلاغ عن المتحرش وايضا ختان الإناث وكذلك آثار كورونا علي زيادة العنف المنزلي"
"541","2021","مساؤى الختان والتحرش من الاثاؤب والشغل الضرب للمؤاة"
"542","2022","التحرش"
"543","2030","توعية المرأة لمعرفة حقوقها الزوجية وكذلك واجباتها"
"544","2031","قضايا المرأة"
"545","2034","عن التحرش"
"546","2039","عن العنف الزوجى ضد المراة"
"547","2042","التحرش والعنف ضد المراءه"
"548","2045","تفعيل قانون التحرش وكيف اوعي أولادي من التحرش"
"549","2048","فيديوهات هادفه لدعم المرأة وبناء شخصيتها"
"550","2049","توعوي ارشادي"
"551","2050","جرائم الاغتصاب وكيفية مواجهتها والتحرش بجميع اشكاله وختان الاناث وكيفية منعه واثر فيروس كورونا على العنف المنزلي"
"552","2053","توعية المرأة والبنات من التحرش وكيفية التعامل مع تلك المواقف وعدم تركها للعمل بسبب التحرش"
"553","2054","الختان.والتحرش الجنسي"
"554","2055","قضايا الاسم توك .. قضية فيرمونت وقضايا أخرى"
"555","2056","عن وجود جهات وطرق حقيقة لمساعدة المرأة و ارقام للاستغاثة للحالات الصعبة"
"556","2059","التحرش"
"557","2060","كان ف فيديو بيتكلم عن قضيه الختان وابعادها ومشاكلها .....وفيديو اخر عن التحرش .....واخر عن عمل المرأه وكيفيه التوافق بينه وبين البيت.....والعنف ضد المرأه"
"558","2062","هادف يشجع المرأه ويقويها"
"559","2066","عنف جسدي"
"560","2069","العنف - التحرش - الختان- الاغتصاب- التحرش بالأطفال"
"561","2070","عن التحرش بالأطفال وكيفيه التصرف واستيعاب الموقف وتوجيه الطفل واحترام رأيه وإعطائه مساحه في التعبير"
"562","2073","علاقه اللبس بالتحرش وانه مش مبرر للتحرش ودور الشباب والرجاله في مواجهه التحرش وانه مينفعش ابدا يتجاهل االبنت اللي قدامه اويعاملها بعدم احترام وميسمعش اللي بتقوله ودا اصلا شكل من اشكال العنف"
"563","2074","التحرش بمختلف أنواعه وكيفية التصدي له وأهمية دور المراة في العمل والاوضاع الحالية التي تؤثر في العلاقة الأسرية"
"564","2079","تحرش المراة في العمل-ختان الاناث -التنمر-العنف"
"565","2080","المحتوي كان خاص بقضايا المراه من اكثر من اتجاه سواء اغتصاب تحرش عنف اسري ختان"
"566","2082","حماية المرأة من العنف و التحرش"
"567","2084","العنف ضد المراه العربيه والمصريه وكيفيه وقف الرجال مع المراة ضد هذا العنف وكيفيه الطرق التي تتباعه المراة للدفع عن نفسها من التحرش"
"568","2085","أن المره ليها حقوق كتير للأسف محدش بيعترف بيها بس ابتاديت افهمها وان شاء الله احاول افهم الى حوليه نستخدمها"
"569","2094","التحرش قضايا الطلاق والخلع  عن عمل المرأة"
"570","2095","قضايا تدعم المراءه وازاى تحافظ ع نفسها وحقوقها"
"571","2100","الفرق بين الخلع والطلاق"
"572","2105","العنف الاسرى"
"573","2115","كيفية التعامل إذا شوفت حد يتحرش بفتاه في الشارع أو الشعل"
"574","2119","كل فديوهات التحرش شاهدتها"
"575","2125","التحرش في العمل و أهمية عمل المراه و التحرش ضد الاكفال"
"576","2126","موضوعات عن التحرش وعن بناء الشخصية"
"577","2138","فيديوهات عن التحرش في العمل.. التوفيق بين البيت والشغل.. اضرار الكورونا على الستات"
"578","2140","دعم و تمكين المرأة"
"579","2142","حول التحرش والعنف ضد المرأه وكبفيه التصرف إذا حدث تحرش في بيئة العمل"
"580","2143","هادفة ومفيده وداعمة الحقيقة"
"581","2146","فديوهات التحرش ومعناه وأثره وفديو عن لبس البنت واتحرش وفديو آثار الكرونا على البيوت المصريه وعلى الأزواج وعدم اتخاذ الاحراجات ضد فيروس كرونا"
"582","2148","توعية المرأة ووبيان اهميتها في المجتمع وازاي تحمي نفسها"
"583","2151","قضايا الخلع والعنف ضد المرأة التحرش وكيفية التعامل مع المتحرش والفرق بين الخلع والطلاق وأهمية العمل بالنسبة للمرأة"
"584","2152","التحرش عموما"
"585","2156","العنف ضد المراة التحرش ف العمل  جرائم الاغتصاب وكيفيه مواجهتها الآثار السلبية لفيروس كورونا وكيفيه مواجهتها العمل من المنزل"
"586","2167","جيد"
"587","2169","عن التحرش بالبنات و غصب البنات ع الزواج ومواضيع عن العنوسه"
"588","2173","حقوق الزوجه وحقوق البنت وورفض الختان"
"589","2176","التحرش فى مصر وفى العالم بالمراه        تعليم المرأه    التنكر ضد المراه"
"590","2179","التوعية بحقوق المرأة"
"591","2180","الختان والاغتصاب"
"592","2181","مهم جداا"
"593","2186","عنف مع المرإه"
"594","2188","محاربة ختان الاناث وقضايا الاغتصاب"
"595","2189","مفيده فى حاجات كتير"
"596","2190","حقوق الزوجة والأولاد بعد الطلاق"
"597","2192","اجتماعي"
"598","2200","تهميش المرأة ومعاناة االمرأة المعيلة"
"599","2203","العلاقات الاسريه"
"600","2208","قلت قبل كده"
"601","2210","أهمها انها تتضمن الارقام الذي يمكنني مساعدة احد بها"
"602","2211","العنف ضد المراه واكتر من حلقه عن التحرش"
"603","2213","ختان الاناث ...توعيةضد  تحرش الاطفال...التعامل مع التحرش في مكان العمل"
"604","2214","اكثرها عن التحرش والعنف الاسري"
"605","2215","التحرش والاغتصاب"
"606","2219","الاثار السلبية لفيروس كورونا علي عمل الستات ،اعمل ايه لو حصل تحرش ف الشغل ،ازاي الشباب و الرجالة يقفوا ضد العنف"
"607","2222","التحرش الجنسي بالاطفال و البنات"
"608","2223","مثل التحرش"
"609","2229","معلومات عامة وخاصه قانونية"
"610","2231","العنف مع المرأة"
"611","2239","مبسط وواضح عرفت قضايا التحرش بكل مافيها"
"612","2241","عن التحرش عموما"
"613","2244","بيدعم المرأة ويعلمها ازاى تتصرف فى المواقف الى تواجهها"
"614","2247","ان المراه اساس البيت والمجتمع ولازم يكون لها قرار فى كل ما يدور حولها"
"615","2249","التحرش"
"616","2254","التحرش والخلع والطلاق"
"617","2256","جميل جداً واتمنى يتطبق على ارض الواقع"
"618","2261","إزاي نحمي الأطفال من التحرش الجنسي .التحرش الجنسي في العمل ومع الموظفات الجدد . كيفية التصرف إذا حدث تحرش في العمل .ختان الاناث .التوفيق بين العمل وشئون المنزل"
"619","2263","كيفه صد التحرش"
"620","2265","عن التحرش فى العمل والعنف ضد المرأة واثار الكورونا والفرق بين الطلاق والخلع"
"621","2271","كان عن التحرش والحمايه منه وحقوق المرأه العاملة"
"622","2273","حقوق المرأة"
"623","2275","عن التحرش"
"624","2277","انا شفتهم كلهم ومنهم ازاي اعرف احط حد لزمايل ب الشغل والفرق بين الطلاق والخلع وختان للبنات وازاي هو غلط ومصر للبنت وأنه مفسر غلط خالص"
"625","2279","قضية الخلع والطلاق للضرر"
"626","2280","توعية عن حاجات غلط زى التحرش والعنف لازم المجتمع والاهل يستنكرونها ويحاربوها"
"627","2283","ازاى الست تتصدى للعنف المنزلى"
"628","2287","أهمية الشغل. والآثار السلبيه لكورونا. واتحرش للموظفين الجدد"
"629","2290","اتعلمت ازاي ادافع عن نفسي ضد التحرش وازاي اوفق بين الشغل والبيت"
"630","2291","التحرش والختان"
"631","2293","التحرش في العمل/الفرق بين الخلع والطلاق/ ازاى اوفق بين العمل والبيت/ العنف ضد المراة"
"632","2297","دكتوره نهاد تشرح شرح وافى لكل مشكله على حدا وطريقه التعامل معها"
"633","2300","محتوى الفيديوهات عن أهمية الشغل وازاي توفقي بين الشغل والبيت والتحرش ضد المرأة والطفل وال"
"634","2304","عن التحرش في العمل وانواع التحرش وازاي اتعامل قانوني  اذا تعرضت  للتحرش"
"635","2307","تتعلق بحقوق المراة ومثل التحرش وكيفية التعامل مع المتحرش كذاك التحرش فى العمل"
"636","2311","محتويات التوعيه عن التحرش و إزاي نقدر لما نتحط في موقف زي ده أو حتى نشوف حد فيه نتصرف بطريقه سليمه متأذيش الضحيه بالعكس تساعدها تاخد حقها و نشجعها على ده"
"637","2312","العنف ضد المرأة وكيفية مواجهته من الشباب والرجال .. ... ختان الاناث وخطورته على المرأة وعقوبة من يفعله .. التحرش الجنسي اللفظى وغير اللفظى .. التحرش ضد الأطفال .. التحرش فى العمل والوظيفة .. انواع العنف ضد المرأة من التنمر والتجاهل والتسفيه والعنف اللفظى والبدنى"
"638","2315","ختان الاناث والتحرش الجنسى"
"639","2319","العنف ضد المرأة والتحرش الجنسي"
"640","2321","جرايم الاغتصاب وكيفية مواجهتها  والفرق بين الخلع والطلاق التحرش فالعمل"
"641","2323","ازاي نواجهه العنف ضد المراه والتحرش الجنسي للأطفال ومواجهته وعواقبه"
"642","2324","جولة تعريفية"
"643","2327","متنوعه عن وضع المرأة وكيفية مواجهة الصعوبات"
"644","2328","التحرش ودعم المراة"
"645","2333","قضايا الدولة"
"646","2342","نوعية المراه"
"647","2355","تحرش اغتصاب......"
"648","2358","التحرش"
"649","2362","التحرش الجنسي"
"650","2363","اهميه الشغل للمراءه"
"651","2364","خاصه بالتحرش للمرأة"
"652","2366","مواجه التحرش حقوقى القانونيه"
"653","2367","قضايا تحرش المرأه"
"654","2369","ازاي تواجه التحرش"
"655","2372","فتاة الفورسيزون"
"656","2373","مقطع من حلقه"
"657","2376","قضايا الاغتصاب وقضايا اخري"
"658","2378","ثقة بالنفس وتطوير الذات"
"659","2384","المساواه بين الجنسين"
"660","2391","اتنتن من افضل نساء مصر"
"661","2393","تعرض بعض الفتيات الاضطهاد لمجرد الافصاح عن الجانى وكأنها المجرمة"
"662","2401","مختلفين عن بعض فى القصص بس الهدف واحد نعرف حقوقنا و ازاى ندافع عن نفسنا و نتأكد إن فيه جهات بتدعمنا"
"663","2409","عن أهمية عمل المرأة، والتحرش والعنف ضد المرأة"
"664","2415","الفيديوهات تتحدث عن قضايا المرأة ومدى معرفتها للقانون والمؤسسات الداعمة لها وطرق حماية نفسها من التحرش"
"665","2417","التحرش في العمل والتحرش مع الاطفال"
"666","2419","العنف ضد المراه و التحرش"
