"","index","org_dvsa_end","org_dvsa_1_end","org_dvsa_2_end","org_dvsa_3_end","org_dvsa_4_end","org_dvsa_5_end"
"395","1060","First:","صفحة دعم علي الفيسبوك",NA,NA,NA,NA
"396","1062","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"397","1066","First:","الجهاز القومي للمرأة",NA,NA,NA,NA
"398","1067","First:,Second:","دعم المرأه","انتم",NA,NA,NA
"399","1068","First:","وحده مناهضة العنف ضد المرأة",NA,NA,NA,NA
"400","1069","First:","حقوق المرأة",NA,NA,NA,NA
"401","1070","First:","انتى مش لوحدك",NA,NA,NA,NA
"402","1071","First:","المجلس القومي للمراه",NA,NA,NA,NA
"403","1074","First:","الفيس بوك",NA,NA,NA,NA
"404","1075","First:","الصفحة بتاعتكم",NA,NA,NA,NA
"405","1076","First:","دعم المرأة",NA,NA,NA,NA
"406","1077","First:,Second:","دكتورة نهاد","مركز حقوق المرأة",NA,NA,NA
"407","1078","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"408","1081","First:,Second:","مش لوحدك","المركز المصري لحقوق المرأة",NA,NA,NA
"409","1082","First:,Second:,Third:","مجلس المرأة","محامين الدفاع عن المرأة بالمجان","مؤسسات حماية المرأة ضد العنف الاسرى",NA,NA
"410","1085","First:,Second:","المجلس القومى لحقوق المرأة","انتى مش لوحدك",NA,NA,NA
"411","1090","First:","برنامج نهاد ابو القمصان علي القاهرة والناس",NA,NA,NA,NA
"412","1091","First:,Second:,Third:","فيسبوك","واتس اب","التلفزيون",NA,NA
"413","1095","First:,Second:,Third:","كير","المجلس القومي للمرأة","هيئة تيردي زووم",NA,NA
"414","1102","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","الواتس اب","التلفزيون","الجريده","تويتر"
"415","1106","First:","نهاد",NA,NA,NA,NA
"416","1107","First:,I do not know any.","الامومه والطفوله",NA,NA,NA,NA
"417","1109","First:,Second:","جمعيات حقوق المراه","العياده القانونيه بكليات الحقوق لمناهضة العنف ضد المراه",NA,NA,NA
"418","1110","First:","حقوق المرأة",NA,NA,NA,NA
"419","1112","First:,Second:,Third:","المبادرة المصريه","جمعيات حقوق الانسان","المركز القومى للمرأة",NA,NA
"420","1119","First:","مراكز المجتمعية لحقوق للمراه",NA,NA,NA,NA
"421","1120","First:","برنامج رضويالشربيني",NA,NA,NA,NA
"422","1123","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"423","1124","First:,Second:,Third:,Fourth:,I do not know any.","دعم المراه","نص المجتمع","المراه","المراه",NA
"424","1125","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"425","1127","First:","منظمة حقوق المرأه",NA,NA,NA,NA
"426","1131","First:","جهاز دعم المرآه",NA,NA,NA,NA
"427","1135","First:,Second:,Third:,Fourth:","المجلس القومى المراة المصرية","التوك شو المصرى","الفيسبوك","مباحث الانترنت",NA
"428","1137","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"429","1140","First:","المجلس القومي للمراه",NA,NA,NA,NA
"430","1143","First:,Second:,Third:,Fourth:","بعض الجمعيات الاهليه","قنوات تليفزيونيه","قنوات يوتيوب","جروبات عامه علي مواقع التواصل الاجتماعي",NA
"431","1144","First:,Second:,Third:","المجلس القومى للمراة","جمعية التنمية للمراة والمجتمع","معا ضد التحرش",NA,NA
"432","1146","First:","المجلس القومى للمراءه",NA,NA,NA,NA
"433","1147","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"434","1148","First:","المركز القومي للأمومة والطفوله",NA,NA,NA,NA
"435","1149","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى لحقوق الانسان","المجلس القومى للمراه","لا","لا","لا"
"436","1150","First:,Second:","ECWR","المجلس القومي للمرأة",NA,NA,NA
"437","1155","First:,Second:,I do not know any.","المجلس القومى للامومة","جمعية كاريتاس",NA,NA,NA
"438","1157","First:","انت مش لوحدك",NA,NA,NA,NA
"439","1158","First:","المركز القومي للمراة",NA,NA,NA,NA
"440","1160","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"441","1164","First:,Second:","المجلس القومي للمرأة","صفحة حكايات نهاد",NA,NA,NA
"442","1166","First:,I do not know any.","لا اعرف",NA,NA,NA,NA
"443","1170","First:,Second:,Third:","المجلس القومى للمراه","محاميه","حكايات نهاد",NA,NA
"444","1172","First:","ولا جهه بتقدم دعم حقيقي",NA,NA,NA,NA
"445","1174","First:,Second:,Third:","المجلس القومي للمرأة","حقوق الانسان","المجلس القومي للأمومة والطفولة",NA,NA
"446","1175","First:,Second:","حكايات نهاد","هى وبس",NA,NA,NA
"447","1176","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"448","1178","First:,Second:,Third:","المجلس القومي للأمومة والطفولة","المجلس القومي للمرأه","هيئة الأمم المتحدة للمرأة",NA,NA
"449","1183","First:,Second:,Third:,Fourth:","محكمة الأسرة","دار الإفتاء","النوادي","الأزهر الشريف",NA
"450","1189","First:","المجلس المصري لحقوق المرأة",NA,NA,NA,NA
"451","1191","First:","دعم المرأه",NA,NA,NA,NA
"452","1192","First:,Second:","فيس بوك","انستجرام",NA,NA,NA
"453","1194","First:","المجلس القومي للمراه",NA,NA,NA,NA
"454","1204","First:","المجلس القومى للمراه",NA,NA,NA,NA
"455","1205","First:,Second:,Third:","حكايات نهاد","محو الأمية الزوجيه","د. هاله سمير",NA,NA
"456","1206","First:","انتى مش لوحدك",NA,NA,NA,NA
"457","1208","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"458","1211","First:,Second:","منظمة امان للنساء","منظمة ممكن",NA,NA,NA
"459","1216","First:,Second:,Third:","جميعه حقوق المراه","موسسات دعم المراه","محكمه الاسره",NA,NA
"460","1218","First:,Second:","الدكتوره نهاد","مجلس المرأة",NA,NA,NA
"461","1222","First:","منظمه حقوق المرأه",NA,NA,NA,NA
"462","1226","First:","Face book",NA,NA,NA,NA
"463","1227","First:,Second:,Third:","مركز دعم المرأة","جروب أريد حلا للطبيبات","جروب egypt single mother",NA,NA
"464","1231","First:,Second:","هويدا الدمرداش","انتي مش لوحدك",NA,NA,NA
"465","1232","First:","صفحه دكتور نهاد ع الفيس",NA,NA,NA,NA
"466","1236","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","الموسسات","جمعيات حماية حقوق الانسان","جمعيه اهليه","صديق وفي"
"467","1237","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراة","المجلس القومى للمراة","المكتب الاستشارى لحقوق الناجيات من العنف بجمعية المراة والمجتمع للتنمية الشاملة بالمنيا","مكاتب الدعم القانونى","هنكتب مناهضة العنف ضد المراة المنيا"
"468","1238","First:","حقوق المرأة",NA,NA,NA,NA
"469","1241","First:","المجلس،القومي،للمرأة",NA,NA,NA,NA
"470","1242","First:","صفحات دعم المرأة علي الفيس",NA,NA,NA,NA
"471","1243","First:,Second:,Third:,Fourth:","المجلش القومي للمرأة العربية","مؤسسه أبعاد","منظمه المرأه العربيه","المركز القومي المرأه المصريه",NA
"472","1244","First:","المركز المصرى لحقوق المرأة",NA,NA,NA,NA
"473","1245","First:","انتم فقط",NA,NA,NA,NA
"474","1247","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"475","1251","First:,Second:","المركز القومى للمراة","السلطة المختصة",NA,NA,NA
"476","1252","First:,Second:","الامم المتحدة للمراه","المجلس القومي للمراه",NA,NA,NA
"477","1255","First:,Second:","المركز المصري لحقوق المرأة","المركز القومي لحقوق المرأة",NA,NA,NA
"478","1257","First:,Second:,Third:,Fourth:","مش لوحدك","اي منصات للدعم النفسي","المجلس القومي للمرأة","جروب قاوم",NA
"479","1260","First:","جروبات على الفيس بوك",NA,NA,NA,NA
"480","1267","First:,Second:","فيس بوك","واتس اب",NA,NA,NA
"481","1275","First:,Second:,Third:","بيت حواء","جمعية المرأة المسلمة","مؤسسة المراة المصرية للقانون  وثقافة السلام",NA,NA
"482","1277","First:,Second:,Third:,Fourth:,Fifth:","جمعية حقوق المرأة","مؤسسة المرأة الجديدة","المركز المصرى لحقوق المراة","جمعية نهوض وتنمية المراة","قضايا المرأة المصرية"
"483","1278","First:,Second:,Third:,Fourth:","جمعيات","مؤسسات","برامج","هيئات",NA
"484","1282","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"485","1285","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"486","1286","First:,Second:","Facebook","Google",NA,NA,NA
"487","1287","First:","المجلس القومى للمراءه",NA,NA,NA,NA
"488","1288","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"489","1289","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"490","1290","First:,Second:,Third:,Fourth:,Fifth:","مركز صحه المرأه و التعليم","قضايا صحه المرأه","أسباب العنف ضد المرأه","الوقايه من العنف ضد المرأه","أنواع العنف ضد المرأة"
"491","1291","First:,Second:,Third:","برنامج حكايات نهاد","الفيس","يوتيوب",NA,NA
"492","1292","First:","دعم",NA,NA,NA,NA
"493","1293","First:,Second:,Third:","المجلس القومي للمرأة","المركز القومي للبحوث الاجتماعية والجنائيه","المجلس القومي لحقوق الإنسان",NA,NA
"494","1304","First:","مثل برنامج استاذه نهاد",NA,NA,NA,NA
"495","1308","First:,Second:","police assult","Merhan keller",NA,NA,NA
"496","1313","First:","حكايات نهاد",NA,NA,NA,NA
"497","1317","First:","القومي للمرأه",NA,NA,NA,NA
"498","1318","First:,Second:,Third:,Fourth:","حكايات نهاد","المجلس القومي للمرأة","حكايات نهاد","المجلس القومي لحقوق الإنسان",NA
"499","1319","First:","الانترنت",NA,NA,NA,NA
"500","1324","First:","المركز القومى للمرأة",NA,NA,NA,NA
"501","1325","First:","المجلس الاعلى لحقوق المراة على ما اعتقد",NA,NA,NA,NA
"502","1327","First:","برامج تلفزيونيه",NA,NA,NA,NA
"503","1328","First:,Second:","في رقم تبع الدولة","ممكن شيخ الجامع يتدخل",NA,NA,NA
"504","1332","First:,Second:","التليفزيون","جروبات البنات ع الفيس بوك",NA,NA,NA
"505","1333","First:","مراكز تمكين المرأه",NA,NA,NA,NA
"506","1335","First:,Second:","جميعة حقوق الإنسان","جمعية حقوق المرأه",NA,NA,NA
"507","1336","First:,Second:","المركز القومي لحقوق المراه","انتي مش لوحدك",NA,NA,NA
"508","1338","First:","مراكز حقوق المرأة",NA,NA,NA,NA
"509","1340","First:,Second:,Third:","مواقع الكترونيه","واتس اب","فيس بوك",NA,NA
"510","1341","First:,Second:,Third:","المجلس القومي لحقوق المرأة","اقسام الشرطة","الازهر",NA,NA
"511","1342","First:,Second:,Third:","الفيس بوك","الوتس اب","جمعيات المرأة",NA,NA
"512","1343","First:,Second:,Third:,Fourth:,Fifth:","البرامج الدينية","برامج مثل برنامج حكايات نهاد","الجروبات بين الاصدقاء","الجهات المختصة كمحكمة الأسرة","التوجه إلي كبير العائلة"
"513","1349","First:,Second:,Fourth:,Fifth:","المجلس القومى للمرأة","رقم للعنف الاسرى",NA,"لا اعرف","لا اعرف"
"514","1353","First:","انتي مش لوحدك",NA,NA,NA,NA
"515","1354","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"516","1355","First:,I do not know any.","جمعيات حقوق المراءة",NA,NA,NA,NA
"517","1357","First:","دعم المرأة",NA,NA,NA,NA
"518","1364","First:,Second:","المجلس القومى لحقوق الإنسان","المجلس القومى للمرأة",NA,NA,NA
"519","1365","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأه","جروبات فيس","منتديات","التليفزيون","البرامج"
"520","1376","First:,Second:,Third:","برامج التليفزيون وحكايات نهاد","التليفزيون","مواقع التواصل الاجتماعي",NA,NA
"521","1377","First:","الاهل",NA,NA,NA,NA
"522","1379","First:","انتوا",NA,NA,NA,NA
"523","1380","First:,Second:,Third:","دعم المراءة","الفيسبوك","حقوق الإنسان",NA,NA
"524","1383","First:,Second:,Third:,Fourth:,Fifth:","جمعيات نسائية","المجلس القومى للمرأة","بيت العيلة","محكمة الاسرة","مجالس العائلة"
"525","1385","First:,Second:","المجلس القومي للمرأة","وزارة الداخليه",NA,NA,NA
"526","1389","First:","المحلسوالقومى للمراة",NA,NA,NA,NA
"527","1392","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"528","1393","First:,I do not know any.","استليان المرءة",NA,NA,NA,NA
"529","1395","First:,Second:,Third:","المجلس القومي للمرآة","التوجه للشرطه وهما يوجهوني","مكالمة خدمات الازهر لحل المشاكل الزواج",NA,NA
"530","1397","First:,Second:,Third:","حقوق المرأة","المجلس القومي للمرأة","النيابه العامه",NA,NA
"531","1399","First:,Second:","انواع من الجمعيات التطوعية","مجلس المراة",NA,NA,NA
"532","1400","First:,Second:","مجلس قضايا المرأة","مجلس حقوق الإنسان",NA,NA,NA
"533","1401","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمراة","بوابة الشكاوى الحكومية","موقع مجلس الوزراء","صفحة نهاد ابو القمصان","صفحة اشرف فرحات المحامى"
"534","1402","First:,Second:","مينا سمير","محمد رأفت",NA,NA,NA
"535","1404","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"536","1405","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأة","108 مباحث الانترنت","صفحة قاوم على فيس بوك","الشرطة","الاهل"
"537","1407","First:,Second:,Third:,Fourth:,Fifth:","الاستاذة نهاد ابو قمصان","المجلس القومي للمراة","الصفحات النسويه","هيئة الامم المتحدة للمراة","المجلس القومي للامومة والطفوله"
"538","1409","First:,Second:,Third:","ادعم المرأة","جروبات النت","دردشة سيدات على النت",NA,NA
"539","1412","First:","المجلس القومي للمراءة",NA,NA,NA,NA
"540","1413","First:","انتي مش  لوحدك",NA,NA,NA,NA
"541","1414","First:,Second:,Third:","المجلس القومى للمرأة","المركز القومي للأمومة والطفولة","دكتورة نهاد أبو القمصان",NA,NA
"542","1417","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"543","1420","First:,Second:","حقوق المرأة","منظمه العفو الدوليه",NA,NA,NA
"544","1422","First:","برنامج د نهاد",NA,NA,NA,NA
"545","1423","First:,Second:,Third:,Fourth:,Fifth:","مجلس الامومه والطفوله","المجلس القومي للمراه","النيابه العامه المصريه","انت مش لوحدك علي الواتس اب","صفحة الاستاذه نهاد ابو القمصان"
"546","1428","First:,Second:,Third:","برامج المرأة","حقوق المرأة","قضايا المرأة",NA,NA
"547","1430","First:,Second:,Third:","المركز القومى للمرأة","مركز القاهرة للتنمية وحقوق الإنسان","بيت حواء",NA,NA
"548","1431","First:,Second:,Third:","المركز القومي للمرأة","المركز المصري للمرأة","الجهات الحكومية مثل دور الرعاية",NA,NA
"549","1432","First:","انتى مش لواحدك",NA,NA,NA,NA
"550","1433","First:,Second:,Third:","Egyptian single mothers","جمعيه حقوق المرأه","جمعيه حقوق الإنسان",NA,NA
"551","1435","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"552","1437","First:,I do not know any.","انتي مش ث",NA,NA,NA,NA
"553","1440","First:","دعم قضايا المراه",NA,NA,NA,NA
"554","1442","First:,Second:","جروب دعم المراه ع الواتس والبيدج ع الفيس بوك","برامج تلفزيونيه",NA,NA,NA
"555","1443","First:","المركز المصري لحقوق المراة",NA,NA,NA,NA
"556","1449","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمرأه","واتس اب حقوق المرأه","اصدقاء يعملون فى الشؤن الاجتماعيه","اصدقاء يعملون بالمحكمه","اصدقاء محامين بمحكمه الاسرة"
"557","1452","First:,Second:","انتى مش لوحدك","مع نهاد",NA,NA,NA
"558","1453","First:,Second:","المجلس القومي للمرأة","انتي مش لوحدك",NA,NA,NA
"559","1456","First:","برنامج حكايات نهاد",NA,NA,NA,NA
"560","1458","First:,Second:,Third:,Fourth:,Fifth:","محكمة الأسره","المسؤلين","التلفاز","الاسره","الأهل"
"561","1460","First:,Second:","المجلس القومى للمرأة","اقسام الشرطه",NA,NA,NA
"562","1462","First:","جمعيات حقوق المرأة",NA,NA,NA,NA
"563","1463","First:,Second:,Third:,Fourth:,Fifth:","فيس","واتس","جوجل","تويتر","انستجرام"
"564","1465","First:,Second:,Third:","الانترنت حقوق المراه","جهات مختصه تقدم دعم","حد تثق فيه",NA,NA
"565","1466","First:,I do not know any.","مجلس حقوق المرأه ف مصر",NA,NA,NA,NA
"566","1467","First:","برامج تليفزيونيه",NA,NA,NA,NA
"567","1469","First:","حكايات نهاد",NA,NA,NA,NA
"568","1470","First:","القومي للمرأة",NA,NA,NA,NA
"569","1480","First:","برنامج دعم المراه",NA,NA,NA,NA
"570","1484","First:","الفيديوهات التى تاتى بعد الاستبيان",NA,NA,NA,NA
"571","1487","First:","اليوتيوب",NA,NA,NA,NA
"572","1495","First:","مجبس القومي  المرأة",NA,NA,NA,NA
"573","1499","First:,Second:,Third:,Fourth:,Fifth:","صفحات الفيس بوك","التليفزيون","مواقع الانترنت","جروبات الواتساب","منظمة حقوق الانسان"
"574","1502","First:,Second:","جمعيات حقوق المراءه","محكمه الاسره",NA,NA,NA
"575","1504","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"576","1506","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"577","1507","First:,Second:","برنامج حكايات نهاد","جمعية هي لدعم المراة",NA,NA,NA
"578","1510","First:","مركز حقوق المرأة",NA,NA,NA,NA
"579","1513","First:,Second:","المركز المصرى لحقوق المر<U+0671>ة","المجلس القومى للمراة",NA,NA,NA
"580","1517","First:","دعم المراة",NA,NA,NA,NA
"581","1518","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"582","1519","First:,Second:,Third:,Fourth:,Fifth:","برامج المرأه","المجلس القومى للمرأه","الشرطه","الفيس","الصحف"
"583","1521","First:,Second:","المجلس القومي للمراة","شرطة العنف ضد المراة",NA,NA,NA
"584","1523","First:,Second:,Third:","الشرطة","المجلس القومى للمرأة","حقوق الإنسان",NA,NA
"585","1524","First:","حقوق المرأة",NA,NA,NA,NA
"586","1526","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمراه","حملة امسك متحرش","صفحات دعم المراه","جروبات البنات على الفيس","بس كده"
"587","1528","First:","العنف ضدد المراه",NA,NA,NA,NA
"588","1529","First:,Second:","المجلس القومي لحقوق المرأة","حقوق الانسان",NA,NA,NA
"589","1530","First:,Second:,Third:","جهات حكومية","منظمات حقوقية","جمعيات",NA,NA
"590","1531","First:","دكتوره نهال",NA,NA,NA,NA
"591","1535","First:,Second:","الاسره","السلطه المختصه",NA,NA,NA
"592","1537","First:,Second:","برنامج حكايات نهاد","المجلس القومي للمرأة",NA,NA,NA
"593","1538","First:,Second:","دكتورة نهاد ابو القمصان","حقوق المرأة",NA,NA,NA
"594","1546","First:,Second:,Third:,Fourth:,Fifth:","Aasluat police","Nadeen ashraf","Sabah","برنامج هى وبس","مدونه حكايات"
"595","1547","First:","القومي للمرأة",NA,NA,NA,NA
"596","1549","First:","انتي مش لوحدك",NA,NA,NA,NA
"597","1550","First:,I do not know any.","برامج تليفزيونية",NA,NA,NA,NA
"598","1551","First:","فيديوهات الاستاذة نهاد فقط",NA,NA,NA,NA
"599","1553","First:","المركز القومى للمرأة",NA,NA,NA,NA
"600","1559","First:","انتي مش لوحدك",NA,NA,NA,NA
"601","1565","First:,Second:","صفحة فيسبوك انتي مش لوحدك","جروب فيسبوك امهات مصر المعيلات",NA,NA,NA
"602","1568","First:,Second:","المجلس القومي للمرأة","مراكز الشرطة",NA,NA,NA
"603","1570","First:,Second:","قسم الشرطة","المجلس القومى للمرأة",NA,NA,NA
"604","1574","First:,Second:","القنوات الفضائيه","برامج المرأة",NA,NA,NA
"605","1575","First:,Second:,Third:,Fourth:","برنامج حكايات نهاد","برنامج صبايا","برنامج رضوي الشربيني","برنامج دعاء فاروق",NA
"606","1577","First:","دعم المرأه",NA,NA,NA,NA
"607","1584","First:","المجلس القومى للمراة",NA,NA,NA,NA
"608","1585","First:,Second:,Third:","حقوق المرأة","حقوق الإنسان","المركز القومي لدعم المرأة",NA,NA
"609","1586","First:","المرأة",NA,NA,NA,NA
"610","1589","First:,Second:,Third:","المركز القومي للمرأة","وزارة التضامن الاجتماعى","الجمعيات النسائية",NA,NA
"611","1591","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"612","1593","First:","دعم المرأه",NA,NA,NA,NA
"613","1595","First:,Second:","انتى مش لوحدك","نهاد ابو القمصان",NA,NA,NA
"614","1596","First:,Second:,Third:","المحامية نهاد أبو القمصان","هاله سمير","رضوى الشربينى",NA,NA
"615","1599","First:,Second:","دعم المرأة والطفل","قضايا المرأة المصرية",NA,NA,NA
"616","1600","First:","دعم المرأة",NA,NA,NA,NA
"617","1604","First:","المركز المصري لحقوق المراة",NA,NA,NA,NA
"618","1606","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","،","،","،","،"
"619","1607","First:,Second:","دالدكتور جيهان شاهين","ناهد",NA,NA,NA
"620","1608","First:,Second:","الشرطة","المجلس القومي للمرأة",NA,NA,NA
"621","1610","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"622","1613","First:,Second:,Third:,Fourth:,Fifth:","منظمة العفو الدوليه","حقوق المراه","العنف ضد المراه","مركز صحة المراة","المراكز الحقوقية"
"623","1614","First:,Second:,Third:","حقوق المراه","حمايه الطفوله","وزاره الداخليه",NA,NA
"624","1615","First:","المركز القومي لحقوق المرأه",NA,NA,NA,NA
"625","1616","First:,Second:","You tube","حكايات نهاد",NA,NA,NA
"626","1617","First:","حقوق المرأة",NA,NA,NA,NA
"627","1618","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"628","1622","First:","المجلس القومى للمراءة",NA,NA,NA,NA
"629","1624","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"630","1630","First:,Second:","المجلس القومى للمرأة","قسم الشرطة",NA,NA,NA
"631","1631","First:,Second:,Third:,Fourth:,Fifth:","حقوق الانسان","المجلس القومي للمرأه","مركز قضايا المرأه المصريه","مركز النديم لضحايا العنف الأسري","مؤسسة المرأه المصريه للقانون والثقافه"
"632","1635","First:","المجلس القومي لدعم المرأه",NA,NA,NA,NA
"633","1636","First:,Second:,Third:,Fourth:","برنامج نهاد","برنامج ريهام سعيد","وائل الابراشى","عمرو اديب",NA
"634","1640","First:","المجلس القومي لحقوق المراة",NA,NA,NA,NA
"635","1641","First:,Second:,Third:","المركز المصري لحقوق المراة","المجلس القومي للمراة","بهية",NA,NA
"636","1643","First:,Second:","المجلس القومي للمرأه","حقوق الانسان",NA,NA,NA
"637","1644","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","صفحة نهاد","وزارة التضامن الاجتماعي","برامج التلفزيون","لا اعرف"
"638","1645","First:","دعم المرأه",NA,NA,NA,NA
"639","1649","First:,Second:","انتى مش لوحدك","المجلس القومى للمرأة",NA,NA,NA
"640","1657","First:,Second:,Third:","المجلس القومي للمرأة","جمعية المرأة المعنفة","جمعية حقوق المرأة",NA,NA
"641","1665","First:,Second:","المركز المصري لدعم المرأة","الطبيب النفسي",NA,NA,NA
"642","1667","First:","المركز القومى للمرأة",NA,NA,NA,NA
"643","1669","First:,Second:","المجلس القومي للمرأة","مش لوحدك",NA,NA,NA
"644","1672","First:,Second:","نهاد قمصان","حقوق المراة",NA,NA,NA
"645","1673","First:,Second:","خط نجدة الطفل","النجدة",NA,NA,NA
"646","1675","First:","المركز القومي لحماية الأمومة و الطفولة",NA,NA,NA,NA
"647","1676","First:,Second:,Third:,Fourth:,Fifth:","مجلس المراة","الطب النفسي","المحاكم","التواصل الاجتماعي","الاسرة"
"648","1680","First:","جهاز حمايه المرأه",NA,NA,NA,NA
"649","1681","First:","دعم المرأة",NA,NA,NA,NA
"650","1682","First:,Second:,Third:,Fourth:,Fifth:","جمعية المرأة والتنمية سيدي بشر الاسكندرية","مركز قضايا المرأة بالجيزة","مركز النديم لضحايا العنف الاسري المهندسين","الجمعية المصرية للتوعية والصحة النفسية بكورنيش المعادي","مؤسسةالمرأة المصرية للقانون وثقافة السلام بباب اللوق"
"651","1683","First:","دعم المرأة",NA,NA,NA,NA
"652","1686","First:,Second:","برنامج مش لوحدك","برنامج cbc",NA,NA,NA
"653","1689","First:,Second:,Third:,Fourth:","التواصل الاجتماعى","الواتس اب","جروب الفيس بوك","اليوتيوب",NA
"654","1692","First:","برامج استاذه نهاد",NA,NA,NA,NA
"655","1693","First:","المركز المصري لدعم المرأة",NA,NA,NA,NA
"656","1694","First:,Second:","المجلس القومي للمرأة","حكايات نهاد",NA,NA,NA
"657","1696","First:","المجلس القومي للمرإه",NA,NA,NA,NA
"658","1700","First:","محكمة الاسرة",NA,NA,NA,NA
"659","1703","First:,Second:,Third:,Fourth:,Fifth:","جروب دعم","جروبات فيس","يةتيوب","جوجل","واتس"
"660","1712","First:","من خلال الموقع بتاعكم",NA,NA,NA,NA
"661","1713","First:","دعم المرأة",NA,NA,NA,NA
"662","1715","First:,Second:,Third:","موقع دعم المرأة","فيس بوك","تويتر",NA,NA
"663","1716","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"664","1718","First:,Second:,Third:,Fourth:","البحث عن طريق الانترنت","ابلاغ الجهات المختصة","الجمعيات النسائية التي تدعم المرأة","تدخل الاهل",NA
"665","1719","First:","مركز المرأة للطفولة والأمومة",NA,NA,NA,NA
"666","1721","First:,Second:","برنامج منى عراقي","وصفحه دعم المراءه",NA,NA,NA
"667","1722","First:,Second:,Third:","برامج التلفزيون","جروبات علي الانترنت","علي اليوتيوب",NA,NA
"668","1724","First:","جمعيه المرأه",NA,NA,NA,NA
"669","1727","First:,Second:,Third:","حقوق الانسان","جمعيات المرأه","دور العباده",NA,NA
"670","1728","First:,Second:,Third:,Fourth:,Fifth:","دكتورة نهاد فى الفيديوهات على الواتس","فيديوهات على اليوتيوب","على الفيس بوك","على انستجرام","على تويتر"
"671","1730","First:,Second:","برنامج حكايات نهاد","المجلس القومي للمرأة",NA,NA,NA
"672","1732","First:,Second:,Third:","مركز قضايا المرأة","القومي للمراه","فيديوهات نهاد ابو القمصان",NA,NA
"673","1736","First:,Second:","المجلس القومي للمرأة","النائب العام",NA,NA,NA
"674","1737","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"675","1745","First:","الاعلام",NA,NA,NA,NA
"676","1749","First:,Second:,Third:","الشرطة","المسؤول","الاهل",NA,NA
"677","1752","First:,Second:","وزارة الشئون الاجتماعية","منظمة حقوق الانسان",NA,NA,NA
"678","1754","First:,Second:","المجلس القومي للمرأة","جمعية وعي",NA,NA,NA
"679","1761","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"680","1765","First:,Second:","حكايات نهاد","وزارة الاوقاف",NA,NA,NA
"681","1767","First:,Second:,Third:,Fourth:,Fifth:","برنامج رضوى الشربيني هي","الحكاية عمر اديب","منظمة الاسرة","الجهات القانونية عموماً","الأهل"
"682","1768","First:","الخط الساخن للهيئة الوطنية لمقاومة العنف الاسرى",NA,NA,NA,NA
"683","1769","First:,Second:,Third:","الشرطه","المجلس القومي للمرأة","المجلس القومي لحقوق الانسان",NA,NA
"684","1775","First:,Second:,Third:","حكايات نهاد","التاسعة مساء","بعض البرامج والفقرات",NA,NA
"685","1781","First:,Second:","حكايات نهاد","تمكين المرأة",NA,NA,NA
"686","1786","First:,Second:,Third:","مركز قضايا المراه","المركز القومى للمراه","مركز النديم لضحايا الاسرى",NA,NA
"687","1787","First:,Second:","جمعيات حقوق المرأة","المجلس القومي",NA,NA,NA
"688","1793","First:,Second:","المجلس القومي لحقوق المرأة","مراكز الامومة و الطفولة",NA,NA,NA
"689","1796","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"690","1797","First:","برنامج نهاد",NA,NA,NA,NA
"691","1798","First:,Second:","المجلس القومى لحقوق المراة","احنا معك وزارة الداخلية",NA,NA,NA
