"","V1","V2"
"387","1632","عن حريه اللبس والمظهر ‘جمال المرأه بعد الاربعين‘ تحقيق عن موضوع فتاه الفيرمونت‘ العند والتسبب في خراب البيوت بسبب تصلب الرإي وحلقات اخري"
"388","1635","عن الحياه ما بعد الزواج و الحقوق"
"389","1636","مهمتم بالمراءه وقضايها"
"390","1637","جيد وكان خاص بختان الإناث و مخاطر كورونا"
"391","1639","قانونية و حياتية"
"392","1640","قريب إلى حد ما إلى الأحداث"
"393","1641","عن العنف ضد المراة والختان والتحرش ونماذج لنجاح لفتيات"
"394","1644","وجبات الزوج و عن بناء المستقبل ، و حلقة عن المجتمع المدني"
"395","1657","شوفت حلقة كانت بتحكي عن اصحاب الهمم وفي حلقات عن التحرش"
"396","1659","الكلام عن قضايا متعددة تخص المراة"
"397","1660","كلام عن حقوق المرأة والقضايا"
"398","1666","دعم المرأة وتوعيتها قانونيا ونفسيا إلي حد ما"
"399","1672","قضايا المرأة تحديدا عن الخلع"
"400","1673","جيد"
"401","1676","المحاكم والاسرة"
"402","1683","قانوني توعوي عن حقوق المرأة المطلقة"
"403","1692","حقوق المرآه والعنف الاسري ضد المرآه"
"404","1694","عن قضايا المرأة ومواضيع قانونية"
"405","1696","الاختلافات بين سيكلوجية المراه وسيكلوجية الرجل"
"406","1700","كل الحلقات بتعلم المرأة ازاي تواجه سلبيات المجتمع بمختلف أشكالها سواء كانت عنف أو تحرش و خطورة ختان الاناث نفسيا وجسديا"
"407","1706","40 سن النضوج وابدا افكر فى نفسى واللى يريحنى، ولا اشغل نفسى باراء الاخرين"
"408","1712","بيتكلم عن حرية المرأة وحقوقها وازاى تقدر تتعامل مع المجتمع بدون ما تتنازل عن حقوقها ولا تقصر فى اى من واجباتها وكمان ازاى تتعامل مع الراجل كشريك له حقوق وعليه واجبات"
"409","1726","حقوق المراة"
"410","1728","عن التحرش الجنسى . وعن اهانة المراة العاملة من الزوج و تحملها للمسؤولية"
"411","1731","التحرش والعنف ضد المرأه"
"412","1732","الطلاق. الشغل وتنظيم الوقت. فيرس كورونا"
"413","1733","الضرب و التحرش الجنسي"
"414","1735","توعيه اعطاء طاقه ايجابيه"
"415","1736","يعني ايه راجل او ازاي تبقي راجل"
"416","1737","حلقات تتكلم عن قضايا المرأة وفى حلقة أن مش كل اللي يقولك انتي زي بنتي يبقي زي ابوكي"
"417","1738","المحتوي جيد جدا لحلقات التي شاهدتها"
"418","1745","موضوع التحرش"
"419","1747","بتتكلم عن قضايا المجتمع ومنها قضايا المرأة"
"420","1749","علاقه ام الزوج بالزوجه ابنها"
"421","1753","د. جمال سرور وختان البنات ورسول الله صلى الله عليه وسلم وبناته  ..   زواج البنات وتنظيم الوقت والبيت والشغل ستره للبنات"
"422","1754","قضايا تتعلق بالمرأة و البنات و مناقشة قضايا زيةالفيرمونت"
"423","1755","مفيد وبيقدم الوعي للناس"
"424","1761","إن البنات اصبحت تميل للراجل اللي شكله ناعم خوفاً من العنف"
"425","1767","زواج الفاصرات والفرق بين الزواج المصري والغربي والطلاق"
"426","1769","العنف ضد المرأة /  ختان البنات /المواريث"
"427","1772","نوعيه قانونيه وقضايا المراه"
"428","1775","العنف مع المرأة وهدر حقها وبعض مشاكل الميراث بالنسبة للمرأة"
"429","1776","معنى الرجولة و ازاي تبقي راجل بعقلك و احترامك و حنانك لانثاك بدل ما تستخدم سطوتك و عضلاتك، ختان الاناث و تأثير الانترنت ف الوعى عند الفتيات"
"430","1785","ختان الإناث"
"431","1786","الختان/التحرش/البنات والإنترنت"
"432","1787","الحديث عن قضايا الأحوال الشخصية وإجابات الأسئلة الواردة للبرنامج"
"433","1793","ختان البنات"
"434","1794","بصراحه برنامج مفيد جداا بيحسسنى بقيتى ودورى ووجباتى وحقوقي مش متابعاه علي التليفزيون اوى بس برجع اتفرج عليه ع اليوتيوب او الفيس بوك شكراا علي تعبكم معانا ونرجوا الاستمرار"
"435","1796","العنف ضد المرأه"
"436","1798","العنف ضد المرأة ختان الاناث"
"437","1799","الختان والانترنت وحلقه يعنى ايه راجل"
"438","1801","ولكنها جيدة"
"439","1808","اكتر حلقه فاكرها الخاصة بموضوع الختان"
"440","1809","عن حقوق المرأة"
"441","1819","المحتوى كان بيعرض بوضوح رفض العنف ضد المرأه سواء متزوجه او ارمله او ايا ما كان بالاضافه لتوضيح كثير من الامور فى القانون المتعلق بالمرأه وحقوقها.... الخ"
"442","1820","كل الحلقات اللي بتتكلم عن مشاكل الطلاق والنفقه"
"443","1821","ختان الايناث"
"444","1822","تتكلم عن المرأه المعيله وظروف الحياه اللتي تجبراي انسان علي الذل، تتكلم عن حق المرأة، تتكلم عن الحب ادمغموس بالضرب والاهانه وعن ضحك الرجال العوجيز علي البنات الصغيرة"
"445","1823","الى ما ااتذكر كان يتحدث عن ختان الاناث وحلقه اخرى عن الزواج المبكر"
"446","1827","الحلقات اللى شوفتها عن قضايا الطلاق و قانون الرؤية"
"447","1828","كلام عن حقوق المرأة"
"448","1831","هادفه"
"449","1833","كانت في حلقه بتتكلم عن الختان واقتنعت كلامها جدا ومره تانيه كان في تكريم لجمعيه ف الصعيد مش فاكره اسمها"
"450","1834","مفيد ورائع"
"451","1848","بحكم ظروفى بتعجبنى حلقات حقوق المرأه الطلقة"
"452","1850","الجواز التانية ،ازاى تبقى شخصية مهمة،كلام للرجاله،البنات والانترنت"
"453","1853","عن التحرش الجنسي سواء مع الاطفال او اذا حصل مع زميلة في الشغل وكلمتها للرجال والشباب وانصرف اذاي اذا حصل تحرش أو اغتصاب مع حد اعرفه وايه عقوبته في القانون"
"454","1859","ختان الاناث والعنف ضد المراه"
"455","1862","قانون المرأة/حقوق الزوجة"
"456","1872","ختان الاناث"
"457","1873","مابعد كورونا وتأثيره على منظمة العمل ومؤخر الأرملة يعتبر دين تأخذه قبل توزيع الميراث"
"458","1881","العنف ضد المرأة"
"459","1882","بنواجه فعلا مشاكل المراة وتساعد في حلها"
"460","1885","قضايا المرأة والقانون"
"461","1890","الخلع والتخسيس والتحرش"
"462","1892","دعم المرأة وتوعيتها ضد العنف"
"463","1894","جيدة"
"464","1895","الختان"
"465","1908","الشاطر شاطر كلام رجاله سجن الخوف"
"466","1917","عن الختان وازاي اكون شخصيه مهمه والزوجه التانيه تقريبا و ازاي ابطل قلق"
"467","1924","برنامج توعوى بينافش قضايا قانونيه وتحديدا قضايا المرأة"
"468","1926","اجتماعى"
"469","1930","كانت الحلقه عن الزوجة الثانية  وحلقة عن أسباب الرجال في الزواج بمراة أخري والادعاءات بأن البنات أكثر عددا من الرجال"
"470","1935","الختان واخرى عن التحرش  والتعليم"
"471","1936","العنف ضد المرأة"
"472","1937","التحرش الجنسي وكيفية التعامل معه..."
"473","1941","عن العنف ضد المرأه والتحرش وازاي ندافع عن نفسنا وناخد حقوقفنا"
"474","1942","قضايا قانونية وتوعية بخصوص مواد القانون"
"475","1946","العنف ضدد المرأة و التحرش و تطور علاقة الام بأولادها اللي كبروا"
"476","1953","استفدت كتير جدا عرفت انواع العنف وانه مش بس شتيمة وضرب وكمان اسبابه. واشكال التحرش وعقوباتها وان التحرش مش مقتصر ع لبس البنت بس. واننا لما نشوف التحرش منسكتش وناخد فعل حازم. وان ختان الاناث جريمة ومش مذكور ف الاسلام من الاساس وعقوبته القانونية."
"477","1957","قضايا  التحرش"
"478","1961","توعية بطريقة سلسله عن التحرش العنف الطلاق الزواج الشغل تاثير كورونا علي بيوتنا"
"479","1962","الزواج الفاشل وكيفية الحفاظ على الاسرة"
"480","1971","العنف ضد المرءه"
"481","1976","حلقة عن التحرش واخرى عن المشاكل الزوجية"
"482","1989","ازاي نواجه مشاكلةالستات والبنات وازاي نقضي علي عاده الختان"
"483","2003","ختان الاناث"
"484","2008","دعم المراءه"
"485","2013","ختان الإناث"
"486","2020","عن الطلاق والحضانة وحقوق الزوجه وأشياء من هذا القبيل"
"487","2030","توعية الفتيات والسيدات ضد التحرش الجنسى فى العمل وفى جميع الاماكن التى ممكن ان تتعرض الفتيات للتحرش فيها"
"488","2041","حلوة"
"489","2044","حلقات عن مشاكل المراه في العمل والمشاكل القانونيه"
"490","2045","كيف اقي نفسي واولادي من التحرش في الشارع والعمل"
"491","2046","قضايا المرأة"
"492","2052","عن المرأة وحقوقها"
"493","2054","الختان.التحرش الجنسي"
"494","2055","معظمها كان عن حقوق المرأة بعد الطلاق أو في طلب الطلاق والحضانة ونفقاتها"
"495","2061","كل الحلقات عادة تتحدث عن قضايا تهم المرأة والأسرة، بالإضافة إلى طرح قضايا مهمة مثل التحرش وطرق مواجهته، وختان الإناث وأضراره."
"496","2064","عن حقوق المرأة ف الطلاق والخلع والعمل"
"497","2071","كانت من بينهم حلقة تدعم النساء المطلقات وحق رؤية الأب للاولاد وهكذا وحلقات عن العنف الأسري ضد المرأة و ع التحرش أيضا هذا ما اتذكره"
"498","2073","التحرش الجنسي بالأطفال وعلاقه اللبس بالتحرش وانه مش مبرر للتحرش ودور الشباب والرجاله في مواجهه التحرش وانه مينفعش ابدا يتجاهل االبنت اللي قدامه اويعاملها بعدم احترام وميسمعش اللي بتقوله ودا اصلا شكل من اشكال العنف"
"499","2079","الطلاق"
"500","2084","العنف ضد المراة"
"501","2093","عن زواج القصيرات"
"502","2103","المرآه"
"503","2117","حلقات عن التحرس وعمل المرأه"
"504","2124","بسيط وبيخاطب كل الفئات حتى الغير متعلمين"
"505","2128","التحرش الجنسى وختان البنات"
"506","2136","ختان الاناث"
"507","2141","أهمية شغل المرأة و ترشيحها للانتخابات و أهمية تعليمها وأهمية معرفة حقوقها و كيفية اخذها"
"508","2142","حول قضايا العنف والتحرش"
"509","2146","بتتكلم بشكل بسيط كأنها ست بيت بتتكلم مع صاحبتها اسلوبها سلسل"
"510","2148","دعم المرأة وحمايتها وحماية حقوقها وتوعية المرأة"
"511","2154","عن المرأة ومشاكلها"
"512","2156","كيفيه اختيار الاشخاص والاعتماد على النفس او الذات"
"513","2161","اغلبها مشاكل اسريه"
"514","2167","محتوي جيد واقعي"
"515","2169","جواز البنات... قضايا الاغتصاب"
"516","2173","الدفاع عن حق المرأه فى الحياه"
"517","2177","ختان الاناث"
"518","2178","ميراث البنات //الختان//زواج القاصرات //قضايا الاغتصاب"
"519","2179","التعريف بحقوق المرأة ونوعيتها ضد العنف"
"520","2180","عن المرأة"
"521","2181","مهم جدااا"
"522","2182","الطهور..الاغتصاب"
"523","2184","تهتم بقضايا المراه وكيفية التصدي للعنف الموجه لهل"
"524","2187","كانت عبارة عن اسئلة وجوابات"
"525","2188","عامة حقوق المرأة وخاصة قضايا النفقة والتمكين التى لا تستطيع المرأة تنفيزها"
"526","2189","الختان و الانترنت"
"527","2190","محتوي عن القوانين التي تخص المرأة والأسرة"
"528","2191","قليل وغير وافي"
"529","2192","عن حقوق المرأة والاسرة ومحتوي قانوني اجتماعي"
"530","2193","مشاكل ف حياه المراه وقضاياها"
"531","2194","توعية قانونية بحقوق المرأه"
"532","2195","خفيفه الظل"
"533","2199","قضايا المرأه وختان الإناث والحياه في الحظر"
"534","2201","توعية المرأة بحقوقها والاشياء التي لا يجب ان تسكت عنها مثل قضية ختان البنات وغيرها"
"535","2203","ارشادات ونصائح"
"536","2208","حلقة الختان حلقه بنت الفندق  حلقه تأجيل الخلفه للكابل الكنتي مستدفاه وحاجات كتير بس كل ده بتابع من على صفحة الفيس بشوف منها كتير لمن التليفزيون قليل قوي اما اتفرج اصلا عليه"
"537","2211","توعوية"
"538","2213","الشباب والإعداد لسوق العمل ...حقوق المطلقة ...مهارات نفسية حياتية"
"539","2219","كانت ازاي تبقي شخصية مهمة ، و كان كلام للرجالة"
"540","2220","حكايات عن الناس بالقانون"
"541","2225","المشاكل التى تواجه المرأة المطلقة من حيث النفقة والسكن للأولاد اذا كانت حاضنة"
"542","2226","الحضانه وشروطها"
"543","2228","ختان الاناث"
"544","2229","توعيه عن كيفية التعامل مع المتحرش وكيف التصرف لو المتحرش كان لزميله لى ومعلومات عن التصالح العقارى"
"545","2231","الخلع و قضايا الاسرة"
"546","2233","محتوى هادف يرشدنا لزياده الوعي حول الاسره وعلاج مشكلاتها"
"547","2239","حقوق المرأة وتعرفنا بكل القضايا المحيطة مثل التحرش وقضايا الميراث والعقار وعن نفسى فتحت عنيا وفهمتنى حاجات كتير فى المجتمع"
"548","2241","ازاى تبقى شخصيه مهمة بس الحلقة بقالها كتير"
"549","2249","مشكلات العنف ضد المرأة  وزواج القاصرات"
"550","2251","مفيد وخفيف"
"551","2256","محتوى قيم الصراحه"
"552","2257","ختان الاناث زواج القاصرات"
"553","2258","شوفت مرة كانت مدام نهاد بتجاوب عن الاسئله الى المشاهدين بيسالوها ومنها بيت الطاعه والجار بالشفعه وانى ما اعطيش اى حد اسمى بالكامل والرقم القومى لان ممكن يعمل بيهم حجات كتير ضددى وشفت كذا حلقه عن نساء ناجحات حاربوا الظروف والاهل وبقيوا حتجه مشرفه ومن ضمنهم واحده ابنها قتل بالطار وكانت بتلف على العاىلات توعيهم عن خطورة الطار والقتل وموضوع التوكيلات وحجات كتير منها ان كل حاجه الست المطلقه صرفتها على ابنها من مصاريف مدارس لعلاج لاى حاجه تقدر تاخدها من الاب طالما معاها فاتورة تثبت ده وحجات كتير تانيه استفدتها من البرنامج الهادف ده"
"554","2262","قضية الفيرمونت والتحرش وتعرض البنات للخديعة من كبار السن"
"555","2266","ختان الإناث .وقبلها العنف الأسري"
"556","2270","ممتاز"
"557","2273","مناقشة مشاكل قانونية"
"558","2275","العنف ضد المرأة"
"559","2279","حقوق النساء فى القانون المصرى والقضايا الاسرية"
"560","2280","بيكلم عن المراة وبيدعمها"
"561","2283","ختان الاناث"
"562","2284","العنف ضد الاطفال"
"563","2297","التحرش فى العمل"
"564","2311","مختصر ومفيد وهادف جدا و أفادني وصريح وواضح  ومحترم"
"565","2316","حلقه تعليم البنات"
"566","2319","تعريف بالقانون وبحقوق المراه وحل المشاكل الاسريه"
"567","2323","التحرش والتحرش الجنسي بالاطفال وعقوبات وانتي تحميهم والاغتصاب ومواجهته وآثار كورونا والعنف ضد المراه و"
"568","2324","يعني اية راجل /الختان والانترنت"
"569","2328","التحرش"
"570","2338","قضية تصرف فيها المواطن بغرابه"
"571","2358","عن التحرش"
"572","2362","الزواج العرفي"
"573","2363","ميراث الايناث"
"574","2364","القانون عند الانفصال"
"575","2370","مفيد جدا"
"576","2371","زواج القصر"
"577","2373","قضايا المرأة"
"578","2376","عن الختان وقضايا اخري"
"579","2378","المراة وقضاياالتحرش وتدخل النائب العام"
"580","2385","قضايا المرأة"
"581","2386","عن ختان الاناث وحقوق المرأه وأفرفش نفسي إزاي"
"582","2388","العنف ضد المرأة"
"583","2391","جواز البنات"
"584","2392","عن الختان"
"585","2393","حق البنت فى الدفاع عن حقها ضد التحرش والاعتداء وتقرير مصيرها"
"586","2401","الرجولة مفهومها عند ناس كتير غلط و واخدينها بالقوة و العضلات و إن المرأه اللى بتتعرض للعنف فى بيتها لازم تتخذ رد فعل و تبلغ الشرطة و عرفت إن الختان خطأ فى حق المرأة و إن المرأه المصرية ليها حقوق قانونية كتير لازم اعرفها عشان اطالب بها"
"587","2402","توعيه"
"588","2405","حقوق المرأه"
"589","2416","بحب اشوف ان المحاميه تقدر تنجح اكتر من الرجال كمان اتمنى اكون محاميه كبيره مثلها"
"590","2419","عن الزوجه الثانيه"
"591","2426","قضايا النفقة و العنف مع الزوجات"
"592","2429","دعم المراة والتحرش وكيفية مواجهة"
"593","2437","الفرق بين الطلاق والخلع، العنف ضد المرأة"
"594","2438","اكثر الحلقات استطيع أن أقول اني استفدت منها وكررت مشاهدتها كانت عن ختان الإناث"
"595","2440","حضانة الأولاد مع بعد الأنفصال"
"596","2445","حلقه التحرش"
"597","2449","كانت حلقات بتتكلم عن القانون وحقوق المرأة ومشاكل الطلاق والعنف الأسري وحلول قانونية واجتماعية ليها"
"598","2459","حلقات عن مشاكل أسرية وحلها بطريقة قانونية واجتماعية"
"599","2460","قضيه ختان الاناث وقضيه مخالفه البناء"
"600","2462","علي ما اتذكر عن حقوق المرأة المتزوجة والمطلقات"
"601","2466","الفرق بين الخلع والطلاق وأثر الكورونا على الاسره وخصوصا المرأه والتحرش بالأطفال والمرأه  والموظفات الجدد في العمل وحنان الإناث وأثره على الفتيات"
"602","2472","Very good"
"603","2476","زواج القاصرات"
"604","2487","ختان الإناث والعنف الأسري"
"605","2492","جيدة"
"606","2495","الحلقات كانت تتناول شرح المواضيع والقضايا الهامه بشكل مبسط وكانت حورات ونقاشات مفيده جدا علي المستوي الاجتماعي والفكري مما يعزز من التنميه المجتمعيه."
"607","2497","التحرش فى العمل"
"608","2503","العنف ضد المراة"
"609","2507","جيدا في توعيه وفي اجابات بستفاد بيها"
"610","2512","حلقات عن التحرش الجنسي وعن ختان الاناث"
"611","2520","عن الخلع والطلاق"
"612","2527","عن العنف الاسرى"
"613","2529","قوانين أسرة و قضايا واستفسارات قانونية"
"614","2531","مستوي معقول"
"615","2532","الزواج الثانى ، بناء الثقه ،"
"616","2535","توعيه قانونيه"
"617","2536","انفجرت على حلقة الرجالة عايزة ايه . وقف الختان.المأذون و بنتى"
"618","2538","معلومات قانونيه رائعه"
"619","2539","عن الختان والعنف ضد المرأة والتحرش"
"620","2549","برنامج هادف وتوعوي يناقش القضايا التي تهم المرأة والمجتمع"
"621","2551","برنامج اجتماعي"
"622","2554","إيصالات الامانه.....الايجارات"
"623","2560","قضايا المرأة المقهورة"
"624","2561","يتحدث عن ازاي تطور من شخصيتي واجعل الي أمامي يحترمني وازاي أسعد نفسي"
"625","2562","ختان الاناث وأضرارها على البنت و على اسرتها"
"626","2564","المرأة و اهميتها في المجتمع"
"627","2569","الختان"
"628","2580","جيد جدا ومفيد للمراه المصريه"
"629","2584","قانون الايجار القديم"
"630","2585","عن التحرش"
"631","2588","كان هى حلق بتتكلم عن حضانه الاطفال"
"632","2594","الختان  التحرش الجنسي والفظي"
"633","2595","حقوق المطلقات"
"634","2596","الاستشارات القانونيه واهم حاجة اماكن دعم المراة"
"635","2598","حلقه عن العنف الاسري"
"636","2602","عن العقود وصحتها والعنف المنزلى والتحرش واسئله واجابتها عن الطلاق ووضع الابناء"
"637","2611","جرائم الاغتصاب - التحرش الجنسي واللفظي - الآثار السلبية لفيروس كورونا - قضايا العنف ضد المرأة"
"638","2614","حلقة عن الزواج العرفي وخلقة عن الغارمات وحلقة عن حقوق الزوجة عند الطلاق او الخلع ده اللي فاكراه دلوقتي"
"639","2624","التحرش في الغمل"
"640","2628","حقوق المرأة"
"641","2630","عن التحرش وختان البنات وعن المواريث وحق البنت فى الورث وعن حق المرأة وعن المرأة العاملة"
"642","2632","أشهرهم حلقة قضايا التحرش الجنسى"
"643","2640","كانت ازاي المراءه المطلقه تخلي جوزها يصرف علي الولاد"
"644","2643","الاستشارات القانونية"
"645","2645","عن المرأة والمجتمع واجتماعيات"
"646","2647","ممتازه وفعاله جداا"
"647","2649","العنف والتحرش"
"648","2653","قضايا المرأة والمواريث"
"649","2655","اغلبها تنبيه المراه لحقوقها وازى تدافع عنها"
"650","2668","كان عاجبني لانه بيعلم الست انها ماتبقاش ضعيفه ويبقي لها شخصيه وعمل ودور. وانها من حقها تحس بانوثتها وانها انسانه بتشعر بالقيمه"
"651","2673","كان بتكلم عن هل لبس البنت هو السبب التحرش وازاي اتعمل مسح تحليلي 200في 1000في الرجال والسيدات عن التحرش وان كتير اعترفوا انهم بتحرشوا وبيتباهوا بذلك علي انه شي جميل وان كتير من السيدات اعترفت انهم تعرضوا للتحرش لدرجه انهم حياتهم باظت وان اللبس مش هو المشكله بدليل ان في رجاله بتشوف ان في لبس محتشم بيبقي مغري ليهم"
"652","2680","حلقة الختان"
"653","2689","الخلع /الختان"
"654","2694","قضايا اسريه حقيقه وتوعيه اسريه للمراه والاسره"
"655","2695","مفيده"
"656","2697","العنف ضد المرءه والغريب ان اتفاجءت بمعلومة ان مجرد التجاهل يعتبر عنف حقوقك كتير لى اول مره اعًفها بس من خلال الحلقات"
"657","2699","التحرش والختان"
"658","2700","الزواج المبكر والطلاق والتحرش"
"659","2704","جيدة"
"660","2706","عرفت الفرق بين الطلاق  وألخلع  والتحرش بالمرأة والأطفال واثر الختان على البنات"
"661","2713","سمعت للاستاذة حكايات كتيى لرأيها مثلا في اهم الحاجات في جهاز البنات ايلي ممكن تكون سبب في تسهيل الحياة عليها ذي غسالة الاطباق اهم من اشياء كتير بنشتريها للجهاز من اجل المنظرة وبس وسمعت رايها في الختان وسمعت رايها في تضيييييع وقت المراة وحياتها في المطبخ"
"662","2715","مشاكل الطلاق"
"663","2716","حسيت ان في سند للمرأة ولها حقوق قانونية كتير"
"664","2717","لا اتذكر لانها كانت من فتره لكنها كانت متميزه"
"665","2721","كيفيه التصدى للعنف ضد المرأة"
"666","2726","عن عنف الرجل اتجاه المرأة"
"667","2730","عن الطلاق وحقوق المرأة بعده ومرة تانية عن العنف ضد المرأه"
"668","2731","برنامج هادف جدا للمراه"
"669","2736","الفرق بين الخلع والطلاق واستفدت كتير"
"670","2738","التحرش الجنسي في العمل"
"671","2748","شوفت حلقات عن التحرش وشوفت حلقات عن ضرب واهانة الزوجة"
"672","2754","ختان الإناث . عمل المرأة"
"673","2759","عن زواج القاصرات وأسباب الطلاق"
"674","2760","العنف ضد المراه والتحرش"
"675","2762","الطلاق"
"676","2764","بيان للنيابه ..اوقفوا الختان ..الاغتصاب .......الخ"
"677","2765","مفيد وشيق"
"678","2779","اغلبه عن حقوق المرأه"
"679","2782","حلفات كتيره مختلفه"
"680","2784","فى حلقة منهم كانت عن الختان"
"681","2785","زواج القاصرات"
"682","2786","حكايات عن سيدات وزوجات أما تم استغلالهم أو التحرش بهم أو قهرهم"
"683","2787","التحرس والعتف ضد المراة"
"684","2791","الحلقات كلها على اظ ما كانت بسيطة بس كانت مؤثرة فعلاً. نهاد كلامها واقعي مفيهوش تزمت ومقنع وغير متحيز."
"685","2795","أفضل الحلقات بالنسبة لي حلقة النساء اللاتي تعرضن للعنف الزوجي وقت الحظر وإن ازاي المجتمع والناس المحيطين ممكن يكونو عائق قدام إن الواحدة تاخد حقها زي حكاية السيدة اللي اتعرضت للضرب المبرح من جوزها والجارة حاولت تثبط من عزيمتها إنها تقدم بلاغ بحجة اننا في حظر والشرطة مش فاضية وان جوزها معذور لانه مخنوق من القعدة لكن التصرف الصح انها طبعا لازم تبلغ الشرطة لأن ابسط حقوقها انها تعيش في أمان في بيتها ماتكونش مهددة دايما بالتعامل بعنف بحجة إن الزوج مخنوق او متضايق"
"686","2796","قصص من الواقع قصيرة وكيفية حل مشكلتها بوعى فى القانون"
"687","2799","حضانة الام والصاحب العبيط والتحرش"
"688","2808","العنف ضد المرأة"
"689","2810","ممتازه"
"690","2811","جيد جدا"
"691","2813","محتوى هادف ومهم للوقوف على قضايا الهامه التى تمس المجتمع ونظرته للانثي وموقف المجتمع من قضايا الاغتصاب والتحرش والختان"
"692","2815","ضرب الزوج للزوجه والتحرش وأسباب الانفصال ومواضيع كثيره"
"693","2816","توعية بحقوق المرأة"
"694","2818","كانت قضايا تخص المرأة كمشكلة الختان مثلا و تخص الأمور القانونية"
"695","2822","محتوى راقي يهتم بتوعية  بالبنات والسيدات عموما في جميع المجالات"
"696","2826","العنف الأسري ومعني راجل"
"697","2827","الاهتمام بقضايا المرأه في جميع نواحي الحياه وخصوصا المرأه التي تعمل"
"698","2829","عن عمل المرأه وعن اشياء تخص البيت والعزومات ولفت نظرى فيديو تعليم الميكب مع استاذة نهاد وبنتها وحاجات كتير"
"699","2831","كنتى بتشرحى نتيجه الاستبيان اللى فات ف الحلقات الاولى و بتفصليها"
"700","2834","حقوق المراءه عند الطلاق للضرر او الخلع"
"701","2835","حقوق المرأة والتحرش والابتزاز"
"702","2837","الجوازة التانية"
"703","2845","زياده العنف ضد المرأه مع كورونا فيرس"
"704","2846","عن التحرش"
"705","2851","محتوى هادف"
"706","2854","الحديث على قضايا المرأة ورأى الدين وقضايا الاطفال وغيرها"
"707","2860","محتوى حيادي بيناقش بموضوعية وأمثلة حيه واضحة"
"708","2862","ختان البنات 0 الاغتصاب"
"709","2865","قضايا المرأة عامة"
"710","2876","واحد عاوز يتجوز اجنبية و زواج القاصر"
"711","2879","المحتوى كان مفيد جدا"
"712","2881","مناقشة حيادية متميزة و بتناقش قضايا شائكة بطريقة ممتازة"
"713","2885","الجوازه لتانى .يعنى ايه تحرش.ازى تكونى سعيده رغم اللى خواليكى"
"714","2888","بيتكلم عن الزواج والزوجه والأسرة وزواج القاصرات"
"715","2890","كلامها مهم جدا وبتوضح ازاي نتعامل مع التحرش ونحمي نفسنا"
"716","2892","قضيه نصب"
"717","2894","جيد ومبسط"
"718","2906","قضايا المرأه عن الخلع والطلاق"
"719","2907","دعم المرأه ضد العنف"
"720","2913","كذا موضوع الصراحه عن الختان والتحرش والعنف كذا حلقه مش واحده"
"721","2915","حلقة علي اليوتيوب فتح ملف قضية اغتصاب فتاة الفيرمونت"
"722","2916","اسلوبها رائع بحبها اوي"
"723","2921","الرد على بعض المشكلات والتساؤلات القانونية  ) العنف ضد المراه  ) ختان الفتيات واضراره"
"724","2922","العنف ...التحرش"
"725","2925","عن ختان الاناث"
"726","2926","المشكلات القانونية واهم البنود اللي لازم تكون موجوده في عقد البيع والشراء عشان تحفظ حقك"
"727","2929","تقديم مشورات اجتماعيه  قانونيه عن مشكل في المجتمع"
"728","2949","قضايا العنف ضد المرأة وحققها القانونيه وتربية الاولاد"
"729","2952","حلقة اخطر كلمة على الزواج وحلقة ازاي يبقى عندي ثقة بنفسي وحلقة ازاي اتعامل مع المشاكل"
"730","2973","كان عن العنف ضد المرأة وعن ختان الاناث وعن المرأة التى تعمل"
"731","2976","التحرش.   خاصه الطلاق"
"732","2979","اسئله واجابتها بطريقة سهله وسلسه وفي مجال عملي محاكم الأسره وبستفاد"
"733","2984","توعية قانونية واجتماعية تخص بعض الظواهر السلبية"
"734","2988","عن التحرش والاغتصاب والتضجر والعنف"
"735","2990","مفيده وبتفتح للمرأه وعيها"
"736","2997","كلها عن قضايا المراه والتحرش وازاي نواجهه"
"737","2999","عن التحرش"
"738","3003","اختارتي زوجك ازاي - عمر المرأة"
"739","3004","محتوى هادف يذكر المرأة بحقوقها وواجبتها"
"740","3019","فهمت دور الانترنت ف حياة البنات وازاى بنكتسب منه توعيه وختان الاناث وتأثيراته ودور الأب ف البيت"
"741","3024","حلقة عن الشباب الي بيشتغل وهو بيدرس وعجبتني جدا كانت ملهمة وحلقة عن شغل الست وأهميته وافقرات عن مواضيع مختلفة"
"742","3027","التحرش في العمل للموظفين الجدد"
"743","3028","التحرش والعنف ضد المرأه"
"744","3030","توعية قانونية واجتماعية للمرأة عن طريق حكايات حدثت مع د.نهاد او أمامها أو تفسيرات لتصرفات بعض السيدات من الناحية النفسية مقارنة مع الرجال وتصرفاتهم مثلا في إحدى الحلقات قالت إن المرأة جديدة علي التنافس في العمل لذلك تحدث معها الكثير من المشاكل مقارنه بالرجال"
"745","3034","اراء جيدة تعجبني"
"746","3040","حلقات التحرش وتوعيه المراه"
"747","3054","الميراث... مشاكل زوجية"
"748","3058","العنف الاسري.  والتحرش في الشغل واللتحرش في الشارع والتحرش مع الاطفال."
"749","3071","حقوق المراة فى كل أمور الحياة"
"750","3075","الخلع.   والحضانه.  وتعديات علي المراه   وختان البنات ومتير استفدت منها"
"751","3077","كيفية تعامل المراة مع كل مايواجهها في المجتمع من تحرش او عنف او اغتصاب وقضايا الخلع والطلاق ومواجهه فيروس كورونا المستجد في العمل او المنزل"
"752","3081","لبس البنات و التحرش . تحرش الاطفال .العنف الاسري . الختان"
"753","3082","قصص من الواقع بتناقش قضايا المراه"
