"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"395","1040","First:,Second:,Third:","دعم المرأة","المجلس القومي للمرأة","قسم الشرطة",NA,NA
"396","1043","First:,Second:","دعم المرأة","محكمة الأسرة",NA,NA,NA
"397","1047","First:,Second:","المجلس القومي للمرأة","هيئة الأمم المتحدة للمرأة",NA,NA,NA
"398","1048","First:,Second:","المجلس القومي للمرأة","جمعيات حقوق الإنسان",NA,NA,NA
"399","1049","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","اصدقاء","اخبار","حكايات ناس كتير","المحاكم"
"400","1051","First:,Second:,Third:","الفيسبوك","انستجرام","تويتر",NA,NA
"401","1052","First:","مجلس المرأه",NA,NA,NA,NA
"402","1054","First:,Second:","فيس بوك","فيس بوك",NA,NA,NA
"403","1056","First:","الفيس بوك",NA,NA,NA,NA
"404","1058","First:,Second:","دعم المرأة","المجلس القومى للمرأة",NA,NA,NA
"405","1060","First:,Second:","صفحة دعم المرأة علي الفيسبوك","فيديوهات لدعم المرأة والعنف ضد المرأة علي اليوتيوب",NA,NA,NA
"406","1061","First:,Second:","برنامج حكايات نهاد","الافوكادو",NA,NA,NA
"407","1063","First:,Second:,Third:,Fourth:,I do not know any.","فيس بوك","اليوتيوب","الرديو","التلفزيون",NA
"408","1065","First:,Second:","هيئة بلان","صفحتكم",NA,NA,NA
"409","1066","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"410","1067","First:,Second:","جروبات لدعم المرأه","صفحات حقوق المرأة",NA,NA,NA
"411","1068","First:","وحدة مناهضة العنف ضد المرأة",NA,NA,NA,NA
"412","1070","First:,Second:,I do not know any.","أنتى مش لوحدك","المجلس القومى للمرأة",NA,NA,NA
"413","1072","First:","منظمه حقوق المراه",NA,NA,NA,NA
"414","1074","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"415","1075","First:","الصفحة بتاعتكم وبس",NA,NA,NA,NA
"416","1077","First:,Second:,Third:","مراكز حقوق المراة","دكتورة نهاد","17576",NA,NA
"417","1078","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"418","1079","First:,Second:,Third:,Fourth:,Fifth:","اطباء الاستشارات الاسرية","حكايات نهاد",".",".","."
"419","1080","First:,I do not know any.","واتساب  رقم المسؤول عن البرنامج ده",NA,NA,NA,NA
"420","1081","First:,Second:,Third:","منظمة حقوق المرأة","منظمات دعم المرأة","محاميات يتبنوا قضايا المرأة",NA,NA
"421","1082","First:,Second:,Third:","مجلس المرأة","محكمة الاسرة","مؤسسات حماية المرأة",NA,NA
"422","1083","First:","منظمه حقوق المراه",NA,NA,NA,NA
"423","1084","First:,I do not know any.","دعم المرأه",NA,NA,NA,NA
"424","1085","First:,Second:,Third:","انتى مش لوحدك","المجلس القومى لحقوق المرأة","خط نجدة الطفل",NA,NA
"425","1090","First:,Second:","الاخبار","جروبات متنوعة",NA,NA,NA
"426","1091","First:,Second:,Third:","فيسبوك","واتس اب","وسائل الإعلام",NA,NA
"427","1093","First:,Second:,Third:,Fourth:","حكايات نهاد","مساعده ع فيس بوك","حد من الاهل","الأصدقاء",NA
"428","1095","First:,Second:,Third:","كير","المجلس القومي للمرأه","هيئة تيردي زووم",NA,NA
"429","1096","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"430","1098","First:","دعم المرأة",NA,NA,NA,NA
"431","1102","First:,Second:,Third:,Fourth:,Fifth:","Feec book","Tv","Watc up","الجريده","تويتر"
"432","1112","First:","فيس بوك",NA,NA,NA,NA
"433","1119","First:","دعم المرأة",NA,NA,NA,NA
"434","1124","First:,Second:,Third:,Fourth:","النت","الفيس بوك","برامج","فديوهات",NA
"435","1125","First:","العنف ضد المرأه",NA,NA,NA,NA
"436","1131","First:,Second:,Third:","الإعلان","الفيس","الاخبار",NA,NA
"437","1134","First:,Second:","المجلس القومي للمرأة","جمعية حقوق المرأة",NA,NA,NA
"438","1135","First:,Second:,Third:,Fourth:,Fifth:","جوجل","المجلس المصرى المراة المصرية","مباحث الانترنت","برامج التلفزيون","مجلس المراة"
"439","1139","First:","اليوتيوب",NA,NA,NA,NA
"440","1143","First:,Second:,Third:,Fourth:","بعض جروبات فيس يوك","بعض الصحف الالكترونيه","قنوات يوتيوب تتحدث عن بعض الحالات","قضايا رأي عام علي تويتر او فيس بوك وغيرها",NA
"441","1144","First:,Second:","المجلس القومى للمراة","الجمعيات النسائية",NA,NA,NA
"442","1145","First:,Second:","تمكين المراة","صفحات للمحامين",NA,NA,NA
"443","1147","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"444","1148","First:","المركز القومي للأمومة والطفوله",NA,NA,NA,NA
"445","1149","First:,Second:,Third:,Fourth:,Fifth:","حضرتك","المجلس القومى للمراه","مش عارفه","مش عارفه","مش عارفه"
"446","1155","First:,Second:,Third:,Fourth:,Fifth:","يوتيوب","واتساب","فيس بوك","توتير","انسجرام"
"447","1157","First:","انتي مش لوحدك",NA,NA,NA,NA
"448","1160","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"449","1163","First:,Second:","برامج عن المراه","صفحات دعم المراه",NA,NA,NA
"450","1164","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"451","1167","First:,Second:","المجلس القومى للمرأة","صفحات الناشطات الحقوقيات زي Egyptian women",NA,NA,NA
"452","1168","First:,Second:","منظمة حقوق المرأة","المركز القومي لحقوق المراة",NA,NA,NA
"453","1170","First:,Second:","المجلس القومى للمرأه","محامي",NA,NA,NA
"454","1172","First:,Second:,Third:","المجلس القومي لحقوق المرأة","برنامج رضوي الشربيني","only you",NA,NA
"455","1174","First:,Second:","المجلس القومي للمرأة","المجلس القومي للأمومة والطفولة",NA,NA,NA
"456","1178","First:,Second:,Third:","المجلس القومي للأمومة والطفولة","المجلس القومي للمرأة","هيئة الأمم المتحدة للمرأه",NA,NA
"457","1189","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"458","1192","First:,Second:,Third:","فيس بوك","انستجرام","واتس اب",NA,NA
"459","1194","First:,Second:,Third:","Facebook","المجلس القومي للمرأة","جمعية حقوق المرأة",NA,NA
"460","1198","First:","جروبات البنات ف الفيس بوك",NA,NA,NA,NA
"461","1204","First:,Second:,Third:,Fourth:","Facebook","Whatsapp","Groups","Videos",NA
"462","1205","First:,Second:,Third:","حكايات نهاد","محو الأمية الزوجيه","د.هاله سمير",NA,NA
"463","1208","First:,Second:,Third:","لا اعرف","لا اعرف","لا اعرف",NA,NA
"464","1211","First:,Second:","وحدة مناهضة العنف ضد المراة","نساء الغد",NA,NA,NA
"465","1216","First:,Second:,Third:,Fourth:","فيس بوك جروبات","جروبات الواتس","قنوات وبرامج اليوتيوب","برامج التليفزيون",NA
"466","1218","First:,Second:","المجلس القومي للمرأة","حكايات نهاد",NA,NA,NA
"467","1219","First:,Second:,Third:,Fourth:,Fifth:","الفيسبوك","واتساب","انستجرام","تويتر","يوتيوب"
"468","1222","First:,Second:","Facebook groups","Facebook pages",NA,NA,NA
"469","1223","First:,Second:,Third:,Fourth:,Fifth:","جروبات الفيسبوك","صفحه حضرتك","الجهات المتخصصه","الاهل","الاصدقاء الموثوق فيهم"
"470","1224","First:,I do not know any.","الشارع",NA,NA,NA,NA
"471","1226","First:,Second:","Face book","You tube",NA,NA,NA
"472","1227","First:","مركز دعم المرأة",NA,NA,NA,NA
"473","1230","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","يوتيوب","انستجرام","وسائل التواصل الاجتماعي","واتساب"
"474","1231","First:,Second:","انتي مش لوحدك","علي المحرك البحثي جوجل",NA,NA,NA
"475","1232","First:","صفحه الدكتور نهاد ع الفيس",NA,NA,NA,NA
"476","1236","First:","الانترنت",NA,NA,NA,NA
"477","1237","First:,Second:,Third:,Fourth:,Fifth:","دعم المراة","لمركز قضايا المراة","حقوق الناجيات من العنف","المجلس القومى للمراة","مكتوب استشارية"
"478","1238","First:,Second:","تويتر","فيس بوك",NA,NA,NA
"479","1241","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"480","1243","First:,Second:,Third:,Fourth:,I do not know any.","المجلس القومى للمرأة العربية","مؤسسه ابعاد","المركز القومي المرأه المصريه","منظمه المرأه العربيه",NA
"481","1244","First:,Second:,Third:","الفيسبوك","الواتساب","تناول الحديث بين افراد العائلة",NA,NA
"482","1245","First:,Second:,Third:","اول مره عن طريقك","فيس بوك","واتس",NA,NA
"483","1246","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"484","1247","First:","assault police",NA,NA,NA,NA
"485","1251","First:,Second:,Third:","السلطات المختصة","المركز القومى للمراة","الاهل  و الاقارب",NA,NA
"486","1252","First:,Second:","حقوق المراه","هيئه الامم المتحده للمراه",NA,NA,NA
"487","1255","First:,Second:","المركز المصري لحقوق المرأة","المركز القومي لحقوق المرأة",NA,NA,NA
"488","1257","First:,Second:,Third:","المجلس القومي للمرأة","جروب قاوم علي الفيس بوك","مش لوحدك",NA,NA
"489","1260","First:,Second:","جمعيات حقوق المراه والطفل","بعض البرامج التى تتحدث فى نفس الموضوع",NA,NA,NA
"490","1265","First:,Second:","جروب امسك متحرش","كلنا معاكي",NA,NA,NA
"491","1267","First:,I do not know any.","حكايات نهاد",NA,NA,NA,NA
"492","1275","First:,Second:","الجمعية المصرية للتوعية والصحة النفسية","فيديوهات الاستاذة نهاد ابو القمصان على الواتساب",NA,NA,NA
"493","1276","First:,Second:","المجلس القومى للمرأة","جمعية سيدات مصر",NA,NA,NA
"494","1277","First:,Second:,Third:,Fourth:","المركز المصرى لحقوق المراة","جمعية نهوض وتنمية المراة","المجلس القومى للمراة","المرأة الجديدة",NA
"495","1278","First:,Second:","فيسبوك","واتساب",NA,NA,NA
"496","1286","First:,Second:","Facebook","Google",NA,NA,NA
"497","1288","First:","منظمه المرأه العربيه",NA,NA,NA,NA
"498","1291","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الانستا","اليوتيوب","تويتر","المجتمع"
"499","1293","First:,Second:,Third:","المجلس القومي للمرأة","المركز القومي للبحوث الاجتماعية و الجنائية","المجلس القومي لحقوق الإنسان",NA,NA
"500","1294","First:","صفحة سفير السعادة",NA,NA,NA,NA
"501","1308","First:,Second:","police assult","انا كبنت في مصر",NA,NA,NA
"502","1314","First:,I do not know any.","صفحه مدام نهاد",NA,NA,NA,NA
"503","1315","First:,Second:","المجلس القومي للمراه","صفحه انت مش لوحدك",NA,NA,NA
"504","1317","First:","بحث في جوجل",NA,NA,NA,NA
"505","1318","First:,Second:","حكايات نهاد","فيس بوك",NA,NA,NA
"506","1324","First:","المركز القومى للمرأة",NA,NA,NA,NA
"507","1325","First:","انتم المصدر الوحيد اللى اعرفه",NA,NA,NA,NA
"508","1328","First:,Second:,Third:,Fourth:,Fifth:","جروبات نسائية على الفيس","تبليغ مشكله لبرنامج على الضفحه الشخصية","في رقم ساخن للعنف ضد المراة ومحدش بيستخدمه","الست بتخااف لاحشن جوزها يموتها ضرب ويقولها فضحتيني","التليفزيون"
"509","1333","First:","تمكين المرأه الالكتروني",NA,NA,NA,NA
"510","1336","First:,Second:","الواتس","الفيس بوك",NA,NA,NA
"511","1340","First:,Second:","مواقع تضرر المرأة","السوشيال ميديا",NA,NA,NA
"512","1341","First:,Second:","المجلس القومي لحقوق المرأة صفحته الرسمية","صفحات الدكاترة النفسية المتخصصة",NA,NA,NA
"513","1342","First:,Second:","الفيس بوك","الوتس اب",NA,NA,NA
"514","1343","First:,Second:,Third:,Fourth:,Fifth:","برامج أسرية","صفحات وجروبات واتس أو فيس","جروبات بعض الاصدقاء الثقة","الجهات المختصة","دكاترة إرشاد أسري"
"515","1349","First:,Second:","رقم المجلس القومى للمرأة","رقم للعنف الاسرى",NA,NA,NA
"516","1353","First:","انتي مش لوحدك",NA,NA,NA,NA
"517","1354","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"518","1355","First:,Second:,Third:","الاهل","الجيران","الفيس",NA,NA
"519","1356","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","انستجرام","واتساب","التليفزيون","الجرايد"
"520","1357","First:","دعم المرأة",NA,NA,NA,NA
"521","1361","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","واتس آب","يوتيوب","متصفح انترنت","تليجرام"
"522","1364","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"523","1365","First:,Second:,Third:,Fourth:,Fifth:","الفيس","جوجل","جروبات","قصص واقعيه","حكايات من صحاب"
"524","1370","First:","برنامج د.هاله سمير بيوت منوره",NA,NA,NA,NA
"525","1373","First:,Second:,Third:,Fourth:","الجريدة","الفيس بوك","انستجرام","الجيران",NA
"526","1376","First:,I do not know any.","جروبات على الفيسبوك",NA,NA,NA,NA
"527","1380","First:,Second:,Third:,Fourth:,I do not know any.","الفيسبوك","الواتس اب","اليوم السابع","تويتر",NA
"528","1385","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"529","1392","First:","الصفحة الرسمية للمجلس القومي للمرأة",NA,NA,NA,NA
"530","1393","First:,I do not know any.","برنامج  عن الجرائم   يقدمه  حنفى   ديما  بيجى  على  قناه الصعيد  اسمه  عيون الشعب   وعلى  اليوتيوب",NA,NA,NA,NA
"531","1395","First:,Second:,Third:,Fourth:","الفيس بوك مع الاعتبار ان ليس غالباً القضايا حقيقيه","اخبار التليفزيون","بعض البرامج الخاصة","الأصدقاء",NA
"532","1400","First:,Second:","الفيس بوك","اليوتيوب",NA,NA,NA
"533","1401","First:,Second:,Third:,Fourth:,Fifth:","موقع المجلس القومى للمراة","بوابة الشكاوى الحكومية","ارقام شكاوى مجلس الوزراء","صفحة نهاد ابو القمصان","صفحة المحامى اشرف فرحات"
"534","1405","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","جروب فضفضة","نادى النساء السرى","الاصدقاء","برنامج رضوى الشربينى"
"535","1407","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي المراة","وزارة الداخليه","الاستاذة نهاد ابو قمصان","المجلس القومي للامومه والطفوله","صفحات النسويه"
"536","1409","First:","ادعم المرأة",NA,NA,NA,NA
"537","1413","First:","انتي مش لوحدك",NA,NA,NA,NA
"538","1414","First:,Second:","مجلس الأمومة والطفولة","دكتورة نهاد أبو القمصان",NA,NA,NA
"539","1416","First:,Second:,Third:,Fourth:,Fifth:","صفحات الفيس بوك","الجروبات النسائيه","فيديوهات دعم المرأة و توعيتها","صفحاع اخصائيين مهتمين بتوعيه المرأة","بوستات متنوعه"
"540","1417","First:","دعم",NA,NA,NA,NA
"541","1420","First:,Second:","جمعية حقوق المرأه","منظمه العفو الدوليه",NA,NA,NA
"542","1423","First:,Second:,Third:,Fourth:","صفحة استاذه نهاد ابو القمصان علي الفيس","صفحة الطفوله والامومه","المجلس القومي للمرآه","انت مش لوحدك علي الواتس اب",NA
"543","1426","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"544","1428","First:,Second:,Third:","فيسبوك","مشاكل اون لاين","اسأل",NA,NA
"545","1431","First:,Second:,Third:","المركز القومي للمرأة","المركز المصري للمرأة","هي",NA,NA
"546","1432","First:","انتى مش لواحدك",NA,NA,NA,NA
"547","1437","First:","انتي مش لوحدك",NA,NA,NA,NA
"548","1439","First:,Second:,Third:,Fourth:","صفحات الفيس بوك","صفحات انستجرام","طب نفسي","نادي المرأة",NA
"549","1440","First:","المتخصصين  في دعم قضايا المراه",NA,NA,NA,NA
"550","1442","First:,Second:,Third:","جمعيات حقوق المراه","الشرطة","جروبات ومواقع خاصه بهذه المشكلات",NA,NA
"551","1443","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","المركز المصري لحقوق المرأه","الجمعيات الاهلية","امانات المرأة بالاحزاب","منظمة حقوق المرأة والطفل"
"552","1449","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","يوتيوب","واتس اب","الاعلانات المموله عن دعم قضايا المرأة ضد العنف","صفحه المجلس القومى للمراة"
"553","1450","First:,Second:,Third:,Fourth:","الفيس بوك","الواتساب","اليوتيوب","تويتر",NA
"554","1452","First:,Second:","انتى مش لوحدك/ علي الوتس","انتى مش لوحدك/ علي الفيس",NA,NA,NA
"555","1453","First:,Second:,Third:","الواتس","اليوتيوب","الفيس بوك",NA,NA
"556","1454","First:,I do not know any.","deve gate",NA,NA,NA,NA
"557","1456","First:,Second:,Third:,Fourth:","فيسبوك","يوتيوب","المواقع النسائيه مثل فتكات او المشهوره زي موضوع","تويتر",NA
"558","1458","First:,Second:,Third:,Fourth:,Fifth:","دعم المرأه","نساء أقوياء","معا ضد التحرش","لا للعنف","لا للتحرش"
"559","1460","First:,Second:","المجلس القومى للمرأة","اقسام الشرطه",NA,NA,NA
"560","1462","First:,Second:,Third:","فيسبوك","انستجرام","يوتيوب",NA,NA
"561","1463","First:,Second:,Third:,Fourth:,Fifth:","فيس","واتس","انستا","تويتر","تبجرام"
"562","1464","First:,Second:","المجلس القومي للمرأه","حساب النيابه العامه المصريه",NA,NA,NA
"563","1465","First:,Second:,Third:,Fourth:","الجهات المختصه","شخص تثق فيه","مواقع الانترنت اللى بتقدم دعم للمراه","تطلب الدعم من جهات خاصه",NA
"564","1467","First:","امسك متحرش",NA,NA,NA,NA
"565","1469","First:,Second:","برامج المراءه","حكايات نهاد",NA,NA,NA
"566","1475","First:,Second:,Third:","الفيس بوك","اليوتيوب","الواتساب",NA,NA
"567","1476","First:,I do not know any.","Speak up",NA,NA,NA,NA
"568","1480","First:,Second:,Third:,I do not know any.","الفيس بوك","الواتس","التلجرام",NA,NA
"569","1484","First:,I do not know any.","لا اعرف",NA,NA,NA,NA
"570","1486","First:","الفيسبوك",NA,NA,NA,NA
"571","1496","First:,Third:,I do not know any.","العنف الممارس ضدد المراه",NA,"العنف ضدد المراه",NA,NA
"572","1498","First:","أعرف فيديوهات حضرتك بس",NA,NA,NA,NA
"573","1499","First:,Second:,Third:,Fourth:,Fifth:","مواقع الانترنت","الفيس بوك","الواتساب","ألاسك","اليوتيوب"
"574","1504","First:,Second:,Third:,I do not know any.","يوتيوب","فيسبوك","انستجرام",NA,NA
"575","1506","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"576","1507","First:,Second:","جمعية هي لدعم المراة","برنامج حكايات نهاد",NA,NA,NA
"577","1513","First:","المركز المصرى لحقوق المراة",NA,NA,NA,NA
"578","1516","First:,I do not know any.","الانترنت",NA,NA,NA,NA
"579","1517","First:","دعم المراة",NA,NA,NA,NA
"580","1519","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الانستا","تويتر","التلفزيون","الجرائد"
"581","1523","First:,Second:,Third:,Fourth:","المجلس القومى للمراة","حقوق الإنسان","الشرطة","صفحات لدعم قضايا المراة",NA
"582","1526","First:,Second:,Third:,Fourth:,Fifth:","مجلس حقوق المراه ،","جروب انتي مش لوحدك","معرفش","مجلس حقوق المراه","دعم المراه"
"583","1527","First:","رسائل الواتساب الخاصه بكم",NA,NA,NA,NA
"584","1529","First:,Second:","صفحة المجلس القومي لحقوق المرأه","صفحه لا للتحرش",NA,NA,NA
"585","1531","First:,Second:,Third:","مواقع جمعيات حقوق الانسان","مواقع جمعيات حقوق المراه","دكتوره نهاد",NA,NA
"586","1532","First:","الفيس، حكايات نهاد",NA,NA,NA,NA
"587","1535","First:,Second:,Third:","الانترنت","التلفزيون","الشغل",NA,NA
"588","1544","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","صفحات دعم المرأه","الواتس بتاعكوا","جوجل","انستجرام"
"589","1546","First:,Second:,Third:,Fourth:,Fifth:","Assault police","Nadeen ashraf","مدونه حكايات","برنامج هى وبس","Sabah"
"590","1547","First:,Second:","المركز القومي الامومه والطفوله","القومي للمرأة",NA,NA,NA
"591","1549","First:,Second:,Third:","استبيان","انتي مش لوحدك","معانا لانقاذ انسان",NA,NA
"592","1550","First:","طبيب نفسى",NA,NA,NA,NA
"593","1551","First:","لم ارى سوي فيديوهات الاستاذة نهاد",NA,NA,NA,NA
"594","1552","First:","جوجل",NA,NA,NA,NA
"595","1555","First:","جروب امسك متحرش",NA,NA,NA,NA
"596","1564","First:,Second:,Third:,Fourth:,Fifth:","هي وبس","كلام ستات","المراه والمجتمع","دندشه","كيرفي"
"597","1565","First:,Second:","صفحة فيسبوك انتي مش لوحدك","جروب امهات مصر المعيلات فيسبوك",NA,NA,NA
"598","1570","First:,Second:","المجلس القومى للمرأة","Coffission of married women",NA,NA,NA
"599","1571","First:,I do not know any.","مجلس",NA,NA,NA,NA
"600","1575","First:,Second:,Third:","يوتيوب","جوجل","فيس بوك",NA,NA
"601","1577","First:,Second:,Third:","فيس بوك","واتس اب","انيستجرام",NA,NA
"602","1584","First:","المركز المصرى للمراة",NA,NA,NA,NA
"603","1585","First:,Second:,Third:","حقوق المرأة","حقوق الإنسان","المركز القومي لدعم المرأة",NA,NA
"604","1588","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","الفيس بوك","اليتيوب","التويتر","الواتس اب"
"605","1589","First:,Second:,Third:","المركز القومى للمرأة","وزارة التضامن","الجمعيات النسائية",NA,NA
"606","1591","First:","المجلس القومي للمراه",NA,NA,NA,NA
"607","1593","First:","دعم المرأه",NA,NA,NA,NA
"608","1594","First:,Second:","المجلس القومى للمرأة","حقوق الانسان",NA,NA,NA
"609","1595","First:,Second:,Third:","انتى مش لوحدك","المركز القومى للمرأة","منظمات حقوقية مختلفة",NA,NA
"610","1596","First:,Second:","فديوهات المحامية نهاد أبو القمصان","المجلس القومي للمرأة",NA,NA,NA
"611","1597","First:","المراة",NA,NA,NA,NA
"612","1599","First:,Second:","دعم المرأة والطفل","قضايا المرأة المصرية",NA,NA,NA
"613","1601","First:,Second:,Third:,Fourth:,Fifth:","مركز استضافة وحماية المرأة بالمنصورة","مركز صحة المراة والتعليم","الجمعية المصرية للتوعية والصحة النفسية","جروبات الفيسبوك","المجلس القومي للمرأة"
"614","1604","First:","المركز المصري لحقوق المرأة",NA,NA,NA,NA
"615","1605","First:,Second:,Third:","المجلس القومي لحقوق المرأة","حكايات نهاد","السلطات المصريه",NA,NA
"616","1606","First:,Second:","المجلس القومي للمراه","الشرطه",NA,NA,NA
"617","1607","First:,Second:,Third:","الفيسبوك","حكايات نهاد","فقرات لرضوي الشربيني",NA,NA
"618","1613","First:,Second:,Third:,Fourth:,Fifth:","التليفزيون","فيسبوك","واتساب","ماسنجر","يوتيوب"
"619","1614","First:,Second:,Third:","موقع وزاره الداخليه","حكايات مع نهاد","حقوق المراه",NA,NA
"620","1616","First:,Second:,Third:","You tube","برامج دعم المراة حكايات نهاد","Googl",NA,NA
"621","1618","First:,Second:","النيابة العامة","المجلس القومى للمرأة",NA,NA,NA
"622","1622","First:,Second:","حكايات نهاد","الفيسبوك صفحة لا لتعدد الزوجات",NA,NA,NA
"623","1624","First:,Second:","المجلس القومي للمرأة","إنتي مش لوحدك",NA,NA,NA
"624","1630","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"625","1631","First:,Second:,Third:,Fourth:,Fifth:","حقوق الانسان","المجلس القومي للمراه","برامج اسريه","لايف كوتشز","القضاء"
"626","1637","First:,Second:,Third:","حقوق المرأة المصرية","المجلس القومي للمرأة","جمعية الدفاع عن حقوق المرأة المغتصبة",NA,NA
"627","1638","First:,Second:","الفيس بوك","الاصدقاء",NA,NA,NA
"628","1640","First:,Second:,Third:","المجلس القومي لحقوق المراة","احكى على انستغرام","دورات تدريبية تابعة لوزارة الشباب والرياضة الويندو",NA,NA
"629","1641","First:,Second:,Third:,Fourth:","انتي مش لوحدك","متحررة","تمرد انثي","حملة افضح متحرش",NA
"630","1644","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","وحدة دعم المرأة بوزارة التضامن الاجتماعي","بعض منظمات المجتمع المدني","صفحات حل المشكلات","بعض المحاميين"
"631","1646","First:,Second:","Assaultpolice","Gangrapistsofegypt",NA,NA,NA
"632","1649","First:,Second:","حملة انتى مش لوحدك","المجلس القومى للمرأة",NA,NA,NA
"633","1650","First:,Second:","فيس بوك","واتس اب",NA,NA,NA
"634","1652","First:,I do not know any.","برامج دعم المرأة",NA,NA,NA,NA
"635","1656","First:","المركز القومي للطفولة والأمومه",NA,NA,NA,NA
"636","1657","First:,Second:,Third:,Fourth:","المجلس القومي لحقوق المرأة","برنامج حكايات نهاد","ارسال مشكلتها على رقمكم","جمعية المرأة المعنفة",NA
"637","1659","First:,Second:,Third:,Fourth:,Fifth:","فيس","واتس","انستجرام","مواقع","دردشة"
"638","1664","First:,Second:","العنف ضد المراة","الأمومة والطفولة",NA,NA,NA
"639","1665","First:,Second:","المركز المصري لحقوق المرأة","المجلس القومى لحقوق المرأة",NA,NA,NA
"640","1667","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"641","1669","First:,Second:,Third:","المجلس القومي للمرأة","مش لوحدك","امهات مصر المعيلات",NA,NA
"642","1671","First:","دعم المرأة",NA,NA,NA,NA
"643","1676","First:,Second:,Third:,Fourth:,Fifth:","الانترنت","طبيعة عملي","التلفزيون","القضايا","التواصل الاجتماعي"
"644","1680","First:,Second:","جوجل","الفيس بوك",NA,NA,NA
"645","1682","First:,Second:,Third:,Fourth:,Fifth:","مركز صحة المرأة والتعليم","ويكيبيديا","wrld health organization","BBC","mayo clinic"
"646","1686","First:,Second:","قنواتكوا علي اليوتيوب","استشارات اسريه علي فيسبوك",NA,NA,NA
"647","1689","First:,Second:,Third:,Fourth:,Fifth:","حكاية نهاد","العنف ضدد المراة","الافوكاتو","الفيس بوك","حقوق المراة"
"648","1692","First:","محامي مختص بقضايا المرأة",NA,NA,NA,NA
"649","1693","First:,Second:","المركز المصري لحقوق المرأة","انتي مش لوحدك",NA,NA,NA
"650","1694","First:","Facebook",NA,NA,NA,NA
"651","1700","First:,Second:","جروبات الفيسبوك","جروبات الواتساب",NA,NA,NA
"652","1701","First:,Second:,Third:","استبيان المرأة","المجلس القومى للمرأة","معا ضد التحرش",NA,NA
"653","1702","First:,Second:,Third:,Fourth:","فيس بوك","وتس","انستجرام","توتر",NA
"654","1703","First:,Second:,Third:,Fourth:,Fifth:","الواتس","الفيس","التى فى","يوتيوب","جوجل"
"655","1711","First:","جروبات على الفيس",NA,NA,NA,NA
"656","1712","First:,I do not know any.","من خلال الموقع هنا دا اولا",NA,NA,NA,NA
"657","1713","First:","صفحات على الفيس",NA,NA,NA,NA
"658","1714","First:,I do not know any.","دعم المرأه",NA,NA,NA,NA
"659","1715","First:,Second:,Third:","فيس بوك","تويتر","واتس اب",NA,NA
"660","1716","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"661","1718","First:,Second:,Third:","الفيس بوك","جوجل","انستجرام",NA,NA
"662","1721","First:,Second:,Third:","صفحه دعم المراءه المصريه","صفحه منى عراقي","جروب مشكلات امهات على الفيس",NA,NA
"663","1722","First:,Second:,Third:","الفيسبوك","الجروبات النسائية","التلفزيون",NA,NA
"664","1724","First:,I do not know any.","مش حاجه معينه",NA,NA,NA,NA
"665","1728","First:,Second:,Third:,Fourth:,Fifth:","الواتس اب","الفيس بوك","تويتر","انستجرام","برامج التواصل مع الجمعيات المتخصصة لمواجهة العنف المنزلى والتحرش"
"666","1730","First:,Second:","مشكلات علي صفحات فيس بوك","رسائل ماسنجر",NA,NA,NA
"667","1732","First:,Second:,Third:,Fourth:,Fifth:","السلطات المختصة","مراكز حقوقية للمراه","جروبات نسائيه مهتمة بالمراه","المركز القومي للمرأة","منظمات المجتمع المدني"
"668","1733","First:,Second:","حكايات نهاد الصفحه بتاعه الفيسبوك","البرنامج التليفزيوني",NA,NA,NA
"669","1735","First:","حقوق المرأة",NA,NA,NA,NA
