"","index","videos_liked_topics"
"529","1714","تأثير فيرووس كرونا فى شغل للستات ومواجهة الاغتصاب"
"530","1715","التحرش في العمل"
"531","1716","أنها لتحاول تعرف المرأة على حقوقها"
"532","1718","عمل المرأة والتحرش"
"533","1721","دعم المراه واعطائها القوه ومعرفت حقوقها"
"534","1722","التحرش"
"535","1724","مكافحة التحرش بالأطفال"
"536","1726","معرفة المحقوق والوعي بيها"
"537","1727","مواجهه التحرش وغيرها"
"538","1728","التحرش الجنسى"
"539","1729","مواضيع التحرش"
"540","1730","الفرق بين الطلاق والخلع وامتي نلجأ لكل منهم"
"541","1731","التحرش"
"542","1732","الطلاق"
"543","1733","السلاسه في العرض و الإلمام بكل محتوي المشكله"
"544","1735","ختان الاناث"
"545","1738","الحقوق والواجبات وازاي نحمي أنفسنا من العنف"
"546","1742","تدعيم المراة لمواجهة المجتمع وزيادة خبراتها فى الحياة"
"547","1747","الدفاع عن المرأة"
"548","1749","الاسريه"
"549","1754","تمكين المرأة في سوق العمل"
"550","1756","اهتمام المرأة بنفسها رغم ضغوطات الحياة واهم شئ كرامتها وشخصيتها المستقله"
"551","1764","قوه الانثي"
"552","1768","مواضيع قضايا الاغتصاب"
"553","1769","موضوع ازاي نقوي شخصيه المرأة"
"554","1781","زواج القاصرات والختان"
"555","1786","التوعية على حسن تربيه البنات ودعمهم لتكون امرآه قويه مستقبلا"
"556","1787","الذمة المالية للزوجين .. الشروط القانونية المتاحة للزوجة وضعها في وثيقة الزواج لضمان حقوقها"
"557","1793","العنف ضد المرأة"
"558","1794","موضوع تمكين المرأه"
"559","1798","منع ختان الاناث"
"560","1799","الاغتصاب والصمت ووقف الختان"
"561","1801","حرية المرأه"
"562","1822","الجوازة التانيه"
"563","1827","المواضيع اللى يطمن المرأة وتحسسها ان فى قانون فالبلد يأخد حقها وأنها مش ضعيفة"
"564","1828","الفرق بين الخلع والطلاق"
"565","1831","دعم المراه"
"566","1842","التحرش"
"567","1843","التحرش"
"568","1844","المرأة العاملة"
"569","1845","التحرش الجنسي"
"570","1846","جميع مواضيع المراه  والتحرش ضد الاطفال"
"571","1848","التحرش فى العمل"
"572","1851","التحرش"
"573","1853","شرح العقوبات للتحرش وكمان الفرق بين الطلاق والخلع ده كان رائع <U+0001F339>"
"574","1856","العنف ضد المرأة"
"575","1857","دعم المرأة"
"576","1858","التحرش"
"577","1859","العنف ضد المراه"
"578","1860","ازاي اتصرف لو حصل تحرش فالشغل"
"579","1864","كيفيه مواجهة التحرش ياريت تكتروا منها والتصرف الصحيح في المواقف المختلفه"
"580","1865","التحرش و مواضيع الاغتصاب والطلاق"
"581","1868","نوعيه المرأه"
"582","1871","العنف ضد المراءه وازاى الرجل يحميى المراءه من العنف"
"583","1872","اهمية عمل المرأة"
"584","1873","احترام المرأة والحرص على كرامتها"
"585","1874","مقاومه العنف ضد المراه"
"586","1878","العنف ضد المرأه"
"587","1879","ازاي اتعامل مع اللي بيتحرش نسيا"
"588","1881","العصبيه من الزوج"
"589","1885","ما يتكلم عن المرأة وحقوقها"
"590","1886","حقوق المرأة وانتى تواجه اي فكر او اي بربليم تقف قصادها وازاى تتغلب ع نظرة المجتمع ليها"
"591","1889","كيفيه مواجهة المراه للتحرش الجنسي"
"592","1890","التخسيس"
"593","1892","اهمية الشغل"
"594","1895","التحرش"
"595","1897","عمل المراة"
"596","1898","وقف العنف ضد المرأة"
"597","1900","مساعده مراه لتصدي لظلم بتعرض ليه"
"598","1901","اهميه الشغل وازاي توفقي بين الشغل والبيت"
"599","1902","العنف والتحرش ضد الاطفال"
"600","1903","المرأة العاملة وازاي تحصل على حقوقها"
"601","1904","اسباب التحرش ، جرائم الاغتصاب"
"602","1908","اهمية الشغل للمرأة"
"603","1910","مواضيع العنف الأسرى ومواضيع الختان لفتت نطري"
"604","1913","حماية الفتاة لنفسها من التحرش في العمل"
"605","1918","موضوع التحرش"
"606","1919","لو المقصود الفيديوهات اللى وصلتني عن طريقكم على الواتس يبقى الموضوعات كلها عجبتني"
"607","1923","التعريف بحقوق المرأة وكيف تتمكن منها عند تعرضها للعنف"
"608","1926","العنف المنزلى"
"609","1927","كل الفديوهات تتحدث عن امور هامه للمرأة"
"610","1928","مكافحة التحرش"
"611","1930","كل المواضيع مهمة بس المهم بالنسبة ليه التحرش عند الأطفال"
"612","1931","التحرش"
"613","1932","التحرش فى العمل"
"614","1935","التحرش و التوفيق بين العمل والبيت"
"615","1937","كلها"
"616","1940","عمل المراه"
"617","1941","موضوع التحرش"
"618","1943","التحرش"
"619","1946","عجبتني ال<U+06A4>يديوهات اللي بتدي البنات الصغيرين نصائح ودعم عن كيفية التحدث بدون خوف عن اللي بيتعرضوله من عنف او تحرش وازاي ياخدوا إجرائات صحيحة ومنظمة يقدروا بيها يرجعوا حقهم"
"620","1947","كلها"
"621","1950","دعم المرأة"
"622","1951","اغلب المواضيع مفيده ولازم كل بنت و سيده يبقى عندها علم بيها"
"623","1957","دةر المراه  في الدفاع عن نفسها"
"624","1961","الفرق بين الطلاق والخلع ....والعنف ضد المرأة"
"625","1963","التحرش"
"626","1964","الوقوف ضد العنف للمرأة"
"627","1966","الخلع و الطلاق"
"628","1967","التحرش"
"629","1975","الشباب والرجال وقفه ضد العنف للمراه"
"630","1976","العنف الأسرى، أثر الحجر الصحى، التحرش في بيئة العمل"
"631","1977","التحريش"
"632","1978","دعم المراءه نفسه والوقوف بجانبها في شتي المواقف للخروج من هذه المواقف وسهوله التعامل معها"
"633","1979","الاهتمام بالمرأه عموما"
"634","1980","الفرق بين الخلع والطلاق، التحرش في العمل"
"635","1984","الايجابيه وعدم السلبيه لو شفت حد بيتحرش ببنت لازم اتدخل"
"636","1986","دعم المرأة في شتي المجالات دون النظر ل لون او دين او عرق"
"637","1989","تمكين اامراه"
"638","1990","التحرش"
"639","1991","العنف و التحرش"
"640","1993","توقف العنف ضد المرأة"
"641","1998","ختان الإناث نفسي يتمنع والعنف ضد المرأة وخصوصا فى الصعيد"
"642","1999","التحرش"
"643","2000","جميعهم"
"644","2005","الحضانة"
"645","2008","البنات والانترنت"
"646","2009","كيفية التعامل مع حوادث التحرش"
"647","2010","اتصرف ازاى لو حصل تحرش"
"648","2011","نناشد بحق المرأة"
"649","2017","أهمية الشغل وازاي توفقي بين الشغل والبيت"
"650","2021","التحرش بانواعة"
"651","2022","تسليط الضوء علي التحرش وازاي ممكن اتعامل معاه"
"652","2024","محاولة دعم المرأة وتقويتها لمواجهة اي تحرش ممكن تتعرض له"
"653","2029","استنكار العنف ضد المرأه وقضيه التحرش"
"654","2031","الدعم النفسى وقضايا التحرش"
"655","2034","التصدى بفكره التحرش"
"656","2039","التحرش"
"657","2040","التحرش فى العمل"
"658","2041","اهميه الشغل"
"659","2042","التحرش"
"660","2045","اعلم أولادي يعني ايه تحرش وازي يدافعو عن انفسهم"
"661","2046","كل الموضوعات شيقه وعظيمة"
"662","2047","التحرش وأشكاله وصور القضاء عليه خصوصا فى العمل"
"663","2048","التحرش"
"664","2049","مقاومة التحرش"
"665","2050","التحرش الجنسي بجميع اشكاله وختان الاناث"
"666","2053","عند رؤيتي لشخص متحرش انا أساعد الشخص الذي وقع عليه التحرش وادعمه حتي يأخذ حقه"
"667","2054","الختان"
"668","2055","الآراء المختلفة حول كل قضية"
"669","2056","مش موضوع معين لكن مجرد فكرة ان في جهات بتساعد المرأه بجد"
"670","2060","اول فيديو والتعريف بالاستاذه ودورها ودور الجمعيه"
"671","2061","تناول قضية التحرش وكيفية مواجهتها والتوعية بتجنب التحرش بالأطفال، كانت حلقة مهمة جدا ."
"672","2069","قضية التحرش"
"673","2070","التحرش بالاطفال"
"674","2073","دور الشباب والرجاله في مواجهه التحرش"
"675","2074","دور المجلس القومي لدعم المرأة في مختلف المجالات وكذلك التصرف الصحيح في مواضيع التحرش والاغتصاب"
"676","2079","ختان الاناث-التنمر"
"677","2080","موضوع العنف الاسري و التحرش"
"678","2085","أنى اقدر اجيب حقى فى اى موقف صعب"
"679","2094","قضايا الطلاق والخلع  والتحرش"
"680","2095","كيفيه مواجهه التحرش"
"681","2100","الآثار السلبية من الكورونا علينا ك ستات"
"682","2112","انصاف المرأه وكيفيه تمكين واهميه دور المراه ف المجتمع"
"683","2115","التحرش بالموظفين الجدد"
"684","2117","المواضيع الخاصه بالتحرش الجنسى"
"685","2119","التحرش بالاطفال"
"686","2122","التحرش"
"687","2125","اهميه عمل المراه"
"688","2130","انو بيدافع عن حقوقنا كنسااء"
"689","2131","الآثار السلبيه لفيرس كورونا على شغل الستات"
"690","2138","التحرش"
"691","2140","انا عايزة اشترك في المجلس القومي للمرأة"
"692","2142","ازاي الشباب والرجال يقفوا ضد العنف ضد المرأة"
"693","2143","ازاي تتصرف لو حد جديد ف الشغل اتعرض للتحرش..والتوعية ضد التحرش بالاطفال"
"694","2146","التحرش"
"695","2148","التوعية"
"696","2151","الفرق بين الخلع والطلاق وأهمية العمل بالنسبة للست وكيفية التعامل مع التحرش"
"697","2152","بتعرفك كيفيه مواجهه المحترش"
"698","2156","التحرش فى العمل وكيفيه المواجهه"
"699","2164","طلب الميراث الختان التحرش الاغتصاب"
"700","2169","دفاع البنات عن نفسها"
"701","2171","كلها"
"702","2173","حقوق الزوجه فى الخلع"
"703","2176","كيفية معرفة المرأه للدفاع عن نفسها والتعرف على حقوقها"
"704","2179","التوعية بحقوق المرأة ومعرفة كيفية الحصول عليها"
"705","2180","الختان"
"706","2184","حقوق المراءه"
"707","2188","الجهود المبذولة لمحاربة ختان الإناث والتوعية لأضرار ها"
"708","2189","التوعيه"
"709","2190","حقوق المرأة في القانون المصري"
"710","2192","الدفاع عن المرأة ضد العنف"
"711","2199","إنها شامله مواضيع مهمه تدافع عن حقوق المرأه وتدعمها"
"712","2200","قوة المرأة وتحملها للصعاب"
"713","2203","طرق تربيه الاطفال"
"714","2208","الموضوعات البتمس البيت الترتيب القانون الحديد للتصالح كمان كان في فيدي بتقولي فيه زعقي واصرخي في المتحرش واطلبي تفرغي كاميرات المحلات"
"715","2210","أن المرأة يجب أن تحافظ علي قوتها في الأزمات ولا تستسلم"
"716","2211","العنف ضد المراه"
"717","2213","جميعها"
"718","2214","التحرش"
"719","2215","مواضيع التحرش"
"720","2219","اعمل ايه لو حصل تحرش <U+0001F49C>"
"721","2222","العنف ضد المرأة"
"722","2224","التحرش"
"723","2226","التحرش والحمايه منه"
"724","2229","كلها الصراحه"
"725","2230","موضوع التحرش في العمل"
"726","2231","دور المرأة حاليا"
"727","2233","مواجهة العنف ضد المرأه والمساواة ف الحقوق بين المجتمع الذكوري"
"728","2235","التحرش في العمل"
"729","2239","عدم السكوت عن التحرش وضرورة معاقبة المتحرش بالقانون"
"730","2241","ازاى ادافع وابقى امراة قوية"
"731","2244","تعملى ايه لو حصل تحرش فى الشغل"
"732","2246","الفرق بين الطلاق والخلع"
"733","2249","التحرش"
"734","2252","الدفاع عن السيدات"
"735","2254","الفرق بين الخلع والطلاق"
"736","2256","التحرش وازاى تدافعى عن نفسك"
"737","2261","التحرش الجنسي بالاطفال وختان الاناث"
"738","2263","كيفيه صد التحرش"
"739","2265","العنف ضد المرأة"
"740","2266","السرد البسيط للدكتوره نهاد"
"741","2271","انها بتحافظ على المرأه وتحاول تديها حقها وتظعمها"
"742","2272","التحرش"
"743","2273","كلها"
"744","2275","العنف الأسري"
"745","2277","الموضيع اللي عن الشغل المرأه وازاي أتصرف إذا حصل تحرش قدامي وبرضو موضوع ازاي أوقف أي حد عند حده في التعامل معايه"
"746","2280","مواجهة ظاهرة التحرش"
"747","2283","العنف المنزلى"
"748","2284","الاهتمام بتشجيع المرأة على معرفة حقوقها وحماية الأطفال ضد أي عنف"
"749","2287","الآثار السلبيه لكورونا على شغل الستات"
"750","2288","موضوع ختان الإناث / التحرش في العمل"
"751","2290","اهميه شغلي وازاي اوفق بين البيت والشغل"
"752","2291","التحرش"
"753","2293","التحرش في العمل"
"754","2297","التحرش فى العمل"
"755","2300","كل الفيديوهات مفيدة وتزيد من الوعي"
"756","2303","لبس البنات سبب التحرش.   /. ختان البنات / اثر فيروس كورونا ع زيادة العنف المنزلي / الفرق بين الخلع والطلاق"
"757","2304","كلهم"
"758","2307","شرح كيفية التعامل وليس مجرد تقديم معلومات ....كذلك معلومات عن القضايا ...وقت قصير لكن به معلومات كثيرة. السهول و والوضوح"
"759","2311","التوعيه عن التحرش وازاي اتصرف لو حد في شغلي عرضني لده"
"760","2312","توعية المرأة بحقوقها وما حولها من مشكلات ومساعدتها فى مواجهتها وعدم الهروب منها والكتمان"
"761","2315","ختان الاناث"
"762","2318","التحرش"
"763","2319","العنف ضد المرأة والتحرش الجنسي"
"764","2320","هي ليه الأسئلة بتتكرر"
"765","2321","كلهم ممتازبن"
"766","2323","التحرش الجنسي وعواقبه ومواجهه الاغتصاب"
"767","2324","يعني اية راجل"
"768","2327","تعليم الاطفال كيفيه مواجهة التحرش"
"769","2336","أهمية الشغل وازاى اني اوفق بين بيتي وشغلي"
"770","2342","التحرش"
"771","2343","الاهتمام بحقوق المرأة"
"772","2348","التحرش فى العمل"
"773","2351","الدفاع عن النفس و الاخرين"
"774","2358","العنف المنزلي والتحرش"
"775","2360","الدعوة لاحترام المرأة"
"776","2362","للتحرش الجنسي"
"777","2363","انها بتدافع عن حقوق المراءه"
"778","2367","كلها"
"779","2368","ختان الاناث و ازاي نمنعه"
"780","2369","رفض التحرش و مواجهته"
"781","2370","حريه المرأة"
"782","2373","قانون تمكين المرأة"
"783","2376","قضايا الاغتصاب"
"784","2378","كيف اطور من ذاتى وازيد ثقة"
"785","2379","دعم المرأه وتمكينها"
"786","2386","ختان الاناث أبسط نفسي إزاي وازاي أكون هاديه"
"787","2391","اتنتن من افضل سيدات مصر"
"788","2393","كيف أدافع عن نفسي و حقى امام الزوج المتسلط والظالم وبعض القوانين التى تنصف المرأة"
"789","2401","اننا منتنازلش عن اخذ حقوقنا من المتحرشين حتى لو اللى حولينا عملوا مش واخدين بالهم"
"790","2404","المرآه لها الحريه ف كل شئ"
"791","2410","توعيه المرأة بشكل ممتاز"
"792","2417","كلهم"
"793","2419","كلها اسلوبها في تناول الموضوعات ممتازه"
"794","2421","قضايا المرأه والتحرش الجنسي"
"795","2422","ختان الإناث"
"796","2424","بتبين الأسباب المشكله وحولها"
"797","2429","ختان الاناث والتحرش بالاطفال"
"798","2430","حماية المرأة لنفسها"
"799","2431","قضايا ختان الاناث و كيفية الدفاع عن النفس خلال التحرش"
"800","2432","ازاي الست ترفض الاهانه وتكون قويه"
"801","2435","التحرش"
"802","2438","تمكين المرأة في المجتمع"
"803","2439","مواضيع التحرش"
"804","2440","التحرش في العمل"
"805","2447","حاله نفسيه جيده وثقه بلنفس من بعض الفيديوهات جاتلي"
"806","2449","ازاي أوفق بين البيت والشغل"
"807","2451","كيف تتعامل المرأة مع التحرش"
"808","2452","التحرش ،الاختطاف،عدم تحمل الزوج المسئولية وتركها على كاتف الزوجة"
"809","2454","اهميه الشغل للستات"
"810","2461","ضد تعنيف المراه"
"811","2462","التحرش والختان"
"812","2466","ختان البنات والتحرش"
"813","2467","التحرش الجنسي للأطفال"
"814","2469","اهميه الشغل"
"815","2470","التحدث عن اهمية وعلو مكانة وشان المراة بالمجتمع"
"816","2473","اسلوب الدكتوره فالكلام والتعبير عن حقوق المراءه"
"817","2476","التحرش"
"818","2479","الشغل.. التحرش"
"819","2480","التحرش في العمل بالموظفين الجدد"
"820","2487","التحرش"
"821","2489","الدعم والإرشاد"
"822","2494","النصائح"
"823","2495","حقوق المرأه"
"824","2503","التحرش"
"825","2505","العنف ضد المرأة"
"826","2507","التوعيه في التحرش"
"827","2511","العنف الاسرى"
"828","2514","فديوهات تمكين المرأة"
"829","2516","موضوع التحرش بالأطفال عشان بناتي"
"830","2519","التحرش والمساوه السياسية"
"831","2520","كلها"
"832","2521","التحرش"
"833","2524","عن قضايا المراه عموما"
"834","2528","الدعم للمراه"
"835","2532","الاسئله فى القانون واجاباتها ، بناء الثقه بالنفس"
"836","2536","جميع الفيديوهات هادفة"
"837","2539","الفتاة اللى الشباب ولم تستلم واخدت حقها"
"838","2544","افضل شئ إن أخيرا فى برنامج بيناقش كل ما يخص قضايا المرأة وكل مواضيع البرنامج اللى شوفتها مفيده واستفدت منها قانونيا"
"839","2549","لا لختان الاناث"
"840","2559","التوعيه للبنات"
"841","2560","عدم استسلام المرأة للظلم"
"842","2561","موضوع تطور الشخصيه استفدت منه كتير لإني شخص منطويه لا استطيعالتعبيرع عن نفسي استفدت بقيت اعرف اعترض واقول وجهه نظري واقنع غيري بيها"
"843","2562","الميراث و مشاكله"
"844","2569","حقوق الزوجه"
"845","2573","مواضيع توعية المرأة وحسها علي تحقيق اهدافها"
"846","2576","المراه بشكل عام"
"847","2584","تحرش العمل"
"848","2585","فمرة الدعم والتوعيه بصفه عامه"
"849","2586","ازاى توفقى بين الشغل والبيت وأثر الكورونا"
"850","2587","التعامل مع المتحرش"
"851","2588","جميعهم"
"852","2592","التحرش والتحرش الجنسي بالأطفال"
"853","2593","التحرش ومواجهته"
"854","2594","التحرش"
"855","2596","أهمية عمل المرأة لانى للاسف سبت شغلى وقعدت ف البيت وندمت جدا"
"856","2597","اهمية الشغل وازاي التوفيق بينه وبين البيت وازاي التصرف اثنا التحرش حتى لزميلة"
"857","2598","تمكين المراه ودعمها"
"858","2599","استقلال المرأه ماديا"
"859","2601","اذاى المراه تقدر تدافع عن نفسها ضد التحرش وكمان التحرش بالاطفال"
"860","2602","موضوع الخلع والتحرش في العمل والعنف ضد المراة"
"861","2604","قضية التحرش بزميلة العمل ومدى الاذى من ذلك"
"862","2606","حمايه النفس"
"863","2609","دعم المراه لخوض سوق العمل"
"864","2611","ختان الإناث - جرائم الاغتصاب"
"865","2613","ازاي الشباب والرجال يقفوا ضد العنف ضد المرأة"
"866","2614","فيديو بعنوان تعملي ايه لو حصل تحرش في الشغل"
"867","2615","كل موضوع كان مختلف وكان بيقدم فكره جديده ف كلهم عجبوني"
"868","2618","التوعيه بحقوق المرأه"
"869","2621","كله"
"870","2623","التحرش"
"871","2624","التحرش في العمل"
"872","2627","التحرش والعنف"
"873","2628","قضية التحرش وكيفية مواجهتها"
"874","2629","الظروف الاقتصادية وتأثيرها علي كل بيت"
"875","2630","ختان البنات"
"876","2631","كيف يكون رظ فعل المرأه اذا تعرضت لاحدى مضايقات الزملاء فى العمل"
"877","2632","الفرق بين الخلع و الطلاق ، العمل و أهميته و التوفيق بينه و بين المنزل ، حالات التحرش فى العمل"
"878","2633","دعم المرأة"
"879","2635","مساندة المرأة عموما"
"880","2637","العنف"
"881","2641","العنف ضد المراه"
"882","2645","رفض التحرش"
"883","2647","كلها"
"884","2649","جرائم الاغتصاب"
"885","2650","التعامل في مشاكل التحرش للاطفال"
"886","2651","التحرش والختان"
"887","2653","قضايا المرأة"
"888","2655","العنف المنزلى"
"889","2661","ازاي اوفق بين شغلي وبيتي"
"890","2662","التحرش"
"891","2664","الختان,الاغتصاب,التحرش وقضية اللبس"
"892","2666","وجود دعم قوى ومختلف تجاه المرأة"
"893","2667","مواجهة التحرش"
"894","2668","الست تعمل حدود من البدايه .الشغل شغل.  انه تاخد حقها وماتسكتش عليه . وانها مش السبب ف التحرش وعي مش غلطانه"
"895","2670","افكار لمواجه التحرش في العموم"
"896","2673","كل المواضيع"
"897","2676","التحرش في العمل"
"898","2678","التحرش"
"899","2681","المحافظه علي حقوق المرأة ...مواجهه التحرش"
"900","2686","الاثار السلبيه لشغل المرأه في الكرونا"
"901","2688","العنف مع المراه"
"902","2689","التحرش ف العمل والتحرش بالاطفال"
"903","2691","ان المراه بدأت تاخد حقها في مجتمع ذكوري"
"904","2692","خروج المرأة للعمل وازاى تكون قوية والثقة بالنفس"
"905","2694","التحرش الجنسي وموجهتو"
"906","2695","التحرش"
"907","2696","مواجهة التحرش"
"908","2697","التعامل مع المتحرش ازاى وده اتكرر بأشكال مختلفه فى اكتر من حلقه"
"909","2699","التحرش الجنسي والختان"
"910","2700","طرق المواجهة ومش مجرد معلومات نظرية وخلاص"
"911","2703","انتي مش لوحدك"
"912","2705","مشكله التحرش"
"913","2706","التحرش بالاطفال"
"914","2709","ازاي اختار الراجل رسائل حظر للمرأه ال الختان والانترنت"
"915","2711","إزاي تدافعي لو اتعرتضي لتحرش في الشغل"
"916","2712","دعم المرأة"
"917","2714","تثقيف الشباب عن كيفية محاربة العنف ضد المرأة"
"918","2716","حق المرأة لو حد لتحرش بيها"
"919","2717","من اكتر المواضيع اللى عجبتنى موضوع التحرش فى العمل و موضوع هل لبس البنات هو السبب فى التحرش ولا لا و كمان باقى الموضوعات كانت جميله لكن دول كانوا مميزين"
"920","2718","اضرار الختان للاناث التحرش في العمل"
"921","2720","العنف ضد المرأة"
"922","2721","الفرق بين الخلع  والطلاق"
"923","2726","حث الرجل في التعاطف مع المرأة وضعفها"
"924","2728","لبس البنات سبب التحرش"
"925","2731","التحرش"
"926","2733","طريق دة التعامل مع التحرش وازاى ادافع عن نفسي وازاي احافظ علي اطفالي من التحرش"
"927","2735","حقوق المرأه....الا ترضى بالاهانه او الضرب"
"928","2736","الخلع والطلاق"
"929","2737","التحرش"
"930","2739","التوعيه"
"931","2741","الاجراءات التي ينص عليها القانون لمواجهة قضية التحرش"
"932","2745","التحرش"
"933","2746","الوعي ان المرأة مضطهدة و ان النساء بدأو يتكلمو"
"934","2747","التحرش"
"935","2748","كلهم طبعا"
"936","2749","دعم المرأه"
"937","2751","التحرش"
"938","2753","كيفية مواجهة التحرش"
"939","2756","التحرش"
"940","2757","فيديو تحدث عن عقدة سندريلا وفيه توجيه للأهل بألا يقوموا بتربية بناتهن على انتظار الفارس الشجاع الذي سوف يحقق لها كل احلامها وطموحاتها ولكنها ينبغي ان تعتمد على نفسها في تحقيق كل ماتريد"
"941","2760","التحرش"
"942","2762","اثر فيروس كورونا على الاسرة"
"943","2764","قصص ملهمه"
"944","2765","حنان الاناث"
"945","2772","حقوق المرأة المطلقة وحقوق الابناء"
"946","2774","مافيش حاجه معينه"
"947","2776","الناس اللي تقف مع المرأه وتنصفها ومتتحسسهاش انها عار في اي وضع اجتماعي"
"948","2779","العنف ضد المراه"
"949","2781","مواضيع كتيرة عن الأسرة والمجتمع"
"950","2795","الختان"
"951","2804","اخذ المرأه لحقوقها بنفسها والسعي وراها"
"952","2805","كل ما يهم المرأة"
"953","2810","ممتازه"
"954","2811","دعم لحقوق المرأة"
"955","2813","قضايا الاغتصاب والختان"
"956","2815","كلها هادفه"
"957","2816","الابلاغ عن المتحرشين"
"958","2818","كيفية التعامل مع الماحرشين وردعهم"
"959","2821","كلها بصراحه"
"960","2822","تشجيع السيدات على العمل حتي من خلال المنزل"
"961","2825","الختان"
"962","2827","موضوع الاهتمام بمعرفه حقوق المراءه في المجتمع"
"963","2829","عمل المرأه"
"964","2831","كما وضحت بالسابق الدفاع عن النفس عند الشعور بالخطر و. الاجراءات التى نتخذها بعد التعرض للعنف"
"965","2846","التمسك بحقوق المراة"
"966","2850","التوعية بعدم ختان الاناث"
"967","2851","دور المرأة"
"968","2853","المراه قوية وحره"
"969","2860","تم"
"970","2862","المواضيع كلها عجبتني لانها كلها بدعم المرأه وانا سعيدة بعد لانها بقالها صوت مش ساكته المقهورة ومفيش حق بيرجع لها  اها"
"971","2864","وعي البنات بالتبليغ عن قضايا الترش"
"972","2870","جواز البنات"
"973","2871","دعم المرأة ضد التحرش"
"974","2876","تعريف الست بحقوقها"
"975","2878","محاولة شرح مشاكل المرأة و البنت التي لا يتطرق لها المجتمع بالنقاش الجاد"
"976","2881","موضوع رد الفعل لما تشوف حالة تحرش"
"977","2885","التحرش وكيف اتعامل مع المتحرشين"
"978","2886","أهمية الشغل وازاي توفقي بين الشغل والبيت"
"979","2888","جرائم الاغتصاب وازاي اواجهه واتغلب عليها وكذلك ظاهرة التحرش رالعنف ضد المراة"
"980","2889","قضايا التحرش"
"981","2890","الختان والتحرش والاغتصاب"
"982","2892","الخلع والطلاق"
"983","2894","التحرش"
"984","2898","كلها مواضيع حيويه"
"985","2903","ختان الاناث الفرق بين الخلع والطلاق"
"986","2906","جميعها"
"987","2907","كيف تحمي المرأه نفسها"
"988","2910","الرغبة الملحة في تحقيق العدل للمرأة"
"989","2913","الختان والتحرش"
"990","2914","دغم المراة"
"991","2915","بعرف حقوقي وازى اتصرف"
"992","2916","موضوع الطلاق والخلع والفرق بينهم"
"993","2921","اهميه العمل والتوفيق بينه وبين البيت) العنف ضد المراه الموضوعات الاحتماعيه التى تخص المزاه وكيفيه اداره شؤنها"
"994","2922","التحرش"
"995","2925","الفرق بين الخلع والطلاق"
"996","2926","التحرش بكل اشكاله وانواعه واننا ممكن نكون بنتعرضله واحنا مش عارفين"
"997","2927","اكيد معجبنيش الي فيها بس عجبني تعليقات الناس ودعمها"
"998","2930","التوفيق بين عمل المرأة والمنزل وكيفية التعامل مع قضايا التحرش"
"999","2936","الاسلوب التوعوي"
"1000","2942","تخفيف العبء التفسى على النساء فى ازمة كرونا"
"1001","2950","التوفيق بين الشغل والبيت..واثر فيروس كورونا على العنف فى المنزل"
"1002","2952","ازاي نحمي الاطفال من التحرش الجنسي"
"1003","2955","أهمية شغل المراه"
"1004","2956","التحرش"
"1005","2962","التشجيع ع عمل المرأة فجميع المجالات"
"1006","2965","دعم المرأة ف الحياه الزوجية والمهنيه"
"1007","2966","توضيح الخلع والطلاق وان الخلع يتم بدون ابداء اسباب وليس له استئناف"
"1008","2967","التحرش في العمل"
"1009","2968","التحرش"
"1010","2969","جميعها"
"1011","2972","تنظيم الوقت وتفعيل دورها ف المجتمع"
"1012","2975","منع ختان الاناث  مواجهة التحرش  الإناث سبب في التحرش مواجهة جرائم الاغتصاب و أثر الفيروس علي العمل"
"1013","2978","التحرش الجنسي..اهميه الشغل والتوفيق بين الشغل والبيت والاثار السلبيه لفيروس كرونا"
"1014","2979","حقوق المراه"
"1015","2984","معظمها"
"1016","2988","العنف والتحرش"
"1017","2990","المواضيع التي تخص المرأه وكيف تفهم الطرف الأخر وتتعامل معه"
"1018","2991","معظمهم"
"1019","2994","بصراحه كل المواضيع جميله ومفيده"
"1020","2996","كلهم"
"1021","2997","موضوع التحرش"
"1022","3000","مناقشة العنف ضد المرأة"
"1023","3001","كل المواضيع هادفه تساعد على حل مشاكل المراة"
"1024","3003","طريقة معالجة الموضوعات  تعجبني اكثر من الموضوع نفسه"
"1025","3004","الختان"
"1026","3007","التوعيه"
"1027","3010","الاهتمام باامرأه"
"1028","3011","دعم المرأة"
"1029","3015","تنمية ودعم المرأة في أمور كتير"
"1030","3016","التحرش"
"1031","3019","حقوق المرأه ف المجتمع ودورها والرجاله ودورهم ف البيت والمجتمع"
"1032","3023","ااهميه  الشغل وكيفيه التوفيق لين الشغل والبيت"
"1033","3024","أهمية شغل الست"
"1034","3025","إن المرأه ماتسمحش لأى حد إنه يجي عليها"
"1035","3026","الفرق بين الطلاق والخلع وكمان التحرش بالطفل وازاى اوعى طفلى"
"1036","3028","هل لبس البنات سبب التحرش؟"
"1037","3030","العنف مواجهة الأسري وامتي وكيف نختار بين الخلع والطلاق"
"1038","3033","التحرش الجنسي للاطفال . جرائم الاغتصاب. المحافظة ع العمل"
"1039","3034","التحرش بالمرأة وعقوبتها"
"1040","3039","التحرش"
"1041","3040","اهميه الشغل"
"1042","3044","جميعهم"
"1043","3050","التحرش ضد المراه"
"1044","3052","معرفه المراه لحقوقها"
"1045","3053","دعم الرجل/الختان/الحماية من التحرش"
"1046","3056","حمايه المراءه من العنف وإن ورئها من يسأل عنها"
"1047","3058","قضايا التحرش بانواعه"
"1048","3063","التحرش بالأطفال"
"1049","3068","العنف ضد المرأة والتحرش"
