v1,linex,assignment,should_exclude,responded,donation,network,sms,date,link,responseidx,responseidy,payment_amt
119,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 11:10:22,original_link,R_ZDCAuXDQLL3h7UZ,R_3HuGkeVeo5oN1kf,25 EGP
120,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:18:25,original_link,R_AyqazFnXHm1UcPn,R_DJqu7wwupt32myt,25 EGP
121,8,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 08:47:31,original_link,R_AyqazFnXHm1UcPn,R_1hSVuElxjnXK02M,15 EGP
122,8,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-10 13:33:33,original_link,R_31WBkQOEtI26jkl,R_3gMdnL09OZF8lVL,25 EGP
123,8,Control,1,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-27 11:02:20,original_link,R_31WBkQOEtI26jkl,R_1L0oeTFSoREqPLP,25 EGP
124,8,Control,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-10 13:38:40,original_link,R_1EgjnFLiFFHXwVi,R_2zABfd1QTrk0TBZ,No Payment
125,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 09:50:57,original_link,R_1EgjnFLiFFHXwVi,R_2fx7pxTMWq9qGXo,25 EGP
126,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-28 08:45:52,original_link,R_1EgjnFLiFFHXwVi,R_3qZOXP6hQ6Ko5ms,25 EGP
127,8,Control,0,1,"Yes, I would like to donate 15 EGP, and thus receive only 10 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 14:23:17,original_link,R_2CxZjnSSUfwk9I4,R_3oO6tqu1gwIdN8a,10 EGP
128,8,Control,0,1,"Yes, I would like to donate 15 EGP, and thus receive only 10 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 09:48:13,original_link,R_2CxZjnSSUfwk9I4,R_SN6w2MZJoSRocwN,10 EGP
129,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 11:42:29,original_link,R_3GdKd38yE31JPrl,R_2OI136bqOdIsB2W,25 EGP
130,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-28 08:42:04,original_link,R_3GdKd38yE31JPrl,R_2bZXhBFh5fJBSVu,25 EGP
131,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:23:55,original_link,R_7UrsMUrPuN9XOp3,R_2dAO0rd6t4NRwie,25 EGP
132,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-23 07:57:16,original_link,R_7UrsMUrPuN9XOp3,R_AboRewgABT8Fmet,25 EGP
133,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-23 08:05:57,original_link,R_7UrsMUrPuN9XOp3,R_UPzMyWDp5BCIh4l,25 EGP
134,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 16:19:59,original_link,R_7WYekkyeZAMBlzb,R_2VEgtcjEAIMO2Ti,25 EGP
135,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 11:42:11,original_link,R_7WYekkyeZAMBlzb,R_1N3UiegRE1jVId0,25 EGP
136,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-19 11:39:06,original_link,R_2scFtGyFJqaMb9N,R_3CT46tk57Hx0xqg,25 EGP
137,8,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 23:01:11,original_link,R_2scFtGyFJqaMb9N,R_2akvEdO3Rz0Tzz9,25 EGP
138,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-26 03:52:27,original_link,R_2SvErYP7iuQwR3k,R_3szS6xMuriGkFz0,25 EGP
139,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 13:49:25,original_link,R_2SvErYP7iuQwR3k,R_2Et2XyMfIgFOJpy,25 EGP
140,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-30 16:24:10,original_link,R_8k79L7lJSxlB4T7,R_9uwcLSdFdBrXCoh,25 EGP
141,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-10-03 15:33:54,original_link,R_8k79L7lJSxlB4T7,R_ZsgvpfbfZjxkCFr,25 EGP
142,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 11:43:46,original_link,R_24C1rmgwwc6Myw3,R_3fxGIyFm7pS5Tab,25 EGP
143,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 04:50:58,original_link,R_24C1rmgwwc6Myw3,R_1nURh5XMI5D5bpM,25 EGP
144,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 14:49:23,original_link,R_1kXEdTrnKKa6Ubu,R_3fUd6KMokC0dT97,25 EGP
145,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 05:54:49,original_link,R_1kXEdTrnKKa6Ubu,R_3fe2C3fFDRo2vLA,25 EGP
146,8,Facebook,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-25 06:58:22,original_link,R_1gziCEOxBgFENf3,R_1Cxa1ighgjQ7CRx,No Payment
147,8,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-10-01 06:03:04,original_link,R_1gziCEOxBgFENf3,R_3OjrNkn0h8Cf8l6,25 EGP
148,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-22 08:49:15,original_link,R_2BmToWtVL3LD6x1,R_1OqoRy5BDE7giOa,25 EGP
149,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-28 08:07:21,original_link,R_2BmToWtVL3LD6x1,R_1GQ7EvhInXYDD8O,25 EGP
150,9,Control,0,1,"Yes, I would like to donate 15 EGP, and thus receive only 10 EGP mobile credit for participating in this survey.",Orange,0,2020-09-26 11:47:36,original_link,R_301QDKuAX54UvW7,R_2gGZHNZLLFsH6s9,10 EGP
151,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-10-07 12:54:44,original_link,R_301QDKuAX54UvW7,R_3noytqF4MUcZ34W,25 EGP
152,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-24 06:16:23,original_link,R_ZgySkltbhq7uuB3,R_3JLbiWU6s87fpQu,25 EGP
153,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-10-07 16:53:19,original_link,R_ZgySkltbhq7uuB3,R_1hKkaftrsJGPt4J,25 EGP
154,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-22 16:45:00,original_link,R_2xzxUFk5MtrgD6M,R_2CWG6RS1mpOzH8P,25 EGP
155,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-29 13:43:08,original_link,R_2xzxUFk5MtrgD6M,R_1EjmYqpG6Xyz5br,25 EGP
156,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-11 01:20:37,original_link,R_1eRZbLczvxEAhT8,R_w4QLlu9k5SGUkUN,25 EGP
157,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-11 01:33:06,original_link,R_1eRZbLczvxEAhT8,R_2aLktZHsyhv5Yoh,25 EGP
158,9,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,0,2020-09-22 04:49:21,original_link,R_2VPeym28gZ2dROe,R_3erzhqdkZggQ7A9,15 EGP
159,9,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-24 03:08:21,original_link,R_2VPeym28gZ2dROe,R_31jhLAAWkL8h3ul,25 EGP
160,10,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-11 08:45:32,original_link,R_32Mkhj6dF5bHQqL,R_Rynhobq40IBJCmt,25 EGP
161,10,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-15 15:09:30,original_link,R_32Mkhj6dF5bHQqL,R_2vbOLsR0oRxMIaD,25 EGP
162,10,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-17 16:58:13,original_link,R_1MQFolLO9rvW43e,R_suiwz4ZUyOutgRz,25 EGP
163,10,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-25 03:50:58,original_link,R_1MQFolLO9rvW43e,R_PMNZdhjRAYYFjnr,25 EGP
164,10,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-23 10:15:20,original_link,R_1256so87vK4sYUh,R_uy5guJshu4ZJuxj,25 EGP
165,10,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-24 21:36:01,original_link,R_1256so87vK4sYUh,R_1jx4cOpwjwXVOn8,25 EGP
166,10,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-24 13:28:57,original_link,R_R3ne1pi9PC6juzT,R_3ilD9xCLOeDcpab,25 EGP
167,10,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-27 14:09:38,original_link,R_R3ne1pi9PC6juzT,R_1ISDy6LatyDnqHc,25 EGP
168,11,Control,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-10 12:36:53,original_link,R_1Okje4HKWQy36aq,R_AMXxpBmbSPBD8zv,15 EGP
169,11,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-21 05:24:19,original_link,R_1Okje4HKWQy36aq,R_2rqfsY5LDbSfUP8,25 EGP
170,11,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-22 15:56:44,original_link,R_3NCadOOsq2Qs6ez,R_XHB9t0v4I3qiUk9,25 EGP
171,11,Control,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-24 16:47:48,original_link,R_3NCadOOsq2Qs6ez,R_1H82AO3WbrxEtCh,25 EGP
172,11,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-11 16:01:33,original_link,R_xDFqFnlBTZD0c93,R_1qgFqwIWbmdak3s,25 EGP
173,11,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-15 14:02:14,original_link,R_xDFqFnlBTZD0c93,R_z9iraaDBOUK8jqV,25 EGP
174,11,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-24 14:43:48,original_link,R_3PuxiahBnvu45yG,R_5mzGt6I14Mi5lHX,25 EGP
175,11,Facebook,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-29 04:35:16,original_link,R_3PuxiahBnvu45yG,R_31pGFeC0MPfzS1x,25 EGP
176,1,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,1,2020-09-23 09:59:08,sms1_link,R_cwP8EZdZ5xY7c0p,R_3rS6JXPucYj5EpX,25 EGP
177,1,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-23 10:06:44,sms1_link,R_cwP8EZdZ5xY7c0p,R_3iEACSp5my65Jyy,25 EGP
178,1,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 17:55:15,original_link,R_pn3WI4hTc519l61,R_1LzEdTyQ2q00zNd,25 EGP
179,1,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-23 07:20:24,original_link,R_pn3WI4hTc519l61,R_3PtNsUssZ7DGoeF,25 EGP
180,1,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-22 04:48:56,sms2_link,R_cZJEQ39NUg90kxj,R_2ToAfJFgEA6U8gb,25 EGP
181,1,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,1,2020-09-22 14:02:40,sms2_link,R_cZJEQ39NUg90kxj,R_31dui51XJcIoVVV,25 EGP
182,1,WhatsApp_Ind,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-10 12:48:04,original_link,R_1JWT8l7sjhWClCD,R_2AGbJakSSeYtabA,No Payment
183,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Itisalat,0,2020-09-17 12:13:50,sms2_link,R_1JWT8l7sjhWClCD,R_33DvNREf6bg4hKp,25 EGP
184,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 07:07:05,original_link,R_OjQ3OPpSWSxhSdH,R_3Ol8F8OtK0DBABa,25 EGP
185,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 06:54:35,original_link,R_OjQ3OPpSWSxhSdH,R_2WunKK1eqygKm2j,25 EGP
186,1,WhatsApp_Ind,0,1,"Yes, I would like to donate 15 EGP, and thus receive only 10 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 05:57:17,original_link,R_1oaNjnLb48pS0eJ,R_3yYFdqhfFImN1OV,10 EGP
187,1,WhatsApp_Ind,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 04:15:42,original_link,R_1oaNjnLb48pS0eJ,R_1EZ4DykdqwsJCYu,15 EGP
188,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-16 13:46:08,original_link,R_3mgEhD8rIRHbgDf,R_3J8IVxwVncxB26U,25 EGP
189,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-28 06:23:55,original_link,R_3mgEhD8rIRHbgDf,R_3hsCL4ckXHEmx8Q,25 EGP
190,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 15:10:03,original_link,R_10BmkBvLby7Dcic,R_2gy0IocoGjY97A5,25 EGP
191,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 13:53:54,original_link,R_10BmkBvLby7Dcic,R_2R7UuJI6isRPo9T,25 EGP
192,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 06:03:05,original_link,R_27C28opyVu6LQrm,R_vlC5Ej4m70H1Lyh,25 EGP
193,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-23 14:04:28,original_link,R_27C28opyVu6LQrm,R_2fBtJPllBImrIwI,25 EGP
194,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-30 08:10:45,original_link,R_3dYTaa0yZOvrP8B,R_2wcPOWkSJlRQS37,25 EGP
195,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-10-06 04:19:11,original_link,R_3dYTaa0yZOvrP8B,R_3EuHzsWWlPWBAXy,25 EGP
196,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:28:05,original_link,R_1NsrE5ZgSNO6k9a,R_C2e2ThkNfzKdkUV,25 EGP
197,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-25 04:24:20,original_link,R_1NsrE5ZgSNO6k9a,R_2SobIGPtBAdfVQU,25 EGP
198,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-15 15:33:43,original_link,R_2cq1J2IDC7SiZgR,R_PGsAHkhqmlZN3Kp,25 EGP
199,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 03:50:41,original_link,R_2cq1J2IDC7SiZgR,R_2bHGbHzTKaLDyfS,25 EGP
200,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 14:57:40,original_link,R_W24O3dqt9pEkDGF,R_3luI0RrVoYXio9q,25 EGP
201,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-27 10:25:51,original_link,R_W24O3dqt9pEkDGF,R_2TY7EYz567fyFFB,25 EGP
202,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 09:25:58,original_link,R_2xW9xFejWlUeA2i,R_1lhsnsnFGIkGEMf,25 EGP
203,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 13:49:00,original_link,R_2xW9xFejWlUeA2i,R_2ydeE9ssvDvnwWI,25 EGP
204,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:15:45,original_link,R_XGne8LHTlLP9Fx7,R_3gY6r5wMz1sqg54,25 EGP
205,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-24 04:09:58,original_link,R_XGne8LHTlLP9Fx7,R_zYjQZ5z877sVoKl,25 EGP
206,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 23:58:41,original_link,R_1EcdsWbAIrxCapm,R_3JnqJMb1MrLWW6a,25 EGP
207,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-16 02:28:34,original_link,R_1EcdsWbAIrxCapm,R_2CKzfZCRdiyo8WT,25 EGP
208,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 12:29:52,original_link,R_1mfoTceKKpA5pOT,R_1CduowfFfXNkEXq,25 EGP
209,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-23 23:22:10,original_link,R_1mfoTceKKpA5pOT,R_27lCIgy7feLcfmv,25 EGP
210,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 13:21:52,original_link,R_2rk1YspZofmuUMa,R_b14ILKNPqlYQsal,25 EGP
211,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-22 14:08:42,original_link,R_2rk1YspZofmuUMa,R_3L7IIpQ4DlqARlc,25 EGP
212,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-10 12:06:44,original_link,R_syPDdyh7RRA8ad3,R_1guqb2LDmqi2FbK,25 EGP
213,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-15 18:20:17,original_link,R_syPDdyh7RRA8ad3,R_1OTWvCsIWr226A1,25 EGP
214,1,WhatsApp_Group,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 11:47:46,original_link,R_2s1nmLlUpNEuyen,R_2ylRN4GoBj3Hmpt,15 EGP
215,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-28 16:08:56,original_link,R_2s1nmLlUpNEuyen,R_22EadmBLBICGBXS,25 EGP
216,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-11 15:01:03,original_link,R_307afL2PikugHpx,R_1nVfLhd6jE8QUxg,25 EGP
217,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-15 15:04:01,original_link,R_307afL2PikugHpx,R_32XQPhRTizbvI4y,25 EGP
218,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-11 10:10:35,original_link,R_1eW4Z68tw2uGU96,R_3OkNkprhADs33aF,25 EGP
219,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,1,2020-09-30 17:15:22,original_link,R_1eW4Z68tw2uGU96,R_2uO5IHzaze0dtDE,25 EGP
220,1,WhatsApp_Group,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,0,2020-09-10 12:05:12,original_link,R_3HSKj3HgN29aBMK,R_31coZUGgVhlJzvc,15 EGP
221,1,WhatsApp_Group,0,1,"Yes, I would like to donate 25 EGP and thus receive no mobile credit for participating in this survey.",,0,2020-09-24 12:08:39,original_link,R_3HSKj3HgN29aBMK,R_zTpbKh8nmtUL7Nf,No Payment
222,1,WhatsApp_Group,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,0,2020-09-28 17:42:10,original_link,R_3HSKj3HgN29aBMK,R_yF3IYUqwTMwYWvD,25 EGP
223,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-10 13:12:54,original_link,R_2U9MOGd4YLbtOkX,R_3Jy0K4MPLcFGTEz,25 EGP
224,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Vodafone,0,2020-09-11 04:30:52,original_link,R_2U9MOGd4YLbtOkX,R_1Fyxk7RqD1THr0M,25 EGP
225,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-10 12:44:06,original_link,R_2zUBSMlXlWN5gOF,R_UrJpER1J8GYFcmR,25 EGP
226,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-24 09:33:49,original_link,R_2zUBSMlXlWN5gOF,R_zfkbbjdxxuZ2KB3,25 EGP
227,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-12 09:07:20,original_link,R_21GMSyzYEPvZTr0,R_0cZJXzA9DEyytvH,25 EGP
228,1,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",We,0,2020-09-24 05:29:53,original_link,R_21GMSyzYEPvZTr0,R_3qQml40gm7xASlw,25 EGP
229,2,Remind_Show,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,1,2020-09-17 17:53:00,sms1_link,R_W1ItEtz7zrh04XD,R_3RpAwO3XlmQWGOf,25 EGP
230,2,Remind_Show,0,1,"Yes, I would like to donate 10 EGP, and thus receive only 15 EGP mobile credit for participating in this survey.",Orange,1,2020-09-21 08:45:55,sms1_link,R_W1ItEtz7zrh04XD,R_3dFUi8TCzxLb40J,15 EGP
231,2,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,1,2020-09-25 00:22:29,sms1_link,R_3MKdEAqabKDzIf5,R_23dhxOvbLPiFo76,25 EGP
232,2,WhatsApp_Ind,0,1,"No, I would not like to donate any money, and thus prefer to receive 25 EGP mobile credit for participating in this survey.",Orange,1,2020-09-28 02:24:40,sms1_link,R_3MKdEAqabKDzIf5,R_OcCvBoogv2aWOT7,25 EGP
