"","index","know_online","know_online1","know_online2","know_online3","know_online4","know_online5"
"275","817","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","التليفزيون","لايوجد","لايوجد","لايوجد"
"276","821","First:,Second:,Third:,Fourth:,Fifth:","منظمة العفو الدولية","مايو كلينك","منظمة الامم المتحدة للمرأة الدول العربية","حماية حقوق المرأة المصرية","منطقة شرق البحر الأبيض المتوسط"
"277","826","First:,Second:,Third:","خط نجده الطفل","المجلس الاعلي للمراءه","دار الافتاء",NA,NA
"278","828","First:,Second:,Third:","المجلس القومى للمرأة","حكايات نهاد",NA,NA,NA
"279","835","First:,Second:,Third:,Fourth:","الفيس بوك","اليوتيوب","الانستجرام","تويتر",NA
"280","837","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"281","842","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة","مؤسسة قضايا المرأة المصرية",NA,NA
"282","844","First:,Second:,I do not know any.","المجلس القومي للمراه","المجلس القومي لحقوق الانسان",NA,NA,NA
"283","847","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"284","853","First:,Second:,Third:,Fourth:,Fifth:","Face book","Instagram","Twieter","Youtube","Whatsapp"
"285","855","First:","بعض الصفحات علي الفيس بيحكي النساء عن مشاكلهم",NA,NA,NA,NA
"286","861","First:,Second:","جوجل","موقع استشارات مجانية",NA,NA,NA
"287","864","First:,Second:,Third:,Fourth:,Fifth:","الفيس","الاخبار","الواتس","اليوتيوب","الناس"
"288","865","First:","البحث في جوجل",NA,NA,NA,NA
"289","867","First:,Second:","المجلس القومى للمرآه والطفل","جروبات مسانده المرأه",NA,NA,NA
"290","870","First:,Second:,Third:,Fourth:","فيس بوك","مواقع النصائح","الاخبار","جمعيات حقوق المراءه",NA
"291","877","First:,Second:,I do not know any.","من مواقع التواصل الاجتماعي","جروبات علي الفيس بوك بأسماء مختلفه",NA,NA,NA
"292","878","First:,Second:,Third:","الفيس بوك","الصحف","البرامج الحواريه",NA,NA
"293","879","First:","المجلس القومي لحقوق المرآه",NA,NA,NA,NA
"294","882","First:","مجلس المرأة",NA,NA,NA,NA
"295","891","First:","Facebok",NA,NA,NA,NA
"296","896","First:","الفيس بوك",NA,NA,NA,NA
"297","897","First:,I do not know any.","المجلس القومي الامومه والطفوله",NA,NA,NA,NA
"298","899","First:",".",NA,NA,NA,NA
"299","900","First:,Second:,Third:","الجيران","التليفزيون","الفيس",NA,NA
"300","902","First:,Second:,Third:","المجلس القومي للمرأة","وزارة الداخلية","منظمة حقوق الإنسان",NA,NA
"301","910","First:","المجلس القومى للمراة",NA,NA,NA,NA
"302","912","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","الجمعيات النسائية","وسائل الإعلام المختلفة","لا اعرف","لا اعرف"
"303","918","First:,Second:,Third:,Fourth:","فيسبوك","يوتيوب","معرفة اشخاص شخصيا","عن طريق اخبار بااسمعها من اشخاص اعرفهم",NA
"304","919","First:,Second:","المجلس القومى للمرأة","محكمه الاسرة",NA,NA,NA
"305","920","First:,Second:,Third:","المركز المصرى لحقوق المرأه","صندوق الأمم المتحده للسكان","المنصه الإلكترونيه لموده",NA,NA
"306","921","First:","المركز المصري لحقوق المرأة",NA,NA,NA,NA
"307","926","First:","مش فاكرة حاجة معينة بس الجروبات بتاعة البنات ليها دور كبير انها توصل الست للمصدر",NA,NA,NA,NA
"308","931","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للامومة والطفولة","المجلس القومي للمرأة","صفحات إخبارية","صفحات تشجع على حقوق المرأة","قنوات الفضائيات الموجهة"
"309","932","First:","المجلس القومى للمراه",NA,NA,NA,NA
"310","935","First:,Second:,Third:","الفيس بوك","واتس اب","اليوتيوب",NA,NA
"311","940","First:,Second:,I do not know any.","7cups","Better help",NA,NA,NA
"312","950","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"313","952","First:,Second:,Third:","الفيس","التلفزيون","الجيران نادا",NA,NA
"314","954","First:,Second:,Third:","اعلانات","بوستات","صفحات",NA,NA
"315","955","First:,Second:","المجلس القومي لحقوق المرأة","حقوق الانسان",NA,NA,NA
"316","963","First:,Second:,Third:","Face book","اصدقاء","تلفزيون",NA,NA
"317","970","First:,Second:,Third:,Fourth:,I do not know any.","موقع المجلس القومط للمراه","فيديوهات يوتيوب","موقع استشارات قضائيه","Google",NA
"318","972","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"319","977","First:,Second:,Third:,Fourth:,Fifth:","فيه جروبات كتير خاصه للبنات والسيدات بيحكوا فيها ال حصلهم وردت فعلهم","الاكونت الشخصي للمتعرض للعنف المنزلي","صفحه برنامج حكايات نهاد","جوجل","يوجد مصادر كثيره لاتستطيع تذكرها حاليا"
"320","978","First:,Second:,Third:","حكايات نهاد","يوميات زوجة","فضفضة انثى",NA,NA
"321","979","First:,Second:,Third:","YouTube","برامج تليفزيونية","كتب",NA,NA
"322","985","First:,Second:,Third:","مشتركه في جروب بيدعم المتضضررات مش فاكره اسمه بالظبط","ياسمين مدكور","كنت مسيفه رقم عندي للحاجات اللي شبه كده",NA,NA
"323","986","First:,Second:,Third:","صفحة ثورة المرأة","جروب ثورة المرأة","صفحة فيمنستاية",NA,NA
"324","989","First:,Second:,Third:,Fourth:,Fifth:","شيزلونج","صفحة المركز المصري","صفحة المجلس القومي للمرة","صفحة ومن اوف ايجبت","صفحة بالتاء المربوطة"
"325","990","First:","لا اعرف",NA,NA,NA,NA
"326","991","First:","خط النجده 16000",NA,NA,NA,NA
"327","992","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا ارعرف","لا"
"328","995","First:,Second:,Third:","اجراء قانونى","خط نجدة الطفل فى حالة وجود اطفال","مش متاكدة اذا كان المجلس القومى للمراة بيساعد ولا لا",NA,NA
"329","997","First:,Second:","برامج التلفيزيون","المساجد والكنائس",NA,NA,NA
"330","998","First:,Second:,Fourth:","برنامج مني العراقي","برنامج المستشار",NA,NA,NA
"331","1001","First:,Second:,Third:","فيس بوك","المجلس الاعلى للمرأة","جمعيهالمجتمع المدني تساعد المرأة",NA,NA
"332","1003","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"333","1012","First:","Facebook",NA,NA,NA,NA
"334","1015","First:,Second:,Third:,I do not know any.","Facebook","Google",NA,NA,NA
"335","1018","First:","جروبات متنوعه",NA,NA,NA,NA
"336","1021","First:,Second:,Third:,Fourth:,Fifth:","مؤسسة الحياة","جمعية حقوق المرأة","منظمة حقوق الانسان","كورسات مهارات الحياة وتطوير الذات","محاضرات سيكولوجية الرجل والمرأة"
"337","1027","First:,Second:","د ناعمه الهاشمي","جروبات نسائيه",NA,NA,NA
"338","1032","First:","الفيس بوك",NA,NA,NA,NA
"339","1037","First:,Second:,Third:,Fourth:,Fifth:","الفيس بوك","جروبات نسائية","دندشة","ويفرز","الصحف الإلكترونية"
"340","1038","First:","فيس بوك",NA,NA,NA,NA
"341","1042","First:,Second:","برنامج هي وبس","برنامج الستات ميعرفوش يكدبوا",NA,NA,NA
"342","1047","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","الجمعيات الأهلية التى تقدم استشارات اسرية","هيئة الأمم المتحدة للمرأة موقع التواصل الاجتماعي لديهم","مؤخر في المستقبل سوف يقام مدينة خالية من العنف ضد المرأة ةsave cities",NA
"343","1049","First:,Second:","منظمه حقوق الإنسان","محكمه الاسره",NA,NA,NA
"344","1050","First:","المركز القومي لحقوق المراه",NA,NA,NA,NA
"345","1051","First:,Second:","Facebook","YouTube",NA,NA,NA
"346","1054","First:","الفيس بوك",NA,NA,NA,NA
"347","1057","First:,Second:,Third:","بعض المواقع الأخبارية","بعض الجروبات على الفيس بوك التي تدعم المرأة","بعض البرامج البرامج الأجتماعي التي تهتم بحقوق المرأة ويتم بثها على الانترنت",NA,NA
"348","1058","First:,I do not know any.","صفحات ع الفيس",NA,NA,NA,NA
"349","1061","First:,Second:","اليوم السابع","الجروبات",NA,NA,NA
"350","1062","First:","صفحة المجلس القومى للمرأة",NA,NA,NA,NA
"351","1065","First:,I do not know any.","بشوف يوتيوب",NA,NA,NA,NA
"352","1066","First:","الفيسبوك",NA,NA,NA,NA
"353","1077","First:,Second:,Third:,Fourth:","الفيس","الواتس","جوجل","يوتيوب",NA
"354","1079","First:,Second:,Third:","جروب على الفيسبوك","حكايات نهاد","اخبار جوجل",NA,NA
"355","1081","First:,Second:","الفيس بوك","الصفح الاخبارية",NA,NA,NA
"356","1091","First:,Second:,Third:,Fourth:,Fifth:","Facebook","Youtube","Whatsap","Instgram","Twiter"
"357","1092","First:,Second:","فيس بوك","انستجرام",NA,NA,NA
"358","1097","First:","المرأة والطفل",NA,NA,NA,NA
"359","1107","First:","وسائل التواصل الاجتماعى",NA,NA,NA,NA
"360","1111","First:,I do not know any.","جروبات بتناقش قضايا المرأة عالفيسبوك",NA,NA,NA,NA
"361","1112","First:,Second:,Third:","Facebook","المدونات","الواتس",NA,NA
"362","1118","First:","ابحث على جوجل",NA,NA,NA,NA
"363","1121","First:","منظمه حقوق المرأه",NA,NA,NA,NA
"364","1125","First:,Second:","المجلس القومي لحقوق المراه","جمعيه المراه",NA,NA,NA
"365","1126","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","اخبار","تليجرام","الصديقات","العائلة"
"366","1134","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"367","1135","First:,Second:,Third:,Fourth:",".وزارة التضامن الاجتماعى المصرى","الفيسبوك والبحث","بحث عن طريق جوجل","البحث فى الكتب",NA
"368","1137","First:,Second:","المجلس القومي للمرأة","برامج المرأه",NA,NA,NA
"369","1141","First:","الفيس بوك",NA,NA,NA,NA
"370","1143","First:,Second:,Third:,Fourth:,Fifth:","شكاوي سيدات من أزواجهن عبر مواقع التواصل الاجتماعي","كتب تتحدث عن العنف ضد المرأه pdf","فيديوهات لهيئات عالميه عن العنف ضد المرأة مثل هيئه بلان انترناشيونال ايجيبت","اخبار الاحتفالات التي تتحدث عن اليوم العالمي للمرأة والتي تتحدث في جزء من الاحتفال عن العنف ضدها","عبر فيسبوك قضايا شائكة بين الازواج والتي وصل فيها البعض للقتل أو الشروع في القتل"
"371","1144","First:,Second:","كتب حول العنف الأسرى","بعض محامى  الخلع والطلاق",NA,NA,NA
"372","1147","First:,Second:","المجلس القومي لحقوق المراه والطفل","الشرطه",NA,NA,NA
"373","1148","First:","المركز القومي لحقوق المرأة و الطفل",NA,NA,NA,NA
"374","1150","First:,Second:,Third:,Fourth:","UNFPA","المركز القومي للمرأة","مركز قضايا المرأة","المجلس القومي للبحوث الاجتماعية والجنائية",NA
"375","1151","First:","العنف الممارس ضد المرأة",NA,NA,NA,NA
"376","1167","First:,Second:","المجلس القومى للمرأة","صفحات الدفاع عن حقوق المرأة على فيس بوك معظمهم متعاونين",NA,NA,NA
"377","1169","First:,Second:,Third:","برنامج الستات مبيعرفوش يكدبوا","برنامج هي وبس",NA,NA,NA
"378","1174","First:","برنامج دكتورة نهاد ابو القمصان",NA,NA,NA,NA
"379","1184","First:,I do not know any.",NA,NA,NA,NA,NA
"380","1187","First:","المركز القومي للمراه",NA,NA,NA,NA
"381","1192","First:,Second:,Third:","الفيس بوك","تويتر","انستجرام",NA,NA
"382","1194","First:,Second:","حملات و جروبات Facebook","Google",NA,NA,NA
"383","1204","First:,Second:,Third:,Fourth:,Fifth:","فيديوهات يوتيوب","صفحات المراه","جروب حد يعرف","برامج تليفزيونيه","جروب على الفيس"
"384","1205","First:,Second:,Third:","برامج الاسره فيس بوك","برامج يوتيوب","المستشاره القانونيه",NA,NA
"385","1208","First:,Second:,Third:,Fourth:,Fifth:","يوتيوي","برامج التوك شو","الفيسبوك","الاخبار","تويتر"
"386","1209","First:","محكمة الاسرة",NA,NA,NA,NA
"387","1213","First:,Second:","الشرطة","الاهل والاصدقاء والجيران",NA,NA,NA
"388","1216","First:,Second:,Third:,Fourth:,Fifth:","من الفيسبوك","من التويتر","من جروبات حقوق المرأة","من اليوتيوب","برنامج رضوي الشربيني"
"389","1217","First:","المجلس القومي لدعم المرأه",NA,NA,NA,NA
"390","1219","First:,Second:","Facebook","Anstgram",NA,NA,NA
"391","1223","First:,Second:","جروبات فيس بوك","برامج دعم النساء",NA,NA,NA
"392","1227","First:","صفحة أستاذة نهاد ابو القمصان",NA,NA,NA,NA
"393","1230","First:,Second:,Third:","حقوق المرأة","مؤسسات تراعي جميع المتضررين","لو كانت تعبانه نفسيا من اثر الضرر ممكن تشوف دكتور نفسي",NA,NA
"394","1231","First:,Second:","Facebook","Whatsapp",NA,NA,NA
"395","1236","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","التلفزيون","الموبيل","الجروب","الصحيفة"
"396","1237","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراة","مؤسسة المراة والقانون","المجلس القومى للمراة","جمعية المراة والمجتمع للتنمية الشاملة بالطيبة","حقوق الناجيات من العنف"
"397","1239","First:,Second:","صفحه الاستشارى الاسرى","مواقع الاطباء النفسيين",NA,NA,NA
"398","1241","First:","موقع المجلس القومي للمراة",NA,NA,NA,NA
"399","1242","First:,Second:","جمعية للحفاظ علي حقوق المرأة","جمعية الحفاظ علي حقوق الانسان",NA,NA,NA
"400","1243","First:,Second:,Third:,Fourth:","منظمه الصحه العالميه","منظمه حقوق المرأة والطفل","المركز المصري لحقوق المرأة","رابطه المرأة العربية",NA
"401","1244","First:","منشورات مجموعات الفيس بوك التى تناقش العديد من القضايا فى الوقت ذاته",NA,NA,NA,NA
"402","1245","First:,Second:","اسئله جوجل","فيسبوك",NA,NA,NA
"403","1246","First:,Second:","المركز القومي للمرأة","برنامج المذيعة رضوي الشربيني",NA,NA,NA
"404","1247","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"405","1249","First:,I do not know any.","Facebook",NA,NA,NA,NA
"406","1250","First:,Second:,Third:,Fourth:","حمله ة","بهيه","المجلس القومى للمراة","هى",NA
"407","1255","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"408","1260","First:,Second:","دكتور نفسى","جروب متخصص فى حل المشاكل",NA,NA,NA
"409","1267","First:,Second:","حقوق المراأه","محكمه الاسره",NA,NA,NA
"410","1269","First:","مكتب حب المنازعات داخل محكمة الاسره",NA,NA,NA,NA
"411","1273","First:,Second:,Third:","صفحات الفيس بوك","البرامج التليفزيونية","دار الإفتاء المصرية",NA,NA
"412","1276","First:,I do not know any.","منظمة حقوق المرآه",NA,NA,NA,NA
"413","1277","First:,Second:,Third:,Fourth:","برامج التلفزيون","صفحات الفيسبوك","قنوات اليوتيوب","اخبار الجيران",NA
"414","1278","First:,Second:,Third:","العنف الاسري","التنمر","عن الميراث",NA,NA
"415","1280","First:","نساء غاضبات",NA,NA,NA,NA
"416","1281","First:,Second:,Third:","مايو كلينك","قنوات علي اليوتيوب","جروبات علي الفيس بوك",NA,NA
"417","1282","First:,Second:","مكتب شكاوي المرأة التابع لوزارة الصحة","المجلس القومي للمرأة",NA,NA,NA
"418","1286","First:","Search google",NA,NA,NA,NA
"419","1290","First:,Second:,Third:,Fourth:,Fifth:","منظمات حقوق المرأة","جمعية حقوق المرأة في التنمية","المنظمات الدولية وحقوق المرأة","المساواة بين الجنسين","المركز المصري لحقوق المرأة"
"420","1292","First:,I do not know any.",NA,NA,NA,NA,NA
"421","1299","First:","YouTube",NA,NA,NA,NA
"422","1309","First:,Second:,Third:","محكمة الأسرة","تقديم بلاغ للشرطة","اخد تعهد بعدم التعرض",NA,NA
"423","1310","First:,Second:,Third:","علي الفيس بوك","الانستجرام","الواتساب",NA,NA
"424","1317","First:,Second:,Third:","حكايات نهاد","ست الستات","حضره المواطن",NA,NA
"425","1318","First:",NA,NA,NA,NA,NA
"426","1320","First:,Second:,Third:,Fourth:,Fifth:","حقوق المرأه","حق النساء ف الاسلام","حقوق المرأه في الميراث","حق المرأه ف التعليم","المساوه بين المرأه والرجل"
"427","1324","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"428","1333","First:,Second:","موقع نصائح للمراه","موقع مراكز تمكين المرأه",NA,NA,NA
"429","1334","First:,Second:,Third:,Fourth:,I do not know any.","لااعرف","لااعرف","لااعرف","لااعرف",NA
"430","1335","First:,Second:","جمعية حقوق المرأه","جمعية حقوق الإنسان",NA,NA,NA
"431","1337","First:,Second:","Dandasha on Facebook","Wafress on Facebook",NA,NA,NA
"432","1341","First:,Second:","صفحات أطباء ومتخصصين نفسيين","صفحات مرشدين للمشاكل الأسرية",NA,NA,NA
"433","1343","First:,Second:,Third:,Fourth:,Fifth:","جروبات نسائية ع الفيس","جروبات نسائية علي الماسنجر","جروبات نسائية علي الواتس","جروبات منتديات لحل المشاكل الاسرية بسرية تامة","جروبات نسائية ع بعض المواقع الموثوق فيه"
"434","1345","First:,Second:,Third:,Fourth:,I do not know any.","لا اعرف","لا اعرف","لا اعرف",NA,NA
"435","1349","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"436","1355","First:,Second:","جمعية حقوق المراة","الازهر الشريف",NA,NA,NA
"437","1357","First:,Second:,Third:","فيسبوك","يوتيوب","واتساب",NA,NA
"438","1359","First:,I do not know any.",NA,NA,NA,NA,NA
"439","1364","First:,Second:","جوجل","الجرائد",NA,NA,NA
"440","1365","First:","جروبات فيس بوك",NA,NA,NA,NA
"441","1370","First:,Second:","برنامج د.هاله سمير",NA,NA,NA,NA
"442","1372","First:,Second:,Third:,Fourth:","العنف ضد المرأة","رعاية الأمومة والطفولة","حقوق المرأة والطفل",NA,NA
"443","1373","First:,Second:,Third:,Fourth:,Fifth:","صفحات المرأة","جروبات خاصة بالمرأة","في نطاق أصدقاء الاصدقاء","حكايات ع النت","حكايات في الصحف"
"444","1380","First:,Second:","الفيس بوك","الاخبار",NA,NA,NA
"445","1387","First:,I do not know any.","جمعيه حقوق المراه",NA,NA,NA,NA
"446","1389","First:,Second:","محكمة الاسرة","المجلس القومى للمرتءة",NA,NA,NA
"447","1399","First:,Second:,Third:,Fourth:,Fifth:","جوجل","يوتيوب","تيلجرام","مجلس المراة","موقع سوبر مامي"
"448","1401","First:,Second:,Third:","المجلس القومى للمرأة","وزارة التضامن الاجتماعى","مراكز تابعة لمؤسسات المجتمع المدنى",NA,NA
"449","1403","First:,Second:","مؤسسه حقوق الإنسان","المجلس القومي لحقوق للمرأة",NA,NA,NA
"450","1405","First:,Second:","ثورة المرأة","حكاوى على الجروبات",NA,NA,NA
"451","1407","First:,Second:,Third:","المجلس القومي لحقوق المرأة","هيومان رايتس ووتش","صفحة ثورة امرأة",NA,NA
"452","1416","First:,Second:,Third:,Fourth:,Fifth:","Facebook","What's up","Google","Twitter","التلفزيون"
"453","1417","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"454","1420","First:,Second:,Third:,Fourth:","جوجل","فيس بوك","تويتر","واتس اب",NA
"455","1423","First:,Second:,Third:,Fourth:,Fifth:","فيسبوك","تويتر","التليفزيون","انستجرام","الصحف"
"456","1430","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"457","1431","First:,Second:","المركز المصري لحقوق المرأة","المركز القومي للمرأة",NA,NA,NA
"458","1433","First:,Second:","قسم الشرطه","مجلس حقوق المراه",NA,NA,NA
"459","1440","First:","فيديو علي اليوتيوب",NA,NA,NA,NA
"460","1442","First:","الخط الساخن الدفاع عن حقوق المراه",NA,NA,NA,NA
"461","1449","First:,Second:","المجلس القومى  للمرأة",NA,NA,NA,NA
"462","1451","First:,Second:,Third:,Fourth:,Fifth:","حملات ضد العنف ضد المرأة","كتب حول العنف ضد المرأة لسهيلة محمود","حملة ال 16 يوم لمناهضة  العنف ضد المرأة","منظمة الصحة العالمية","المجلس القومي للمرأة"
"463","1458","First:,Second:,Third:,Fourth:,Fifth:","برنامج الستات مايعرفوش يكدبوا","الحياه","سالي فؤاد","س ب س","واحد من الناس"
"464","1460","First:,Second:","المجلس القومى للمرأة","مراكز الاستشارات الزوجية",NA,NA,NA
"465","1462","First:,Second:","جروبات المشاكل الاجتماعية","جروبات الاستشارات القانونية",NA,NA,NA
"466","1465","First:,Second:,Third:,Fourth:,Fifth:","لا اعرف","لا اعرف","لا اعرف","لا اعرف","لا اعرف"
"467","1467","First:,Second:,Third:","برنامج الستات مبيعرفوش يكذبو","برنامج نفسنه","توك شو",NA,NA
"468","1473","First:,Second:","جمعيه حقوق المرأة","جمعيه حقوق الإنسان",NA,NA,NA
"469","1475","First:,Second:,Third:,Fourth:","الفيس بوك","انستجرام","تويتر","جمعيات الاسره",NA
"470","1476","First:,Second:,Third:,I do not know any.","Youtube","Facebook","T",NA,NA
"471","1478","First:,Second:","Youtube","Facebook",NA,NA,NA
"472","1481","Second:,I do not know any.",NA,NA,NA,NA,NA
"473","1483","First:","جمعيه الاسره والطفل",NA,NA,NA,NA
"474","1486","First:","الفيس بوك",NA,NA,NA,NA
"475","1488","First:,Second:","جروبات الفيس بوك","قناة حضرتك",NA,NA,NA
"476","1499","First:,Second:,Third:","صفحات الفيس بوك","جروبات الفيس","جروبات الواتساب",NA,NA
"477","1514","First:,I do not know any.","الله",NA,NA,NA,NA
"478","1518","First:,Second:","المجلس القومي للمرأة","المركز المصري لحقوق المراة",NA,NA,NA
"479","1519","First:,Second:,Third:,Fourth:,Fifth:","الفيس","تويتر","انستا","جوجل","جوجل"
"480","1521","First:,Second:,Third:,Fourth:","اقارب","قد تكون زميلة عمل","مواقع علي الفيس",NA,NA
"481","1523","Second:,Third:,Fourth:,Fifth:,I do not know any.",NA,"اقارب الزوج او كبير عائلته","الشرطة","اشخاص تعرضوا للعنف","اطباء نفسيين وشيوخ"
"482","1529","First:","ثوره نسويه",NA,NA,NA,NA
"483","1531","First:,Second:","فيس بوك","جروبات الواتس اب النسائيه",NA,NA,NA
"484","1538","First:,Second:","الفيسبوك","جوجل",NA,NA,NA
"485","1540","First:","حقوق المرأة",NA,NA,NA,NA
"486","1546","First:,Second:","المجلس القومى للمرأه","برامج المرأه",NA,NA,NA
"487","1547","First:","الفيسبوك",NA,NA,NA,NA
"488","1555","First:,Second:","حقوق المرأه","حقوق المرأه والطفل",NA,NA,NA
"489","1559","First:","المجلس القومي المرأه",NA,NA,NA,NA
"490","1560","First:","لا اعرف",NA,NA,NA,NA
"491","1564","First:,Second:","هي وبس","كلام ستات",NA,NA,NA
"492","1569","First:,Second:,Third:","فسي بوك","واتس اب","المدونات",NA,NA
"493","1570","First:,Second:","المجلس القومى للمرأة","محكمة الاسرة",NA,NA,NA
"494","1575","First:,Second:,Third:","اليوتيوب و مقاطع فيديو به","الفيس بوك","جوجل",NA,NA
"495","1578","First:,Second:,Third:,Fourth:,Fifth:","لا أعلم","لا اعلم","لا اعلم","لا اعلم","لا اعلم"
"496","1583","First:,Second:,Third:,Fourth:,Fifth:",NA,NA,NA,NA,NA
"497","1584","First:","المجلس القومى للمراة",NA,NA,NA,NA
"498","1588","First:,Second:,Third:,Fourth:,Fifth:","شكاوى المراه","العنف ضدالمراه","لا للعنف","اصطهاد المراه","المراه والمجتمع"
"499","1589","First:","المركز القومى للمراة",NA,NA,NA,NA
"500","1594","First:,Second:","المركز القومى للمرأه","مكتب شكاوى المرأة",NA,NA,NA
"501","1595","First:,Second:,Third:,Fourth:","الاتحاد العام لنساء مصر","المركز القومى للمرأة","مراكز حقوقية مختلفة","صفحات على مواقع التواصل الاجتماعي",NA
"502","1596","First:,Second:,Third:,Fourth:","الفيس بوك صفحات نصائح للمتزوجات","منتدى فتكات","رضوى جلال بلوجر على اليوتيوب","هاله سمير مقدمة برامج تلفزيونية",NA
"503","1599","First:,Second:,Third:","برامج المرأة","المركز القومي لحقوق للمرأة","صفحات مؤيدة للمرأة وحريتها على الفيس",NA,NA
"504","1601","First:","المجلس الاعلى للمراة",NA,NA,NA,NA
"505","1602","First:","مكتب شكاوى المرأة 15115",NA,NA,NA,NA
"506","1603","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"507","1605","First:,Second:","المجلس القومى للمرأة","أسأل محاميك",NA,NA,NA
"508","1606","First:,Second:","المجلس القومي لحقوق المرأه","جروبات الفيسبوك",NA,NA,NA
"509","1613","First:,Second:,Third:","فيسبوك","واتس اب","اليوتيوب",NA,NA
"510","1614","First:,Second:,Third:","حقوق المراه","المجلس القومي للمراه","الامومه والطفوله",NA,NA
"511","1620","First:,Second:","نهاد ابو القمصان","الافاكاتو",NA,NA,NA
"512","1622","First:","المجلس القومى للمراة",NA,NA,NA,NA
"513","1625","First:,Second:","جروب سينجل مازر فيس بوك","جروب اختنا الرابعة حسب الله فيس بوك",NA,NA,NA
"514","1631","First:,Second:,Third:,Fourth:,Fifth:","وسائل اخباريه","وثائق جمعيات حقوقيه","بيانات الحكومه","العنف الإليكتروني","منظمه الصحه العالميه"
"515","1632","First:,Second:,Third:","فيس بوك","واتساب","يوتيوب",NA,NA
"516","1635","First:,Second:","مركز دعم الاسره والمرأه","جروب امسك متحرش",NA,NA,NA
"517","1636","First:,Second:,Third:,I do not know any.","فيس بوك","يوتيوب","التليفزيون",NA,NA
"518","1638","First:,Second:,Third:,Fourth:,Fifth:","التليفزيون","الفيس","جوجل","الاصدقاء","المعارف"
"519","1640","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي لحقوق المرأة","احكى","فيس بوك","لا","لا"
"520","1644","First:,Second:,Third:,Fourth:,Fifth:","مبادرات الخاصة بدعم المرأة التابعة ل وزارة التضامن الاجتماعي","المجلس القومي للمرأة","جمعية حواء المستقبل","جمعية المرأة و القانون","صفحه "" اسال نهاد "" ""نهاد ابو القمصان """
"521","1649","First:,Second:","حقوق المرأة","حمعيات حقوق المرأة",NA,NA,NA
"522","1652","First:,Second:,Third:","بيع اون لاين جروبات واتس اب","بيع اون لاين جروبات فيس بوك","محاضرات تعليمية اون لاين",NA,NA
"523","1653","First:,Second:,Third:,Fourth:,Fifth:","النت","الراديو","الكتب","الندوات والاجتماعات","سماع شكاوى الاخرين"
"524","1657","First:,Second:,Third:","المجلس القومي للمرأة","ملجأ السيدات المعنفات","مركز قضايا المرأة",NA,NA
"525","1658","First:","فيس بوك",NA,NA,NA,NA
"526","1664","First:,Second:,Third:,I do not know any.","حقوق المراة","مجلس الأمومة والطفولة","العنف ضد المراة",NA,NA
"527","1668","First:,Second:","جروبات البنات الخاصة زي دندشه وويفرز","جروب سوسايتي بروبلم",NA,NA,NA
"528","1669","First:","صفحة امهات مصر المعيلات",NA,NA,NA,NA
"529","1672","First:,I do not know any.",NA,NA,NA,NA,NA
"530","1676","First:,Second:,Third:","مكتب حقوق المراة للامومة والطفولة","مكتب الشئون الاجتماعية","محكمة الاسرة",NA,NA
"531","1678","First:","لايوجد",NA,NA,NA,NA
"532","1679","First:","مش عارفه",NA,NA,NA,NA
"533","1680","First:","مجلس حقوق المرأه",NA,NA,NA,NA
"534","1683","First:,Second:","فيديوهات","جروبات نسائية",NA,NA,NA
"535","1686","First:,Second:","جروبات النساء علي فيس بوك","برامج على يوتيوب",NA,NA,NA
"536","1689","First:,Second:,Third:,Fourth:","عنف ضدد المراة","حقوق الزوجة","اضهاد المراة",NA,NA
"537","1702","First:","الفيسبوك",NA,NA,NA,NA
"538","1703","First:,Second:","الفيسبوك","برامج التليفزيون",NA,NA,NA
"539","1712","First:","الفيس بوك",NA,NA,NA,NA
"540","1714","First:","حقوق المرأة",NA,NA,NA,NA
"541","1715","First:,Second:,Third:","فيس بوك","اليوم السابع","توايتر",NA,NA
"542","1719","First:,Second:,Third:","الفيس بوك","ماسنجر","واتس اب",NA,NA
