"","index","know_org","know_org1","know_org2","know_org3","know_org4","know_org5"
"304","974","First:,Second:,Third:,Fourth:","المركز االمصري لحقوق المرأة","جمعية نهوض وتنمية المرأة","جمجمعية الرعاية المتكاملة","ملتقى الهيئات لتنمية المرأة",NA
"305","977","First:,Second:,Third:,Fourth:,Fifth:","منظمه الصحه العالميه عن صحه المراه والعنف المنزلي","مركز قضايا المراه المصريه","المجلس القومي للمراه المعنفه","مؤسسه المراه المصريه للقانون وثقافه السلام","بيت حواء"
"306","979","First:,Second:,Third:","YouTube","كتب","برامج",NA,NA
"307","989","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","المركز المصري ، د نهاد ابو القمصان","البوليس","محكمة الاسرة","حقوق الانسان"
"308","990","First:","البوليس",NA,NA,NA,NA
"309","995","First:","كتبتهم فى السؤال السابق",NA,NA,NA,NA
"310","997","First:,Second:,Third:","البرامج التلفيزونية","المساجد والكنائس","كورسات مشوره",NA,NA
"311","998","First:","جمعيه حقوق المرأة",NA,NA,NA,NA
"312","999","First:","جمعية تنمية المرأة بشربين",NA,NA,NA,NA
"313","1001","First:,Second:","برامج المراة في التلفزيون","المجلس الاعلى للمرأة",NA,NA,NA
"314","1003","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"315","1012","First:,Second:","First time a mom","بيت مسلم",NA,NA,NA
"316","1017","First:,Second:","منظمة حقوق المرأة","منظمة حقوق المرأة الدولية",NA,NA,NA
"317","1022","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"318","1023","First:,I do not know any.","المجلس القومي لحقوق المراة",NA,NA,NA,NA
"319","1037","First:,Second:,Third:,Fourth:,I do not know any.","لااعرف","لااعرف","لا اعرف","لا اعرف",NA
"320","1038","First:","الشرطة",NA,NA,NA,NA
"321","1043","First:","محكمة الأسرة",NA,NA,NA,NA
"322","1047","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرأة","هيئة الأمم المتحدة للمرأة موقع التواصل الاجتماعي لديهم","الجمعيات الأهلية التى تقدم استشارات اسرية","مستقبلا تم إقامة save cities لمناهضة العنف ضد المرأة بكل اشكاله","مكتب الاستشارات الأسرية بمحكمة الأسرة"
"323","1051","First:,Second:","YouTube","Facebook",NA,NA,NA
"324","1052","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"325","1057","First:,Second:","المجلس القومي لحقوق المرأة","بعض الصفحات لناشطات حقوقيات في هذا المجال",NA,NA,NA
"326","1058","First:,Second:","الجمعيات الخيرية",NA,NA,NA,NA
"327","1061","First:,Second:,Third:,Fourth:","برنامج حكايات نهاد","برنامج راجل واتنين ستات","تلات ستات","السوشيال ميديا",NA
"328","1062","First:,Second:","المجلس القومى للمرأة","الجمعيات الاهلية",NA,NA,NA
"329","1066","First:","جهاز دعم المرأة",NA,NA,NA,NA
"330","1071","First:,Second:","المجلس القومي للمرأة","خط نجدة المرأه",NA,NA,NA
"331","1074","First:,Second:","Life coacher on Facebook","TV program",NA,NA,NA
"332","1077","First:","حقوق المراة",NA,NA,NA,NA
"333","1078","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"334","1079","First:,Second:","المراكز الازهرية لدعم الاسرة",NA,NA,NA,NA
"335","1082","First:","جمعيات حقوق المرأة",NA,NA,NA,NA
"336","1090","First:","برنامج الستات مايعرفوش يكذبوا",NA,NA,NA,NA
"337","1091","First:,Second:,Third:","القضاء","الاهل","مواقع التواصل الاجتماعي",NA,NA
"338","1092","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"339","1095","First:,Second:","هيئة تيردي زووم","اليونيسيف",NA,NA,NA
"340","1096","First:,Second:","قسم الشرطة","المجلس الأعلى لحقوق المرأة والطفل",NA,NA,NA
"341","1107","First:","حقوق المرآه والطفل",NA,NA,NA,NA
"342","1112","First:,Second:,Third:","منظمات حقوق الانسان","المبادرة المصريه لحقوق الانسان","منظمات المجتمع المدنى",NA,NA
"343","1118","First:","ابحث على جوجل",NA,NA,NA,NA
"344","1120","First:,Second:","حقوق المرأه","محكمه الاسره",NA,NA,NA
"345","1121","First:","منظمه حقوق المرأه",NA,NA,NA,NA
"346","1123","First:","المركز القومي للمرأة",NA,NA,NA,NA
"347","1125","First:,Second:,Third:,Fourth:,Fifth:","المجلس القوميةللمراه","رابطه المراه العربيه","المركز المصري لحقوق المراه","مؤسسه المرأة الجديدة","مؤسسة المرأة والذاكره"
"348","1126","First:,I do not know any.","لا اعرف اي جهة حتي الجهات المختصة اشك في مساندتهم",NA,NA,NA,NA
"349","1127","First:","المجلس القومى لحقوق المرأه",NA,NA,NA,NA
"350","1132","First:","البرامج الاجتماعية والقانونية",NA,NA,NA,NA
"351","1133","First:","جمعيات حقوق المرأة",NA,NA,NA,NA
"352","1135","First:","وزارة التضامن الاجتماعى",NA,NA,NA,NA
"353","1137","First:,Second:,Third:,Fourth:","المجلس القومي للمرأة","برامج المرأة","استشارات اسرية اون لاين",NA,NA
"354","1139","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"355","1140","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"356","1143","First:,Second:,Third:","هيئات ومن تحتها جمعيات اهليه مثل هيئه بلان انترناشيونال ايجيبت التي سبق ذكرها","المجلس القومي للمرأة والتي شاركت فتره وجيزه فيه","الاماكن الدينيه ورجال الدين المتخصصون لذلك سواء في الاسلام او المسيحيه ففيهما مجلس استشاري للاسره من الممكن الرجوع اليه",NA,NA
"357","1144","First:,Second:","بعض الجمعيات الخيرية مثل جمعية المرأة والتنمية","بعض الجهات القانونية مثل المحامين",NA,NA,NA
"358","1146","First:","الدكاتره",NA,NA,NA,NA
"359","1147","First:","المجلس القومي لحقوق المراه",NA,NA,NA,NA
"360","1148","First:","المركز القومي لحقوق المرأة و الطفل",NA,NA,NA,NA
"361","1160","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"362","1164","First:","المركز القومي للمرأة",NA,NA,NA,NA
"363","1165","First:,Second:","مركز سوزان مبارك للامومه والطفوله",NA,NA,NA,NA
"364","1171","First:","جهاز حماية المرأة",NA,NA,NA,NA
"365","1172","First:","المجلس القومي لحقوق المرأه",NA,NA,NA,NA
"366","1174","First:","المركز القومي للمرأة",NA,NA,NA,NA
"367","1178","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"368","1183","First:,Second:,Third:,Fifth:","محكمة الأسرة","دار الإفتاء","المسجد",NA,NA
"369","1192","First:","لا اعرف",NA,NA,NA,NA
"370","1204","First:","المجلس القومى للمراه",NA,NA,NA,NA
"371","1205","First:,Second:","برامج المرأة","الدكتاتره المتخصصه النفسيه والتعامل الاسري",NA,NA,NA
"372","1209","First:","محكمة الاسره",NA,NA,NA,NA
"373","1211","First:,Second:","منظمات حقوق المراة","برامج للمشكلات الاسرية",NA,NA,NA
"374","1216","First:,Second:,Third:,Fourth:","جميعه حقوق المرأة","المركز المصري لحقوق المرأة","جمعيه نهوض المرأة","المجلس الاعلى لمناصره المرأة",NA
"375","1227","First:","صفحة أستاذة نهاد أبو القمصان",NA,NA,NA,NA
"376","1236","First:,Second:,Third:,Fourth:,Fifth:","الجروب","الاهل","جمعية نساء","الجيران","الاقارب"
"377","1237","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المراة","جمعية المراة والمجتمع للتنمية الشاملة بالطيبة","مركز المشورة بجمعية المراة","جروب حقوق الناجيات من العف","مكاتب الدعم الاسري"
"378","1238","First:","محكمة الاسره",NA,NA,NA,NA
"379","1239","First:,Second:","صفحه الدكتوره هويدا الدمرداش","صفحه الاستشاريه مايسه كمال",NA,NA,NA
"380","1241","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"381","1242","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"382","1243","First:,Second:,Third:","المركز المصرى لحقوق المرأة","جمعيه نهوض وتنميه المرأه","جمعيه الرعايه المتكامله",NA,NA
"383","1245","First:","للأسف معرفش نهائي",NA,NA,NA,NA
"384","1250","First:,Second:","المجلس القومى للمراة","هى",NA,NA,NA
"385","1251","First:","المركز القومى للمراة بس لازم تتواصلوا بتليفونلت معروفة",NA,NA,NA,NA
"386","1255","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"387","1256","First:,Second:","الشرطة","حقوق الإنسان",NA,NA,NA
"388","1260","First:","دكتور نفسى",NA,NA,NA,NA
"389","1264","First:,Second:","التلفزيون","الإنترنت",NA,NA,NA
"390","1269","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"391","1273","First:","صفحات الفيسبوك",NA,NA,NA,NA
"392","1278","First:,Second:,Third:","جمعيات أهلية","مؤسسات تنميه","ندوات توعية",NA,NA
"393","1279","First:","المركز القومي للمرأة",NA,NA,NA,NA
"394","1281","First:,Second:,Third:","الجروبات علي الفيس بوك","منظمات حقوق الانسان والمراه","محكمه الاسره",NA,NA
"395","1282","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"396","1288","First:","آلَمًرکْزٍ آلَقُوٌمًيَ لَلَأمًوٌمًهّ وٌآلَطِفُوٌلَهّ",NA,NA,NA,NA
"397","1290","First:,Second:,Third:,Fourth:","العنف الممارس ضد المرأة","مركز صحة آلمرأة والتعليم","منظمة المرأة العربية","مكافحة العنف ضد المرأة العربية",NA
"398","1293","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"399","1302","First:","محكمة الأسرة",NA,NA,NA,NA
"400","1309","First:","جمعيات تطوعيه",NA,NA,NA,NA
"401","1313","First:","مركز صحه المراه والتعليم",NA,NA,NA,NA
"402","1315","First:","مجلس حقوق المراه",NA,NA,NA,NA
"403","1317","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"404","1318","First:,Second:",NA,NA,NA,NA,NA
"405","1328","First:,Second:,Third:","دار الافتا","مركز تنظيم الاسرة وده قيل الكورونا طبعا","شيخ الجامع",NA,NA
"406","1333","First:","مركز تمكين المرأه",NA,NA,NA,NA
"407","1334","First:,Second:,Third:,Fourth:","لااعرف","لااعرف","لااعرف","لااعرف",NA
"408","1335","First:","جمعية حقوق المرأه",NA,NA,NA,NA
"409","1337","First:,Second:","محكمه الاسره","سوسايتي بروبلم",NA,NA,NA
"410","1349","First:","المجلس القومى للاطفال",NA,NA,NA,NA
"411","1350","First:,I do not know any.","المركز القومي للمرأة",NA,NA,NA,NA
"412","1359","Fifth:,I do not know any.",NA,NA,NA,NA,NA
"413","1361","First:,Second:,Third:","مركز الاستشارات الاسريه و الزوجيه","جهات دعم الاسره","مراكز الرعاية الصحيه و الاجتماعية",NA,NA
"414","1365","First:,Second:","جروبات فيس بوك","برامج تليفزيونيه",NA,NA,NA
"415","1367","First:","متهيألى المجلس القومى للمرأة",NA,NA,NA,NA
"416","1370","First:","برنامج د.هاله سمير",NA,NA,NA,NA
"417","1377","First:,Second:,Third:","المجلس القومي للمرأة ومش بيعمل حاجة","محكمة الأسرة","الازهر",NA,NA
"418","1379","First:","جروبات السيدات عالفيس بوك",NA,NA,NA,NA
"419","1380","First:,I do not know any.",NA,NA,NA,NA,NA
"420","1383","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى للمراة","محكمة الاسرة","جمعيات نسائية","روابط اجتماعية",NA
"421","1385","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"422","1389","First:,Second:,Third:,Fourth:,Fifth:","الام","الحيران","الاخوات","الزملاء","الحكماء"
"423","1391","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"424","1392","First:","المجلس القومي للمراه",NA,NA,NA,NA
"425","1394","First:","مؤسسة الازهر الشريف",NA,NA,NA,NA
"426","1400","First:,Second:","مؤسسة قضايا المرأة","المجلس القومي للمرأة",NA,NA,NA
"427","1401","First:,Second:","المجلس القومى للمرأة","المراكز والجمعيات الحقوقية",NA,NA,NA
"428","1407","First:,Second:,Third:,Fourth:","المجلس القومي لحقوق المرأة","هيومان رايتس ووتش","مكتب الامم المتحده للامومه والطفل","خط المشوره الاسريه التابع لمجلس الوزراء",NA
"429","1411","First:","حقوق المرأة",NA,NA,NA,NA
"430","1416","First:,Second:,Third:","الندوات","البرامج","السوشيال ميديا",NA,NA
"431","1417","First:","المجلس القومى للمراه",NA,NA,NA,NA
"432","1420","First:,Second:,Third:","السلطات","حقوق المرأة","حقوق المرأة ضد العنف",NA,NA
"433","1422","First:","قنوات التلفزيون",NA,NA,NA,NA
"434","1423","First:,Second:,Third:,Fourth:,Fifth:","المرآة والطفوله","حقوق الانسان","الجمعيات الاهليه","المرآه والطفل","الجهات الامنيه"
"435","1430","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"436","1431","First:,Second:","المركز المصري لحقوق المرأة","المركز القومي للمرأة",NA,NA,NA
"437","1440","First:","ممكن دكتور متخصص في العلاقات الاجتماعية",NA,NA,NA,NA
"438","1458","First:,Second:,Third:,Fourth:,Fifth:","محكمة الاسره","الجلسات الاهليه","تحكيم الكبار","حقوق الانسان","حقوق المرأه"
"439","1460","First:,Second:,Third:","المجلس القومى للمرأة","بهية","مراكز الاستشارات الزوجيه",NA,NA
"440","1463","First:,Second:,Third:","فيس","تويتر","واتس",NA,NA
"441","1465","First:,Second:,Third:,Fourth:,Fifth:","قنوات الاسره","المحاكم الاسريه","لا اعرف","لا اعرف","لا اعرف"
"442","1475","First:,Second:,Third:","محكمه الاسره","الجمعيات","جروبات ع الفيس بوك",NA,NA
"443","1478","First:,Second:","المساجد","الكنائس",NA,NA,NA
"444","1486","First:","جمعيات حقوق المرأه",NA,NA,NA,NA
"445","1488","First:","الجمعيات النسائية",NA,NA,NA,NA
"446","1499","First:","منظمة حقوق الانسان",NA,NA,NA,NA
"447","1502","First:,Second:","محكمه الاسره","جمعيات المراه",NA,NA,NA
"448","1506","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"449","1507","First:,Second:","مؤسسة دعم المراة","حقوق المرأة مؤسسة هي ضد العنف",NA,NA,NA
"450","1518","First:,Second:","المجلس القومي للمرأة","المركز المصري لحقوق المرأة",NA,NA,NA
"451","1519","First:,Second:,Third:,Fourth:,Fifth:","الفيس","تويتر","انستا","جوجل","جهات اخري"
"452","1520","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"453","1521","First:,Second:","المجلس القومي للمراة","حملات توعية علي مواقع التواصل",NA,NA,NA
"454","1523","First:,Second:,Third:,Fourth:","اطباء نفسسين","الاسرة","اشخاص تعرضوا للضرب","الانترنت",NA
"455","1524","First:","حقوق المرأة",NA,NA,NA,NA
"456","1529","First:,Second:","المجلس القومي للمرأة","حقوق الانسان",NA,NA,NA
"457","1531","First:","لا اعرف",NA,NA,NA,NA
"458","1532","First:,I do not know any.","جمعيات المراة",NA,NA,NA,NA
"459","1537","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"460","1538","First:,Second:","المجلس القومى للمرأة","حقوق الانسان",NA,NA,NA
"461","1553","First:","مراكز التأهيل الاسرى",NA,NA,NA,NA
"462","1555","First:","حقوق المرأه والطفل",NA,NA,NA,NA
"463","1570","First:,Second:","المجلس القومى للمرأة","دار الإفتاء",NA,NA,NA
"464","1575","First:,Second:","برنامج رضوي الشربيني","قسم الشرطه الخل الامثل للراجل الي يتشك في ايده و يضرب مراته",NA,NA,NA
"465","1583","First:,Second:,Third:,Fifth:",NA,NA,NA,NA,NA
"466","1584","First:","المجلس القومى للمراة",NA,NA,NA,NA
"467","1589","First:","الجمعيات الحقوقية",NA,NA,NA,NA
"468","1593","Third:,I do not know any.",NA,NA,NA,NA,NA
"469","1595","First:,Second:","المركز القومى للمرأة","الاتحاد العام لنساء مصر",NA,NA,NA
"470","1598","First:","جمعية حقوق المرأة",NA,NA,NA,NA
"471","1599","First:,Second:","المركز القومي لحقوق للمرأة","جهات غير رسمية",NA,NA,NA
"472","1601","First:","المجلس الاعلى للمرأة",NA,NA,NA,NA
"473","1602","First:","مكتب شكاوى المرأة",NA,NA,NA,NA
"474","1605","First:,Second:,Third:,Fourth:","المجلس القومى للمرأة","المجلس القومى لحقوق الإنسان","أسأل محاميك","الجمعيات الأهلية التى تعمل ضد عنف المرأة",NA
"475","1606","First:","المجلس القومي لحقوق المرأه",NA,NA,NA,NA
"476","1607","First:,Second:","يوتيوب",NA,NA,NA,NA
"477","1610","First:","برنامج على القاهرة والناس",NA,NA,NA,NA
"478","1613","First:,Second:","المركز القومي للمراه","حقوق المراه",NA,NA,NA
"479","1614","Third:,I do not know any.",NA,NA,NA,NA,NA
"480","1624","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"481","1625","First:","جروب سينجل مازر فيس بوك",NA,NA,NA,NA
"482","1630","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"483","1631","First:,Second:,Third:","الجمعيات الحقوقيه","المجلس القومي للمرأة","المجلس القومي لحقوق الإنسان",NA,NA
"484","1640","First:,I do not know any.","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"485","1643","First:,Second:","منظمه حقوق المرأه المصريه","مجلس المرأه",NA,NA,NA
"486","1644","First:,Second:,Third:,Fourth:,Fifth:","وزارة التضامن الاجتماعي","المجلس القومي للمراة","جمعية حواء المستقبل","جمعية المراة و القانون","اسال نهاد"
"487","1648","First:,I do not know any.",NA,NA,NA,NA,NA
"488","1649","First:","المجلس الاعلى لحقوق المرأة",NA,NA,NA,NA
"489","1652","First:,Second:,Third:","مركز دعم المرأة المصرية","أصدقاء شيوخ","مستشارين علاقات اسرية",NA,NA
"490","1657","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"491","1667","First:","المركز القومى لحقوق المرأة",NA,NA,NA,NA
"492","1668","First:,Second:,Third:","سوسايتي بروبلم","دندشه","ويفرز",NA,NA
"493","1669","First:","صفحة امهات مصر المعيلات",NA,NA,NA,NA
"494","1676","First:","حقوق المراة للامومة والطفولة",NA,NA,NA,NA
"495","1678","First:,I do not know any.","لا يوجد",NA,NA,NA,NA
"496","1679","First:","مش عارفه",NA,NA,NA,NA
"497","1682","First:,Second:,Third:","مركز صحة المرأة والتعليم","مراكز الثقافة محاضرات عن العنف ضد المرأة","مراكز التنمية البشرية والعلاقات الاسرية",NA,NA
"498","1686","First:","الاستشارات الأسرية",NA,NA,NA,NA
"499","1689","First:,Second:","حق المراة","ميراث النساء",NA,NA,NA
"500","1696","First:","المجلس القومي للمرأه",NA,NA,NA,NA
"501","1718","First:,Second:,Third:","دكتوره تنمبه بشريه","محكمه الاسره","الاهل والمعارف الثقه",NA,NA
"502","1719","First:","مركز المرأة للطفولة والأمومة",NA,NA,NA,NA
"503","1721","First:","برنامج انتباه",NA,NA,NA,NA
"504","1722","First:,Second:,Third:","ممكن العائلة","الاصدقاء","جهات مخصصة لحل المشاكل الزوجية علي الانترنت",NA,NA
"505","1724","First:,Second:,Third:,Fourth:","الانترنت","التليفزيون","الرديو","حمعيات حقوق المراه",NA
"506","1730","First:,Second:,Third:","جروبات علي فيس بوك","اشخاص علي فيس بوك","خطوط ساخنة محددة من المجلس القومي للمرأة",NA,NA
"507","1732","First:,Second:,Third:","مركز قضايا المرأة","برامج دينيه","فتوى الجمهوريع",NA,NA
"508","1737","First:","يوتيوب",NA,NA,NA,NA
"509","1742","First:,Second:","المجلس القومى للمراة","المجلس القومى للامومة والطفولة",NA,NA,NA
"510","1745","First:","المركز القومي لحقوق المرأة",NA,NA,NA,NA
"511","1752","First:","وزارة التضامن الاجتماعي",NA,NA,NA,NA
"512","1754","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"513","1757","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"514","1761","First:,Second:","مستشار علاقات زوجية وأسرية","طبيب نفسي",NA,NA,NA
"515","1767","First:,Second:,Third:,Fourth:,Fifth:","ممكن CBC","Dmc","Mbc",".",".."
"516","1769","First:,Second:","المجلس القومي للمرأة","المجلس القومي لحقوق الانسان والمرآة",NA,NA,NA
"517","1780","First:","مفيش حاجه سمعت عنها",NA,NA,NA,NA
"518","1785","First:","مجلس حقوق المرأة",NA,NA,NA,NA
"519","1788","First:","المجلس القومى لحقوق المرأة",NA,NA,NA,NA
"520","1810","First:,Second:","فاميلي سيربي","اخصائي اسري",NA,NA,NA
"521","1811","First:,Second:,I do not know any.","الوحده الصحيه","برامج التليفزيون",NA,NA,NA
"522","1814","First:","م عارفه",NA,NA,NA,NA
"523","1818","First:","الاماكن الدينيه",NA,NA,NA,NA
"524","1822","First:","المركز القومى للمرأة",NA,NA,NA,NA
"525","1826","First:,Second:,Third:,Fourth:,Fifth:","منظمة العفو الدولية","منظمة المرأة العربية","هيئة الامم المتحدة لحقوق المرأة","جمعية الحماية والدفاع عن حقوق المرأة","برامج التواصل الاجتماعي"
"526","1830","First:,I do not know any.","حقوق المرأة",NA,NA,NA,NA
"527","1832","First:,Second:,Third:","برامج دينيه","جروبات ع الفيس","جروبات ع الواتس",NA,NA
"528","1833","First:,Second:","مجلس حقوق المرأه","التاء المربوطه",NA,NA,NA
"529","1840","First:","حقوق المرأة",NA,NA,NA,NA
"530","1849","First:,Second:","الشؤن الاجتماعيه","الاسره والطفوله",NA,NA,NA
"531","1850","First:,Second:,Third:,Fourth:,Fifth:","المركز المصري لحقوق المرأة","المفوضية المتحدة لحقوق النساء","راديوا المطلقات","منظمة العفو الدولية","خط المرأة"
"532","1851","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"533","1853","First:","محكمة الاسرة",NA,NA,NA,NA
"534","1856","First:,Second:,Third:","برامج المرأة","الدين","البرامج القنونيه",NA,NA
"535","1857","First:,Second:,Third:,Fourth:","المجلس القومى للمراة","محكمة الأسرة","الجمعيات الاهلية","حقوق الانسان",NA
"536","1862","First:","محكمةالاسرة",NA,NA,NA,NA
"537","1868","First:","المجلس القومى للمرأه",NA,NA,NA,NA
"538","1871","First:","الشرطه",NA,NA,NA,NA
"539","1874","First:,Second:","جروب نرمين ابو سالم للمراه المعيله","جروب قانون الاسره المصريه",NA,NA,NA
"540","1878","First:","برامج التليفزيون",NA,NA,NA,NA
"541","1882","First:,Second:,Third:,Fourth:","محكمة الاسرة","الجمعيات الخيرية","المحاميين","الاهل",NA
"542","1885","First:","المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"543","1889","First:,Second:,Third:","المجلس القومي للمرأة","Y-peer","هيئة الامومه والطفوله",NA,NA
"544","1890","First:,Second:","جمعية حقوق المرأة","التضامن الاجتماعي",NA,NA,NA
"545","1892","First:,Second:","المجلس القومي للمرأة","جمعية حقوق الانسان",NA,NA,NA
"546","1899","First:","سارة النجار",NA,NA,NA,NA
"547","1903","First:","صديقات في حزب مستقبل وطن امانة المراة",NA,NA,NA,NA
"548","1905","First:","مؤسسات لمناصرة حقوق المرأة",NA,NA,NA,NA
"549","1914","First:","الانترنت",NA,NA,NA,NA
"550","1921","First:,Second:","مركز قضايا المرأة","النديم",NA,NA,NA
"551","1924","First:,I do not know any.",NA,NA,NA,NA,NA
"552","1926","First:","جمعيه العنف ضد المرأة",NA,NA,NA,NA
"553","1932","First:,Second:,Third:","التليفزيون","الجمعيات الحقوقية","المجلس القومي لحقوق المراة",NA,NA
"554","1935","First:","المجلس القومى للمراة",NA,NA,NA,NA
"555","1938","First:","رضوي الشربيني",NA,NA,NA,NA
"556","1941","Third:,I do not know any.",NA,NA,NA,NA,NA
"557","1944","First:","الانترنت",NA,NA,NA,NA
"558","1949","First:","جمعيه حقوق المراه",NA,NA,NA,NA
"559","1950","First:","التلفزيون",NA,NA,NA,NA
"560","1953","First:","صفحات على الفيس",NA,NA,NA,NA
"561","1959","First:","مجلس القومي للمرأة",NA,NA,NA,NA
"562","1973","First:,Second:","المجلس القومي للمرأة","خط الساخن لمواجهة العنف الأسري",NA,NA,NA
"563","1975","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومى لحقوق المراه","المجلس القومى للامومة والطفولة","المجلس القومى لحقوق الإنسان","اليونسيف","محكمة الاسره"
"564","1977","First:,Second:,Third:,Fourth:,Fifth:","المسلسلات","فيس بوك","الافلام","يوتيوب","التلفزيون"
"565","1983","First:,Second:,Third:,Fourth:,Fifth:","مركز قضايا المرأة","جمعيه نهوض المرأة","المركز القومي للعنف ضد المرأة والطفل","مؤسسات الدولة الاجتماعيه التى تعنى بشؤن الأسرى","مؤسسة المرأة الجديدة"
"566","1986","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"567","1987","First:","الدكتوره عبله الكحلاوى",NA,NA,NA,NA
"568","1989","First:,Second:","المجلسةالقومي للمراه","محكمه الاسره",NA,NA,NA
"569","1990","First:,Second:,Third:,Fourth:","الاهل","الاصدقاء المقربين","الجمعيات النسائية ضد عنف للمرأه","السلطات المختصة",NA
"570","1993","First:,Second:","جمعيه للنساء","المجلس القومي للمراه",NA,NA,NA
"571","1999","First:","بشوف فيديوهات علي فيس بوك بس مش باخد بالى من اسم الجهه",NA,NA,NA,NA
"572","2007","First:","حقوق الانسان",NA,NA,NA,NA
"573","2010","First:,Second:,Third:,Fourth:","حقوق المراة","حقوق الانسان","قسم الشرطه","المحكمه",NA
"574","2012","First:,Second:,Third:,Fourth:,Fifth:","جمعيات أهلية","مؤسسات","ندوات توعية","انترنت","مبادره"
"575","2018","First:,Second:","المجلس القومي للمرأة","مركز قضايا المرأة المصرية",NA,NA,NA
"576","2025","First:,Second:","أستاذة امل للتنمية البشرية","دوحة الخير",NA,NA,NA
"577","2031","First:","جمعية المحافظة ع المرأة ضد العنف",NA,NA,NA,NA
"578","2038","First:","المركز القومي لحقوق المرأه",NA,NA,NA,NA
"579","2039","First:","هيئة إنقاذ الطفولة",NA,NA,NA,NA
"580","2040","First:,Second:","الجمعيات الاهليه الخاصة بالمرأه","مجلس المرأه",NA,NA,NA
"581","2048","Fourth:,I do not know any.",NA,NA,NA,NA,NA
"582","2060","First:,Second:","منظمه حقوق الانسان","جمعيه ضد العنف",NA,NA,NA
"583","2064","First:,I do not know any.",NA,NA,NA,NA,NA
"584","2066","First:,Second:,Third:","مؤسسة موده","البرامج الثقافيه",NA,NA,NA
"585","2069","First:,Second:","المجلس القومى للمرأة","المركز المصري لحقوق المرأة",NA,NA,NA
"586","2072","First:","صفحات علي الفيس بوك",NA,NA,NA,NA
"587","2077","First:","جمعية حقوق المرأه",NA,NA,NA,NA
"588","2079","First:","العنف ضد المراة",NA,NA,NA,NA
"589","2081","First:,Second:,Third:","حقوق المراة","الاهل","الام والاب",NA,NA
"590","2083","First:","فيس بوك",NA,NA,NA,NA
"591","2084","First:,Second:","برنامج انا وهي",NA,NA,NA,NA
"592","2085","First:,Second:","الاهل","الاصدقاء",NA,NA,NA
"593","2088","First:,I do not know any.",NA,NA,NA,NA,NA
"594","2100","First:","المجلس القومي للمرأة",NA,NA,NA,NA
"595","2105","First:","انتى مش لوحدك",NA,NA,NA,NA
"596","2106","First:","محكمة الاسرة",NA,NA,NA,NA
"597","2110","First:","جوابك",NA,NA,NA,NA
"598","2112","First:,Second:,Third:","برامج دينيه","جروبات ع الفيس","برامج لحقوق المراه",NA,NA
"599","2116","First:,Second:,Third:","مركز زيتونه","العنف ضد المرأة","Un women",NA,NA
"600","2127","First:,Second:","لا اعلم","لا اعلم",NA,NA,NA
"601","2132","First:,Second:","المجلس القومى للمرأءه","محكمة الأسرة",NA,NA,NA
"602","2134","First:,Second:,Third:,Fifth:,I do not know any.",".",".",".",NA,NA
"603","2136","First:,Second:","مؤسسه حقوق المراه","مؤسسه اهميه وجود المراه",NA,NA,NA
"604","2138","First:,Second:,Third:","المجلس القومي للمرأة","مركز النديم","مركز قضايا المرأة المصرية",NA,NA
"605","2140","First:","المفروض المجلس القومي لحقوق المرأة",NA,NA,NA,NA
"606","2142","First:,Second:,Third:","المجلس القومي للمرأة","المركز المصرى لحقوق المرأة","جمعيات أهلية",NA,NA
